1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
2652,7021,3473,10692,11251,6673,10118,9030,76,401,9669,7391,8628,4066,326,7772,10004,18,303,7870,4590,234,12969,3189,6572,7551,9084,3426,1453,3629,14166,4003,6875,6678,1684,13234,3753,783,3712,4538,13411,299,295,3976,8594,8234,9727,1953,518,5387,6501,3838,365,3488,5333,10115,92,7405,8488,9943,8761,5817,498,7748,130,5334,12012,9743,5464,111,8299,13054,5133,3329,166,1427,3388,8140,290,3135,8161,11096,12922,2125,1026,8,6860,2593,7562,14,2130,7241,9529,11891,10070,5772,1,10878,2324,338,9885,2574,201
 2676, 7045, 3474, 10693, 11273, 6674, 10119, 9055, 99, 402, 9694, 7392, 8629, 4067, 327, 7773, 10029, 19, 304, 7871, 4591, 235, 12970, 3214, 6573, 7552, 9085, 3427, 1478, 4204, 14167, 4004, 6897, 6679, 1685, 13259, 3754, 784, 3713, 4539, 13412, 898, 296, 3977, 8595, 8235, 9728, 1954, 519, 5411, 6503, 3862, 366, 4087, 5356, 10116, 93, 7406, 9113, 9944, 8762, 5818, 499, 7749, 153, 5335, 12013, 9744, 5465, 112, 8323, 13078, 5134, 3330, 190, 1451, 3389, 8141, 315, 3159, 8763, 11097, 12923, 2150, 1027, 9, 7435, 2616, 7563, 15, 2131, 7265, 10104, 11892, 10071, 5773, 2, 10879, 2399, 339, 9886, 2575, 221
 3276, 7046, 3475, 10694, 11274, 6675, 10143, 9056, 100, 403, 9719, 7913, 8653, 4092, 351, 7797, 10030, 20, 305, 7872, 4613, 236, 12993, 3215, 6574, 7576, 9086, 3451, 1479, 4205, 14191, 4028, 6898, 6702, 1709, 13858, 3755, 809, 3714, 4563, 13437, 899, 317, 3978, 8619, 8236, 9752, 1978, 543, 5412, 6526, 3863, 390, 4088, 5357, 10117, 94, 7407, 9114, 9968, 8787, 5819, 500, 7750, 154, 5336, 12037, 9768, 5489, 113, 8324, 13079, 5135, 3354, 191, 1452, 3390, 8142, 889, 3160, 8786, 11098, 12946, 2748, 1051, 10, 7436, 2617, 7587, 16, 2153, 7266, 10105, 11916, 10072, 5774, 3, 10880, 2400, 340, 9910, 3148, 222
 3277, 7070, 3499, 10718, 11275, 6697, 10144, 9057, 101, 404, 10245, 7914, 8654, 4617, 352, 7798, 10054, 21, 306, 7873, 4614, 237, 12994, 3789, 6575, 7577, 9087, 3452, 1503, 4206, 14192, 4029, 6899, 6703, 1710, 13859, 3756, 810, 3737, 4564, 13438, 900, 318, 4002, 8620, 8237, 9753, 1979, 544, 5437, 6527, 3864, 391, 4089, 5358, 10140, 117, 7408, 9138, 9969, 8788, 5820, 520, 7774, 155, 5359, 12038, 9769, 5490, 114, 8325, 13080, 5136, 3930, 192, 1476, 3413, 8165, 914, 3161, 8810, 11121, 12947, 2749, 1626, 11, 7437, 2618, 7588, 17, 2154, 7267, 10128, 11917, 10094, 5775, 4, 10881, 2424, 360, 9911, 3149, 223
 3278, 7071, 4097, 11292, 11276, 6698, 10167, 9080, 102, 426, 10269, 7938, 8679, 4618, 376, 7821, 10055, 22, 307, 7874, 4615, 238, 12995, 3814, 6597, 7602, 9110, 3453, 1504, 4228, 14216, 4054, 6900, 6704, 1734, 13883, 3757, 834, 3738, 4565, 13439, 923, 319, 4027, 8621, 8259, 9778, 2003, 568, 5438, 6528, 4413, 392, 4090, 5380, 10141, 118, 7409, 9139, 9970, 9362, 5821, 521, 8373, 156, 5360, 12062, 9793, 5491, 115, 8326, 13103, 5156, 3954, 193, 1477, 3414, 8166, 915, 3162, 8811, 11122, 12948, 2750, 1627, 12, 7459, 2641, 7589, 40, 2155, 7268, 10129, 12441, 10095, 5796, 5, 10882, 2425, 361, 9912, 3150, 224
 3301, 7096, 4098, 11317, 11297, 6699, 10168, 9081, 122, 427, 10270, 7939, 9179, 4619, 377, 7822, 10056, 23, 308, 7895, 4616, 239, 12996, 3815, 6598, 7603, 9111, 4051, 1528, 4229, 14217, 4628, 6925, 6705, 1735, 13884, 3758, 835, 4312, 4588, 14010, 924, 320, 4601, 8644, 8260, 10301, 2004, 569, 6012, 6551, 4437, 415, 4091, 5381, 10142, 119, 7410, 9163, 9971, 9385, 5841, 522, 8374, 157, 5361, 12063, 9794, 5492, 116, 8327, 13104, 5157, 3955, 215, 1501, 3415, 8167, 939, 3185, 8812, 11123, 12971, 2773, 1628, 13, 7460, 2642, 7612, 41, 2156, 7291, 10130, 12466, 10096, 5797, 6, 11504, 2449, 362, 9935, 3151, 225
 3302, 7097, 4099, 11318, 11298, 6700, 10169, 9082, 123, 428, 10294, 7940, 9203, 4642, 926, 7846, 10079, 24, 328, 7896, 4638, 259, 13570, 3839, 6599, 7627, 9112, 4052, 2053, 4230, 14242, 4629, 7475, 6729, 1736, 13885, 3780, 836, 4336, 4589, 14011, 925, 321, 4602, 8645, 8261, 10302, 2028, 593, 6036, 6552, 4438, 416, 4112, 5382, 10165, 120, 7431, 9164, 9994, 9386, 5842, 523, 8375, 177, 5383, 12087, 10367, 5514, 135, 8348, 13105, 5158, 3956, 216, 1502, 3437, 8190, 940, 3186, 8835, 11146, 12972, 2774, 1651, 32, 7461, 2643, 7613, 535, 2157, 7292, 10153, 12467, 10097, 5798, 7, 11505, 2923, 363, 9936, 3171, 226
 3303, 7620, 4100, 11319, 11299, 6722, 10192, 9105, 124, 429, 10295, 7941, 9204, 4643, 927, 8396, 10080, 25, 329, 7897, 4639, 260, 13592, 3840, 6600, 7628, 9137, 4053, 2078, 4231, 14767, 4653, 7498, 6730, 1759, 13909, 3781, 837, 4337, 5163, 14035, 949, 322, 4603, 8646, 8262, 10303, 2552, 1142, 6037, 6553, 4462, 417, 4113, 5406, 10166, 121, 7432, 9165, 9995, 9387, 5843, 524, 8399, 178, 5384, 12088, 10368, 5515, 136, 8349, 13679, 5159, 3979, 217, 1526, 3438, 8191, 964, 3187, 8836, 11147, 12973, 2775, 1652, 33, 7484, 3218, 7614, 536, 2178, 7293, 10154, 12490, 10098, 5799, 26, 11506, 2946, 364, 9937, 3172, 227
 3304, 7621, 4123, 11342, 11300, 6723, 10193, 9106, 125, 430, 10318, 7963, 9227, 4644, 928, 8397, 10628, 42, 330, 7898, 4640, 261, 13593, 3841, 6622, 7653, 9683, 4076, 2079, 4253, 14791, 4654, 7499, 6755, 1760, 14483, 3782, 1382, 4338, 5164, 14036, 950, 323, 4626, 8647, 8263, 10326, 2553, 1143, 6038, 6554, 4463, 441, 4114, 5407, 10717, 142, 7433, 9738, 10019, 9412, 5844, 525, 8400, 179, 5385, 12112, 10369, 5516, 137, 8350, 13680, 5160, 3980, 218, 1527, 3439, 8192, 1513, 3210, 8837, 11148, 12997, 2798, 1653, 34, 7485, 3219, 7615, 537, 2179, 7317, 10155, 12491, 10121, 5800, 27, 11507, 2947, 384, 9938, 3173, 246
 3325, 7645, 4124, 11343, 11301, 6724, 10194, 9630, 126, 451, 10319, 7964, 9228, 4667, 951, 8398, 10629, 43, 331, 7899, 4641, 262, 13594, 4388, 6623, 8176, 9684, 4077, 2103, 4254, 14792, 4655, 7500, 7302, 1761, 14484, 3783, 1383, 4339, 5165, 14037, 1523, 341, 4627, 8669, 8285, 10327, 2554, 1144, 6061, 6576, 4486, 442, 4115, 5408, 10740, 143, 7434, 9739, 10543, 9413, 5845, 545, 8976, 180, 5386, 12113, 10370, 6088, 138, 8898, 13703, 5161, 3981, 219, 2051, 3440, 8765, 1514, 3211, 9363, 11722, 12998, 2799, 1676, 35, 7486, 3240, 8186, 538, 2180, 7865, 10156, 12492, 10122, 5822, 28, 11508, 2948, 385, 9960, 3174, 247
