,grain,FIP
0,1,1.3884738229078237e-07
1,2,1.5180940604900325e-09
2,3,1.582104989718116e-07
3,4,1.730421261024528e-07
4,5,6.105211092806033e-08
5,6,5.294343827097769e-06
6,7,4.038210902769821e-08
7,8,2.754911863783696e-07
8,9,2.72677138132559e-08
9,10,7.91724542751789e-06
10,11,1.521857885085356e-07
11,12,8.26600233572388e-06
12,13,9.675169529211567e-07
13,14,2.753153545420657e-06
14,15,9.320773499649574e-06
15,16,2.2107636213499183e-06
16,17,5.416518172730878e-07
17,18,3.362188155291614e-07
18,19,8.165902548642718e-06
19,20,6.866125554352483e-06
20,21,2.25726383264615e-07
21,22,9.583505426087314e-06
22,23,2.01458362994264e-06
23,24,6.487997758524928e-06
24,25,2.3872186155848773e-10
25,26,8.70851684193908e-06
26,27,7.453827664540689e-06
27,28,9.176947252426728e-07
28,29,8.807238809210741e-10
29,30,2.467330944029802e-07
30,31,1.1163539458912012e-08
31,32,5.4594472169053864e-08
32,33,3.7656662303737502e-06
33,34,1.5038722676748947e-06
34,35,1.6898461029150334e-06
35,36,2.552709803803117e-10
36,37,4.144408740249123e-06
37,38,3.5157284693484917e-06
38,39,3.879888992258642e-09
39,40,4.989878193946586e-06
40,41,6.126346171198712e-08
41,42,1.969232005393675e-06
42,43,2.0095793630994167e-06
43,44,2.1225941069628138e-09
44,45,7.5827710404850064e-06
45,46,3.277732019985114e-06
46,47,2.4125405869069154e-10
47,48,3.268501337158835e-08
48,49,4.722120465311597e-06
49,50,3.7358710920440536e-06
50,51,9.740484854176155e-07
51,52,2.2065888172533833e-06
52,53,1.6857018847845345e-06
53,54,3.7959121630733954e-07
54,55,3.1265991809409204e-07
55,56,4.975054493451815e-07
56,57,1.1179401428258047e-07
57,58,3.273157114796755e-06
58,59,3.102534197412844e-07
59,60,9.097735906576617e-06
60,61,1.322273109805201e-07
61,62,1.968229536419351e-06
62,63,6.604864467412197e-08
63,64,1.8947293205218112e-08
64,65,1.4176828948464903e-10
65,66,2.2705483142189145e-07
66,67,2.3893016036421544e-06
67,68,9.9586757578115e-06
68,69,5.096519180327877e-07
69,70,3.413486142230795e-07
70,71,6.694306222181398e-07
71,72,5.446062922506426e-11
72,73,6.821096426803098e-06
73,74,9.36183028270178e-07
74,75,9.77435450511034e-06
75,76,1.4433181904762636e-09
76,77,5.864243692710493e-06
77,78,5.311766183437861e-07
78,79,9.444323874938387e-06
79,80,3.955227805786896e-08
80,81,2.169037400863521e-06
81,82,2.531809488017135e-10
82,83,7.584554130115691e-06
83,84,4.138844662238385e-06
84,85,3.4393249365205017e-07
85,86,5.815998917646363e-10
86,87,7.362590696833679e-07
87,88,7.812484610991112e-08
88,89,2.5502647070476943e-06
89,90,6.053744118969626e-07
90,91,1.0588779683814745e-05
91,92,9.99129939395735e-07
92,93,2.6779297527835463e-06
93,94,7.931172201620447e-07
94,95,5.357587499184983e-08
95,96,6.530342986974219e-08
96,97,3.6568908398941696e-07
97,98,1.7464981084030893e-07
98,99,6.6423516033349855e-06
99,100,5.733710523483087e-07
100,101,2.1858221528222164e-06
101,102,2.233391076897828e-07
102,103,2.4280235064867617e-06
