1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
280,4754,43,2924,350,5477,146,7155,12229,96,4039,32,6418,4086,604,2219,2344,9869,2325,4866,10064,14903,3988,14257,6272,2171,2982,7092,7260,285,367,9954,387,5364,9590,595,12508,6288,1399,1838,77,190,13380,1556,7496,3373,1866,1609,10841,233,369,4190,4389,10989,6300,3396,11961,14561,3942,14556,10675,679,828,809,12705,219,14323,444,6103,1285,3881,6901,1858,10941,8853,4894,8169,2334,8734,6343,5941,699,8887,63,6355,6866,5207,7958,10056,2534,9888,4605,7385,10550,5184,8569,431,9915,7927,1446,4701,531,10098,9611,1828
281,4755,44,2925,372,5500,147,7175,12230,97,4040,33,6419,4087,605,2244,2345,9870,2348,4867,10065,14904,3989,14258,6292,2172,2983,7115,7284,286,912,9955,388,5365,9613,1116,12531,6289,1400,2360,78,212,13381,1557,7497,3374,1867,1610,10842,256,370,4191,4390,11014,6323,3397,11962,14586,3943,14557,10676,680,829,810,12706,239,14345,445,6104,1286,3906,6902,1859,10964,8875,4895,8170,2357,8735,6344,5942,700,8888,64,6356,6867,5208,7980,10057,2535,9913,4628,7386,10551,5185,9068,453,9916,7928,1447,4702,532,10099,9634,1851
301,4756,45,2948,373,5501,148,7176,12231,98,4041,34,6420,4111,606,2245,2346,9871,2349,4889,10087,14905,3990,14259,6293,2195,2984,7116,7285,287,913,9956,389,5388,9614,1117,12532,6290,1423,2361,79,213,13382,1558,7498,3895,1868,1611,10866,257,371,4213,4914,11015,6324,3398,11963,14587,3944,14579,10677,702,851,811,12707,240,14346,446,6124,1308,4429,6903,1860,10965,8876,4896,8171,2358,9259,6367,5943,725,8889,65,6357,6868,5209,7981,10079,2536,9938,4629,7387,10574,5186,9093,454,9917,7949,1468,4703,533,10100,9635,1852
302,4757,516,2949,374,5502,149,7177,12232,99,4042,35,6443,4112,1177,2268,2347,9872,2350,4890,10088,14906,4515,14260,6294,2196,3006,7117,7309,308,914,9978,390,5389,9615,1118,12533,6291,1424,2362,101,214,13405,1581,8021,3896,1869,1633,10867,282,393,4214,4915,11016,6325,3419,11986,14588,3967,14580,11251,703,852,812,12708,241,14347,447,6125,1309,4430,6926,1861,10966,8877,4919,8191,2359,9283,6368,5944,1272,8911,66,6358,7389,5232,7982,10080,3109,9963,4630,7388,10575,5733,9094,455,9918,7950,1469,4704,554,10123,9636,1853
303,4758,539,3470,375,5525,150,7178,12254,646,4043,54,6444,4136,1178,2269,2370,9894,2373,4891,10089,15503,4516,14261,6295,2197,3007,7140,7310,309,915,9979,391,5390,9638,1140,12534,6313,1425,2363,102,237,13406,1582,8022,3897,1870,1634,11439,806,394,4763,4938,11038,6898,3420,11987,14611,3968,14581,11252,704,853,835,12728,242,14348,448,6128,1310,4431,6927,1862,10967,8878,4920,8192,2384,9284,6369,5966,1273,8912,67,6380,7390,5233,7983,10081,3110,10437,5155,7410,11098,5734,9095,456,9939,7951,1470,4725,555,10124,10210,1854
304,4777,540,3471,397,5526,169,7179,12255,647,4065,55,6445,4161,1201,2270,2371,9895,2374,4892,10090,15504,4517,14834,6296,2198,3008,7141,7756,310,937,9980,392,5914,9639,1141,12556,6314,1970,2364,103,238,13407,1583,8046,3901,1871,2184,11440,807,395,4764,4939,11039,6899,3421,11988,14612,3969,14582,11253,705,854,836,12729,243,14370,449,6149,1333,4453,6928,2434,10990,8900,4921,8193,2933,9307,6393,5967,1274,8913,68,6381,7391,5234,8006,10082,3111,10438,5179,7411,11122,5735,9096,478,9940,7952,1471,4726,556,10125,10234,1855
305,4778,541,3472,398,5527,170,7199,12256,648,4066,56,6468,4585,1202,2271,2372,9896,2375,4916,10112,15505,4538,14835,6297,2221,3009,7142,7757,311,938,9981,407,5938,9640,1142,12557,6315,1971,2365,104,764,13430,1606,8047,3902,1872,2185,11441,808,396,4765,4940,11040,6900,3422,12011,14613,3970,14604,11274,706,876,1434,12730,244,14371,450,6174,1334,4454,6929,2435,10991,8901,4922,8194,2934,9308,6394,5968,1275,8914,69,6382,7392,5256,8007,10105,3133,10439,5180,7412,11123,5736,9097,479,9941,8526,1472,4727,557,10148,10235,1856
306,4779,563,3473,399,5549,171,7200,12257,671,4067,57,6469,4586,1203,2293,2819,9919,2398,5440,10113,15506,4539,14857,6319,2222,3032,7715,7758,312,939,10553,408,5939,9641,1143,12558,6316,1972,2385,126,765,13431,1607,8048,3903,1892,2186,11464,830,920,4787,4962,11041,6923,3423,12012,14637,3991,14605,11275,727,877,1435,12731,263,14372,451,6175,1335,4455,6951,2458,11564,8902,4944,8195,2935,9309,6942,5991,1296,8936,86,6405,7393,5257,8478,10629,3134,10459,5203,7413,11124,5757,9098,480,9942,8527,1494,4728,558,10149,10236,1857
307,4780,564,3495,400,5550,172,7201,12258,672,4068,58,6470,4610,1204,2294,2843,9920,2399,5441,10114,15528,4540,14858,6320,2223,3033,7716,7780,333,940,10554,409,5940,9664,1144,13131,6338,1973,2386,127,787,13432,1631,8070,3920,1893,2209,11465,831,921,4788,4963,11042,6924,3445,12561,14638,3992,14606,11276,728,878,1436,12732,264,14373,452,6198,1358,4456,6952,2459,11565,8903,4945,8196,2958,9310,6943,5992,1297,8937,87,6406,7394,5258,8479,10630,3135,10460,5204,7435,11125,5758,9118,503,9943,8551,1495,4751,581,10150,10260,1875
326,4781,565,3496,922,5551,173,7202,12280,673,4639,59,6471,4611,1226,2295,2844,10469,2400,5442,10115,15529,4541,14859,6321,2246,3034,7740,7781,334,941,10555,410,5963,9665,1166,13132,6339,1995,2387,128,788,14005,1632,8071,3921,1894,2210,11466,832,944,4789,4964,11064,6925,3446,12562,15211,3993,14607,11277,729,879,1460,12733,265,14921,468,6199,1359,4478,6953,2460,11566,8926,4946,8197,2959,9332,6967,5993,1298,8938,88,6407,7414,5281,8501,10653,3136,10461,5205,7436,11126,5759,9119,1026,9964,8552,1496,4752,582,10173,10261,1876
