,grain,FIP
0,1,2.7387637574252914e-07
1,2,1.4842737421238675e-06
2,3,1.1549880533219497e-06
3,4,4.0280578655532624e-07
4,5,9.04077454006559e-07
5,6,1.6487944534232089e-06
6,7,5.36802975374962e-06
7,8,8.362686398864026e-06
8,9,3.6925017527113435e-07
9,10,8.974263426375027e-06
10,11,3.266905245617729e-08
11,12,1.1843570271605223e-07
12,13,5.701436645727265e-07
13,14,8.25783886251439e-06
14,15,1.1684252891593477e-07
15,16,1.6102680634286e-08
16,17,8.059532669550289e-06
17,18,5.837087543625563e-09
18,19,4.831506812867455e-11
19,20,8.774440228928565e-06
20,21,4.665259737053791e-06
21,22,8.538201768338749e-08
22,23,6.652000025008027e-06
23,24,3.7100649299397314e-08
24,25,1.6453162902653827e-07
25,26,3.297672432086419e-07
26,27,9.298099082749286e-08
27,28,4.10706774525532e-07
28,29,5.011632544572014e-08
29,30,1.0599657578651222e-12
30,31,1.2438489224642156e-08
31,32,1.663835081054152e-08
32,33,4.71360413536541e-09
33,34,2.949467428513992e-06
34,35,1.3923577136483106e-06
35,36,4.851179855814088e-07
36,37,8.521857094710446e-07
37,38,9.410668908021895e-06
38,39,7.109772676797075e-06
39,40,2.5925785382039416e-06
40,41,5.662486945868426e-08
41,42,2.674977712675554e-06
42,43,1.250166757723111e-12
43,44,7.769622278329454e-06
44,45,1.0648061436855431e-08
45,46,2.718564094546495e-07
46,47,5.461560318341404e-09
47,48,2.7940893237529513e-07
48,49,3.738425735960064e-08
49,50,2.325221378084003e-06
50,51,6.077382974150282e-10
51,52,3.7295930983430335e-06
52,53,7.908262572577106e-07
53,54,3.804056459576901e-09
54,55,5.394570983003521e-07
55,56,1.3252793762274724e-06
56,57,3.3337826618746163e-10
57,58,7.843456692337707e-07
58,59,4.878023311770392e-09
59,60,3.9403274232315545e-06
60,61,6.635021055316969e-07
61,62,4.238718873196103e-09
62,63,9.836846223762326e-09
63,64,2.4565870451676355e-10
64,65,8.563189985846139e-07
65,66,4.335742748041551e-08
66,67,9.510299121141529e-09
67,68,6.612210729581574e-06
68,69,1.0381963647589201e-09
69,70,1.5489428505085526e-07
70,71,7.705033591549157e-06
71,72,6.313449461492638e-08
72,73,8.217137295141101e-06
73,74,4.629916435469528e-08
74,75,7.681959361259858e-06
75,76,7.977236390043025e-06
76,77,2.4297451481087646e-06
77,78,2.597402318207646e-06
78,79,3.1145897125480695e-08
79,80,9.255721689365007e-07
80,81,7.849564079420301e-06
81,82,2.7885506625586795e-07
82,83,7.825697157844118e-06
83,84,8.440806352857556e-06
84,85,4.538608394605306e-07
85,86,7.389817323626439e-06
86,87,8.226203161502853e-06
87,88,4.991301353424153e-06
88,89,8.746091561369342e-06
89,90,1.0477363912325039e-09
90,91,3.238929090366177e-08
91,92,9.181733711164421e-11
92,93,3.8740573286668006e-07
93,94,6.285799048654433e-07
94,95,2.6101638172893134e-08
95,96,7.575598652589236e-06
96,97,2.991123552623194e-06
97,98,5.37521655899381e-07
98,99,3.1063614216291656e-06
99,100,1.386959318259607e-07
100,101,6.071931257220412e-07
