1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
 11355, 13286, 1034, 11195, 7153, 306, 5255, 1144, 6175, 7101, 8313, 420, 7139, 9935, 2449, 3155, 1720, 11469, 9652, 60, 11647, 3100, 13920, 12810, 597, 283, 9305, 8186, 148, 7012, 1326, 220, 6118, 7545, 5487, 9509, 3917, 208, 4494, 10239, 44, 386, 108, 317, 13144, 2708, 5106, 10540, 1511, 2707, 9718, 2046, 275, 1545, 6242, 7993, 4596, 9708, 1013, 2269, 3422, 1593, 9563, 5677, 1634, 11354, 5440, 9562, 3667, 5648, 11038, 77, 14404, 10319, 14771, 14817, 1214, 11340, 12792, 7934, 4896, 11590, 465, 789, 3774, 8386, 5247, 122, 7308, 4401, 4612, 290, 33, 402, 6729, 213, 2776, 576, 13565, 7223, 9796, 3485, 4033, 3162
 11879, 13287, 1035, 11196, 7154, 307, 5257, 1167, 6196, 7122, 8314, 421, 7140, 9936, 2472, 3156, 1745, 11470, 9653, 61, 11648, 3101, 13921, 12811, 1145, 831, 9808, 8207, 149, 7013, 1327, 221, 6119, 7566, 5488, 9532, 3938, 209, 4495, 10240, 45, 934, 109, 840, 13145, 2709, 5107, 10541, 1512, 2730, 9719, 2068, 276, 1546, 6243, 8018, 4619, 9731, 1015, 2270, 3423, 1618, 9564, 5678, 1655, 11376, 5441, 9583, 3668, 5649, 11060, 78, 14405, 10320, 14794, 14818, 1215, 11341, 12793, 7935, 4897, 11591, 466, 790, 3775, 8387, 5248, 146, 7328, 4402, 4633, 311, 34, 403, 6730, 214, 2777, 598, 13566, 7224, 9797, 3486, 4034, 3163
 11880, 13288, 1058, 11219, 7177, 308, 5279, 1168, 6197, 7123, 8315, 422, 7163, 10509, 2473, 3157, 2319, 11471, 9654, 62, 12147, 3125, 14494, 12812, 1170, 832, 9809, 8208, 150, 7014, 1328, 222, 6120, 7567, 5509, 9533, 3939, 210, 4517, 10241, 46, 935, 128, 841, 13167, 2710, 5108, 10542, 1513, 2731, 9742, 2069, 277, 1569, 6244, 8494, 4620, 9732, 1016, 2271, 3446, 2092, 9565, 5679, 1656, 11377, 5442, 9584, 3669, 5669, 11061, 626, 14428, 10341, 14795, 14840, 1239, 11364, 12815, 7959, 4898, 11592, 467, 791, 3796, 8388, 5249, 171, 7329, 4426, 5158, 312, 35, 423, 6731, 236, 2778, 599, 14114, 7225, 9817, 3510, 4035, 3164
 11881, 13289, 1059, 11220, 7178, 327, 5280, 1169, 6198, 7124, 8337, 446, 7164, 10510, 2474, 3179, 2320, 11494, 9655, 63, 12172, 3626, 14495, 12833, 1171, 833, 9828, 8209, 151, 7015, 1329, 223, 6121, 7568, 5510, 9534, 3940, 235, 4518, 10242, 66, 959, 129, 866, 13168, 2711, 5130, 10563, 1514, 2732, 9743, 2070, 298, 1570, 6245, 8518, 4621, 9733, 1017, 2273, 3447, 2093, 9588, 5699, 1657, 11378, 5463, 9585, 3670, 5670, 11062, 627, 14429, 10342, 14796, 14841, 1813, 11365, 12816, 7960, 4921, 11614, 468, 814, 3797, 8389, 5250, 673, 7330, 4427, 5159, 313, 55, 424, 6732, 237, 2799, 600, 14115, 7226, 9818, 4057, 4036, 3184
 11904, 13312, 1060, 11221, 7179, 328, 5281, 1192, 6199, 7125, 8338, 447, 7165, 10511, 2475, 3180, 2344, 11495, 9675, 64, 12173, 3627, 14518, 12834, 1195, 854, 9829, 8210, 152, 7037, 1349, 243, 6144, 7569, 5511, 10131, 3941, 734, 4519, 10264, 67, 960, 130, 867, 13169, 2712, 5131, 10564, 1515, 2733, 9744, 2071, 299, 1571, 6266, 8519, 4645, 9754, 1018, 2274, 4022, 2094, 9589, 5700, 1658, 11926, 5464, 9586, 3691, 5671, 11063, 628, 14430, 10343, 14819, 14842, 1814, 11366, 12817, 8508, 4922, 11615, 469, 815, 3798, 8410, 5251, 698, 7331, 4428, 5183, 314, 56, 425, 6754, 786, 2800, 601, 14116, 7246, 9819, 4058, 4634, 3185
 11905, 13313, 1061, 11244, 7180, 329, 5282, 1193, 6200, 7126, 8339, 971, 7187, 10534, 2498, 3181, 2345, 11496, 9676, 65, 12195, 3628, 14519, 12835, 1196, 855, 9830, 8211, 172, 7038, 1350, 244, 6145, 7570, 5512, 10132, 3942, 735, 4520, 10265, 68, 985, 131, 892, 13192, 2735, 5132, 10565, 1516, 2754, 9767, 2095, 300, 1594, 6267, 8542, 4646, 9755, 1036, 2294, 4023, 2117, 9590, 5701, 1680, 11927, 5465, 9587, 3692, 5672, 11064, 651, 15003, 10344, 14820, 14843, 1815, 11367, 12818, 8533, 4923, 11616, 487, 816, 3799, 8411, 5272, 699, 7332, 4451, 5184, 315, 57, 426, 6755, 787, 2801, 602, 14139, 7247, 9820, 4059, 4635, 3186
 11906, 13314, 1083, 11245, 7202, 330, 5304, 1194, 6201, 7147, 8340, 972, 7188, 10535, 2499, 3182, 2369, 11518, 9677, 85, 12196, 3629, 14520, 12836, 1197, 856, 9831, 8233, 173, 7039, 1351, 245, 6146, 7571, 5513, 10133, 3963, 758, 4542, 10266, 69, 1559, 132, 12166, 13193, 2736, 5133, 10566, 1535, 2755, 9768, 2096, 301, 1595, 6268, 8543, 5220, 9756, 1037, 2295, 4046, 2118, 9613, 5702, 1681, 11928, 5466, 9608, 3693, 5673, 11085, 652, 15004, 10345, 14821, 14867, 1838, 11389, 12819, 8534, 4946, 11617, 488, 1362, 3820, 8412, 5273, 722, 7333, 4452, 5185, 316, 58, 427, 6756, 788, 2802, 623, 14140, 7248, 9821, 4060, 4636, 3187
 11907, 13315, 1084, 11246, 7203, 331, 5305, 1217, 6202, 7148, 8364, 973, 7189, 10536, 2500, 3206, 2370, 11519, 9678, 86, 12197, 3651, 14521, 12837, 1220, 857, 9832, 8234, 174, 7040, 1352, 246, 6171, 7591, 5514, 10156, 3964, 759, 4543, 10267, 70, 1584, 133, 12741, 13194, 3259, 5680, 10567, 1536, 2756, 9769, 2669, 302, 2120, 6790, 8544, 5221, 9757, 1038, 2298, 4047, 2119, 9614, 5703, 1682, 11951, 5467, 9609, 3694, 5674, 11086, 653, 15028, 10917, 14844, 14868, 1839, 11390, 12842, 8535, 4947, 11639, 489, 1363, 3821, 8413, 5274, 723, 7354, 4453, 5186, 337, 59, 428, 6757, 811, 2803, 624, 14141, 7249, 9822, 4061, 4658, 3188
 11929, 13337, 1085, 11819, 7204, 332, 5306, 1218, 6221, 7149, 8888, 994, 7190, 10559, 3072, 3207, 2394, 11520, 9679, 87, 12198, 3652, 14543, 12858, 1221, 858, 9833, 8235, 175, 7063, 1353, 247, 6644, 7592, 5532, 10157, 3965, 760, 4544, 10290, 71, 1585, 153, 12742, 13218, 3260, 5681, 10568, 2087, 2757, 10368, 2670, 323, 2121, 6791, 8567, 5244, 9758, 1039, 2299, 4048, 2142, 9615, 5704, 1706, 11952, 5468, 9610, 3695, 5695, 11087, 676, 15029, 10918, 14845, 15417, 1840, 11391, 12843, 8559, 4971, 11640, 490, 1364, 3822, 8414, 5275, 724, 7355, 4454, 5208, 338, 84, 429, 6779, 812, 2823, 625, 14142, 7250, 9842, 4083, 4659, 3189
 11930, 13338, 1086, 11820, 7205, 333, 5307, 1219, 6222, 7150, 8912, 995, 7763, 10560, 3073, 3752, 2395, 11521, 9680, 88, 12220, 3653, 14544, 12859, 1222, 859, 9834, 8236, 176, 7064, 1354, 248, 6645, 7593, 5533, 10158, 4513, 761, 4545, 10291, 91, 13408, 154, 12766, 13219, 3261, 5682, 10589, 2088, 2779, 10393, 2694, 324, 2122, 6792, 8568, 5245, 9759, 1040, 2870, 4072, 2143, 9616, 5723, 1707, 11953, 5489, 9611, 4242, 5696, 11088, 677, 15030, 10919, 14846, 15418, 2438, 11392, 12844, 8560, 5496, 11641, 491, 1365, 3823, 8435, 5276, 747, 7356, 4477, 5209, 339, 481, 448, 6780, 813, 2824, 648, 14165, 7272, 9843, 4084, 4660, 3209
