1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
11141,9482,10007,4665,2959,1572,9778,5191,9608,2695,371,1,11460,10013,6260,3504,6846,3143,13613,8316,9906,9647,4255,464,12641,7517,301,4,1273,9701,1138,8914,5964,6,3139,846,12413,3576,2246,3224,20,8991,8907,194,9291,490,2693,11,1319,5011,7762,13343,255,12623,2944,6273,8253,109,8145,6635,51,5812,119,4713,113,8446,3,7259,16,10801,358,9376,9781,5297,11817,134,430,6671,7852,1957,6889,2156,343,5675,11754,9323,2571,1551
11741,9507,10632,4666,2960,1573,10403,5215,9609,2696,372,2,11484,10014,6284,3528,6847,3168,13614,8317,9907,9648,4256,489,12642,7518,302,5,1274,9726,1139,8915,6538,7,3163,871,12438,3577,2247,3248,21,8992,8908,219,9292,491,2718,12,1320,5036,8386,13368,256,12624,2945,6298,8254,110,8170,6658,76,5837,120,4738,138,8447,13752,7260,17,10802,383,9377,9806,5320,11818,135,431,6696,7853,2505,6890,2731,367,5700,11755,9348,2572,1552
11742,9508,10633,4667,2961,1597,10404,5216,9610,2697,394,26,11485,10015,6285,3529,6848,3766,14213,8341,9931,9649,4257,1063,12643,7519,303,28,1275,9751,1163,9490,6539,8,3164,896,12462,3578,2248,3249,22,8993,8932,220,9293,1116,2743,13,1321,5037,8387,13919,257,12625,2968,6320,8277,709,8745,6659,77,6410,143,5311,10691,8448,13753,7834,18,10803,384,9378,10380,5321,11819,136,432,6697,7854,2506,6914,2732,368,6274,11779,9898,3144,1553
11743,10081,10634,4668,2984,2196,10405,5240,9632,2719,395,27,11509,10038,6309,3553,6871,3767,14214,8342,9932,10221,4258,1088,12666,7520,322,29,1299,9752,1763,9514,6563,9,3165,897,12463,3601,2271,3272,23,8994,8933,243,9316,13590,3242,14,1344,5060,8388,13942,279,13223,2969,6321,8278,734,8746,6660,100,6411,144,5312,10712,8449,13754,7835,19,10828,957,9379,10381,5322,11841,159,455,6721,7878,2507,6915,2755,369,6275,11780,9922,3145,1554
11765,10082,10635,4669,2985,2197,10428,5241,9633,2720,396,452,11510,10039,6334,3554,6872,3768,14237,8916,9933,10222,4280,1089,12667,7542,323,30,1300,9753,1764,9515,6564,10,3189,922,13037,3602,2272,3273,24,9017,8934,244,9317,14167,3243,15,1345,5061,8411,13943,280,13224,2970,6322,8279,735,8769,6661,101,6412,145,5313,10713,8471,13776,7836,42,10829,958,9380,10382,5323,11842,160,456,6722,7879,2530,6916,2756,370,6276,11803,9923,3169,1555
11766,10083,10657,4689,2986,2198,10429,5242,9634,2721,397,453,11511,10040,6359,4104,6873,3791,14238,8917,9956,10223,4281,1090,12668,7543,324,31,1849,9776,1765,9516,6588,32,3761,1447,13038,3603,2273,3274,25,9018,8956,245,9318,14190,3267,35,1346,5062,8412,13944,281,13225,2971,6323,8302,736,8770,6662,102,6413,146,5336,10715,8472,13777,7858,43,10830,982,9381,10406,5324,11843,161,457,6746,7880,2531,7514,2757,391,6299,11804,9946,3170,2151
11767,10106,10658,4690,3010,2199,10430,5265,9635,2722,398,454,11533,10063,6360,4105,7447,3792,14239,8918,9957,10246,4282,1113,12691,7544,325,52,1871,10326,1787,9538,6589,33,3762,1471,13062,3626,2296,3296,45,9019,8957,246,9891,14191,3268,36,1347,5085,8413,13967,282,13246,2972,6345,8303,759,8771,6682,103,6414,168,5337,10716,8473,13778,7859,44,11379,983,9401,10407,5345,11844,162,480,6747,8477,2532,7515,2758,392,6300,11805,9947,3171,2152
11768,10107,10659,4691,3011,2221,10454,5266,9657,2744,417,476,11534,10064,6384,4128,7471,3793,14264,8940,9958,10247,4283,1114,13266,7567,326,53,1872,10351,1788,9539,6613,34,3763,1472,13063,3627,2297,3297,46,9590,8958,267,9892,14192,3269,37,1368,5086,8436,13968,304,13247,2993,6346,8304,760,8772,6683,104,6415,169,5338,10737,8474,13779,7860,68,11380,984,9402,10408,5346,11866,163,481,6791,8478,2533,7516,2780,393,6301,11806,9948,3193,2153
11769,10108,10682,4692,3036,2222,10455,5267,9658,2745,418,477,11535,10065,6385,4129,7472,3816,14812,8941,9982,10248,4305,1115,13267,7568,327,54,1873,10352,1789,9540,6614,58,3764,1473,13087,3628,2298,3298,47,9591,8959,268,9893,14215,3292,38,1369,5087,8437,13969,305,13248,2994,6347,8305,761,8773,6684,105,6435,170,5361,11291,8496,13802,7861,514,11401,1007,9403,10409,5347,11867,164,12980,6792,8479,2552,7539,2781,416,6302,12379,9949,3194,2154
11789,10109,10683,4693,3561,2223,11028,5791,9659,2746,419,478,11536,10089,6409,4130,7473,3817,14813,8942,10506,10249,4306,1662,13290,7591,328,55,1874,10353,1790,9563,6637,59,3765,1495,13088,3653,2870,3299,48,9616,8984,269,9916,14216,3293,39,1370,5088,8462,13992,306,13249,2995,6348,8827,762,8774,6685,124,6436,171,5362,11311,8497,13803,7883,515,11402,1008,9404,10431,5348,11868,165,13006,6793,8480,2553,7540,2782,942,6324,12380,9973,3195,2174
11790,10131,10684,4694,3583,2224,11029,5815,9683,2770,420,479,11558,10090,6861,4152,7496,3841,14814,8943,10507,10250,4307,1663,13291,7592,329,56,1875,10354,1812,9564,6638,84,3786,1496,13089,4176,2871,3323,49,9617,9532,270,9917,14217,3294,40,1371,5636,8487,13993,307,13250,2996,6896,8828,763,8794,6686,125,6437,195,5363,11312,8498,13804,7884,516,11403,1009,9405,10432,5349,12467,166,13554,6794,8503,2555,7541,3306,943,6325,12381,9974,3196,2175
