1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
 13884, 14932, 11559, 4251, 5490, 10793, 14450, 6512, 8683, 13662, 6726, 28, 2262, 3783, 2482, 10096, 10409, 953, 132, 3778, 7663, 3960, 6011, 7544, 12575, 7516, 6380, 10115, 8693, 7808, 3231, 6182, 121, 10772, 406, 11134, 1619, 5778, 390, 2834, 116, 2505, 8728, 7826, 14382, 13337, 7373, 8021, 1923, 11455, 11057, 1475, 7991, 2516, 6521, 11409, 705, 449, 62, 7140, 6622, 1009, 11449, 3988, 54, 11953, 135, 3991, 14815, 8065, 7799, 635, 3796, 13302, 12547, 10910, 580, 419, 5839, 3013, 14510, 578, 9410, 2814, 1184, 14378, 11680, 1069, 13646, 8637, 271, 4629, 4499, 9340, 5828, 2053, 4244, 2793, 11971, 4800, 2917, 11136, 8133, 6327, 288, 1544, 7052, 12639, 9535, 487, 43, 9617, 427
 14432, 14955, 11560, 4252, 5491, 10794, 14473, 6513, 8707, 13663, 6727, 46, 2263, 3784, 2507, 10097, 10410, 954, 133, 3801, 7664, 3980, 6012, 8117, 12576, 7538, 6401, 10116, 8694, 7809, 3232, 6183, 122, 10795, 407, 11155, 1642, 5779, 391, 2835, 117, 2506, 9201, 7827, 14405, 13338, 7374, 8022, 1924, 11456, 11058, 1500, 7992, 2517, 6543, 11432, 706, 472, 63, 7163, 6623, 1010, 11450, 3989, 55, 11954, 136, 3992, 14816, 8066, 7800, 636, 3819, 13326, 12548, 10911, 581, 943, 5863, 3014, 14511, 579, 9411, 2815, 1185, 14379, 12229, 1094, 13647, 8638, 272, 4650, 4518, 9341, 5851, 2076, 4245, 2816, 11972, 5351, 2918, 11137, 8155, 6351, 289, 1545, 7053, 12640, 9536, 488, 44, 9618, 428
 14433, 14956, 11579, 4253, 5492, 10817, 14474, 6536, 8708, 14237, 6728, 47, 2286, 3785, 3031, 10670, 10411, 975, 151, 3802, 7665, 3981, 6013, 8118, 12577, 7539, 6402, 10138, 8695, 7810, 3779, 6184, 123, 10796, 408, 11156, 1643, 5780, 392, 2836, 118, 2528, 9202, 7828, 14406, 13361, 7375, 8023, 1925, 11457, 11059, 2049, 8015, 2539, 6544, 11433, 707, 473, 64, 7164, 6624, 1011, 11998, 4011, 56, 11955, 137, 3993, 14840, 8087, 7823, 658, 3820, 13327, 12549, 10912, 582, 944, 5864, 3015, 14534, 1151, 9412, 2837, 1186, 14401, 12230, 1095, 13648, 8639, 273, 4651, 4519, 9342, 5852, 2077, 4246, 2817, 11973, 5352, 2919, 11138, 8156, 6376, 310, 1546, 7054, 12641, 9559, 489, 68, 9619, 429
 14434, 14957, 11580, 4278, 6014, 10818, 14475, 6537, 8709, 14261, 6751, 48, 2287, 3786, 3032, 10671, 10412, 976, 152, 3826, 7688, 3982, 6035, 8119, 12600, 7540, 6403, 10139, 8696, 7811, 3780, 6706, 124, 10797, 409, 11157, 1644, 5781, 412, 2855, 139, 2529, 9203, 7829, 14407, 13362, 7398, 8595, 1948, 11478, 11081, 2050, 8016, 2540, 6545, 11434, 727, 474, 637, 7165, 6646, 1031, 11999, 4012, 57, 11956, 138, 3994, 14841, 8088, 7824, 659, 3821, 13352, 13121, 10935, 583, 968, 5865, 3016, 14535, 1177, 9413, 2838, 1187, 14402, 12231, 1119, 14221, 8640, 274, 4652, 4520, 9343, 5853, 2078, 4247, 2818, 11992, 5353, 2941, 11162, 8157, 6876, 311, 1547, 7055, 12663, 9560, 490, 441, 9620, 430
 14457, 14981, 11581, 4801, 6038, 10819, 14498, 6538, 8732, 14262, 6752, 49, 2288, 3787, 3055, 10672, 10434, 977, 153, 3827, 7689, 3983, 6036, 8142, 12601, 7541, 6404, 10140, 8697, 7830, 3781, 6707, 144, 10820, 410, 11158, 1667, 5803, 413, 2856, 140, 2530, 9204, 7850, 15005, 13363, 7399, 8596, 1949, 11479, 11082, 2073, 8017, 2541, 6546, 11458, 728, 497, 638, 7166, 6647, 1032, 12000, 4013, 58, 11979, 160, 4543, 15415, 8089, 7825, 660, 4393, 13926, 13122, 10936, 606, 969, 5889, 3017, 14536, 14876, 9435, 2839, 1209, 14403, 12253, 1120, 14222, 8663, 275, 4653, 4521, 9365, 6426, 2101, 4268, 2819, 11993, 5375, 2942, 11687, 8158, 6877, 312, 1548, 7056, 12664, 9561, 511, 442, 9637, 450
 14458, 14982, 11582, 4802, 6039, 10843, 14499, 6539, 8733, 14263, 6753, 50, 2311, 3808, 3056, 10673, 10435, 978, 154, 4376, 7690, 3984, 6586, 8143, 12602, 7563, 6955, 10141, 8698, 7831, 3782, 6708, 145, 10821, 411, 11159, 1668, 5804, 414, 2860, 141, 2531, 9225, 7851, 15006, 13386, 7400, 8597, 1950, 11480, 11083, 2074, 8591, 2542, 6570, 11459, 729, 498, 639, 7187, 6648, 1033, 12023, 4586, 80, 11980, 161, 4544, 15416, 8090, 8349, 683, 4394, 13927, 13123, 10937, 607, 994, 6463, 3038, 14537, 14901, 9436, 2840, 1210, 14426, 12254, 1121, 14223, 8664, 294, 4654, 4522, 9366, 6451, 2126, 4269, 2841, 11997, 5376, 2943, 11688, 8181, 6878, 313, 1549, 7077, 12665, 9562, 512, 443, 9638, 451
 14459, 15529, 11583, 4803, 6040, 10844, 14500, 6562, 8734, 14285, 6754, 51, 2862, 3809, 3057, 10694, 10436, 979, 155, 4377, 7713, 3985, 6587, 8144, 12603, 7564, 6978, 10142, 8718, 7832, 3803, 6709, 146, 11318, 431, 11180, 1692, 5805, 415, 2861, 142, 2552, 9226, 7852, 15007, 13387, 7974, 8598, 2423, 11481, 11084, 2075, 8592, 2564, 6571, 12007, 730, 499, 661, 7188, 6649, 1034, 12024, 4587, 81, 11981, 162, 4567, 15440, 8091, 8350, 684, 4395, 13951, 13145, 10961, 608, 14094, 6464, 3039, 14559, 14902, 9437, 2864, 1211, 14427, 12255, 1144, 14246, 8665, 295, 4675, 4523, 9367, 6452, 2601, 4270, 2842, 12017, 5377, 2968, 11689, 8182, 6879, 314, 1569, 7078, 12666, 9563, 513, 466, 9639, 452
 14482, 15530, 11584, 4825, 6041, 11417, 14524, 6563, 8735, 14286, 6776, 52, 2863, 3810, 3058, 10695, 10437, 980, 156, 4378, 8238, 4005, 6610, 8145, 12625, 7565, 6979, 10163, 8719, 7833, 3804, 6730, 147, 11319, 432, 11181, 1693, 5829, 416, 2880, 143, 2553, 9227, 7853, 15008, 13388, 7975, 8599, 2424, 11482, 11108, 2098, 8593, 2565, 7118, 12032, 731, 1019, 662, 7189, 6670, 1035, 12025, 4611, 82, 12005, 186, 4568, 15441, 8112, 8372, 685, 4419, 13952, 13146, 10962, 1132, 14119, 6488, 3040, 14560, 14903, 9438, 2865, 1212, 14428, 12256, 1145, 14247, 9187, 296, 4676, 4524, 9368, 6453, 2625, 4271, 2843, 12018, 5378, 3492, 11690, 8183, 6901, 315, 1570, 7079, 12687, 9584, 514, 467, 9640, 453
 14483, 15531, 11585, 4826, 6063, 11418, 15073, 7161, 9332, 14287, 6777, 53, 2887, 3811, 3079, 10696, 10460, 1000, 157, 4379, 8239, 4006, 6611, 8167, 12626, 7566, 6980, 10164, 8720, 7834, 3805, 6731, 148, 11343, 433, 11182, 2241, 6405, 417, 2881, 163, 2554, 9228, 7854, 15030, 13411, 7999, 8620, 2425, 11483, 11109, 2099, 8616, 2566, 7119, 12033, 732, 1020, 663, 7190, 6671, 1036, 12048, 4612, 83, 12006, 187, 4569, 15465, 8113, 8373, 686, 4420, 14551, 13147, 11486, 1133, 14691, 6489, 3041, 14561, 14925, 9439, 2889, 1237, 15027, 12257, 1146, 14248, 9188, 297, 4677, 4545, 9391, 6476, 2626, 4272, 2844, 12022, 5379, 3493, 11711, 8206, 6902, 335, 1571, 7080, 12688, 9585, 515, 468, 9641, 454
 14484, 15532, 11606, 4827, 6064, 11442, 15074, 7162, 9333, 14288, 6778, 72, 2888, 3812, 3080, 10697, 10461, 1025, 158, 4401, 8240, 4007, 6612, 8168, 12627, 7589, 7003, 10165, 8721, 7835, 3806, 6732, 149, 11344, 434, 11183, 2242, 6406, 988, 2885, 164, 2555, 9229, 7875, 15031, 13412, 8000, 8621, 2426, 11503, 11657, 2100, 8617, 2567, 7120, 12034, 1302, 1021, 664, 7191, 6672, 1582, 12049, 4613, 629, 12502, 711, 4570, 15466, 8114, 8374, 708, 4421, 14552, 13148, 11487, 1156, 14692, 6514, 3042, 14562, 14926, 9459, 2914, 1733, 15028, 12279, 1171, 14271, 9189, 298, 4678, 4546, 9392, 6477, 2627, 4293, 2866, 12042, 5399, 3516, 11712, 8207, 6903, 336, 1572, 7103, 12689, 9586, 535, 491, 9642, 455
 14507, 15555, 11607, 4828, 6065, 11443, 15075, , 9334, 14886, 6779, 73, 2912, 3833, 3081, 10698, 10986, 1525, 159, 4402, 8262, 4008, 6613, 8169, 12628, 7590, 7004, 10166, 8722, 7836, 3807, 6733, 150, 11345, 435, 11205, 2243, 6430, 989, 2886, 165, 3129, 9250, 7876, 15032, 13938, 8024, 8622, 2427, 11504, 11658, 2125, 8618, 2589, 7142, 12057, 1303, 1022, 687, 7192, 6673, 1583, 12050, 4636, 630, 12503, 712, 4571, , 8115, 8375, 709, 4444, 14576, 13170, 11510, 1157, 14693, 7088, 3043, 14584, 14927, 9460, 3364, 1734, 15029, 12280, 1744, 14272, 9190, 299, 4679, 4547, 9416, 6478, 2650, 4294, 2870, 12043, 5400, 3517, 11713, 8729, 6904, 337, 1573, 7104, 12690, 9587, 536, 492, 9643, 475
 14508, 15556, 11608, 4829, 6066, 11444, 15098,, 9358, 14887, 6780, 74, 2913, 3834, 3082, 10720, 11010, 1526, 176, 4403, 8263, 4009, 6634, 8743, 12629, 8137, 7005, 10188, 8745, 7855, 3828, 6734, 169, 11346, 436, 11206, 2244, , 990, 2906, 166, 3130, 9251, 7877, 15056, 13961, 8025, 8623, 2445, 11505, 11659, 2674, 8641, 2590, 7143, 12058, 1304, 1023, 688, 7193, 6674, 1584, 12074, 4637, 631, 12504, 713, 4591,, 8116, 8376, 710, 4445, , 13171, 11511, 1158, 14694, 7089, 3063, 14585, 14928, 9461, 3365, 1735, 15052, 12281, 1745, 14273, 9212, 300, 5225, 4548, 9417, 7076, 2651, 4295, 3391, 12047, 5401, 3518, 11714, 8730, 6905, 338, 1574, 7105, 12691, 9610, 537, 493, 9644, 476
 14509, 15557, 11609, 4849, 6067, 11468, 15099,, 9359, 14911, 6801, 75, , 3835, 3083, 10721, 11011, 1550, 177, 4425, 8264, 4010, 6635, 8744, 12651, 8138, 7006, 10189, 8746, 7856, 3829, 6735, 170, 11347, 456, 11207, 2266,, 991, 2910, 167, 3153, 9252, 7878, , 13962, 8600, 8624, 2446, 11506, 11681, 2699, 8642, 2591, 7144, 12059, 1305, 1024, 689, 7212, 6696, 1585, 12075, 4638, 632, 12505, 714, 4592,, 8687, 8396, 1234, 4446,, 13172, 11512, 1180, 14695, , 3064, 14586, 14950, 9462, 3388, 1758, 15053, 12282, 1769, 14297, 9213, 301, 5229, 4549, 9916, , 2652, 4296, 3392, 12069, 5402, 3519, 11715, 8731, 6925, 339, 1595, 7628, 13239, 9611, 538, 516, 9645, 477
 15033, 15581, 11610, 4850, 6087, 12068, 15100,, 9957, , 6802, 76,, 3836, 3104, 10722, 11012, 1551, 178, 4426, 8265, 4532, 6636, 8767, 12652, 8139, 7029, 10190, 9218, 7857, 3830, 6736, 171, 11368, 457, 11208, 2267,, 1012, 2911, 168, 3154, 9253, 7879,, 13963, 8625, 8646, 2447, 11507, 11682, 2724, , 2592, 7145, 12083, 1326, 1044, 1263, 7213, 6697, 1606, 12599, 4661, 654, 12506, 734, 4593,, 8688, 8397, 1235, 5018,, 13173, 11535, 1181, 14716,, 3065, 15135, 15500, 9463, 3389, 1759, 15077, 12305, 1770, 14846, 9214, 320, 5250, 4572, 9939,, 2653, 4318, 3393, 12070, 5403, 3520, 11736, 8754, 6926, 361, 1596, 7630, 13240, 9612, 539, 517, 9662, 478
 15057, 15582, 11611, 4851, 6088, , 15123,, 9958,, 6803, 77,, 3837, 3105, 10723, 11034, 1552, 179, 4427, 8287, 4555, 6637, 8768, 12653, 8140, 7604, 10191, 9219, 7858, 3831, 6755, 172, 11369, 458, 11705, 2268,, 1013, 2934, 188, 3155, 9254, 7880,, 13964, 8650, 8647, 2448, 11508, 11683, 3299,, 2615, 7146, 12084, 1327, 1045, 1264, 7214, 6698, 1607, 12623, 5212, 655, 12527, 735, 4594,, 8689, 8398, 1236, 5019,, 13174, 11536, 1182, 14717,, 3066, 15136, 15501, 9464, 3390, 1760, 15078, 12854, 1795, 14847, 9215, 321, 5251, 4573, 9940,, 2654, 4319, 3416, 12071, 5404, 3540, 11737, 8755, 6927, 362, 1597, 7631, 13241, 10159, 561, 518, 9663, 479
 15058, 15606, 11632, 4852, 6089,, 15124,, 9959,, 6804, 98,, 3858, 3106, 11296, 11035, 1553, 180, 4428, 8288, 4556, 6638, 8769, 12654, 8141, 7605, 10740, 9220, 7859, 3832, 6756, 173, 11370, 459, 11706, 2269,, 1014, 2935, 189, , 9274, 7900,, 13986, , 8648, 2449, 11529, 11684, 3324,, 2616, 7167, 12633, 1328, 1046, 1287, 7215, 6699, 1608, 12624, 5236, 656, 12528, 736, 4595,, 8690, 8399, 1258, 5020,, 13722, 11537, 1183, 14718,, 3067, 15159, 15502, 9465, 3412, 1761, , 12855, 2394, 14871, 9216, 322, 5252, 4574, 9941,, 2675, 4320, 3417, 12072, 5424, 3541, 11738, 8756, 6928, 861, 1598, 7651, 13263, 10160, 562, 519, 9669, 480
 15059, 15607, 11633, 4853, 6090,, 15125,, ,, 6805, 99,, 3859, 3107, 11297, 11036, 1554, 181, 4450, 8289, 4557, 6660, 8770, 13200, 8162, 7629, 10741, 9242, 7860, 3853, 6757, 174, 11371, 460, 11730, 2291,, 1015, 2936, 190,, 9275, 7901,, 13987,, 8649, 2450, 11530, 11707, ,, 2617, 7168, 12658, 1329, 1047, 1288, 7216, 7197, 1609, 12648, 5237, 657, 12529, 737, 4596,, 8712, 8400, 1259, 5044,, 13723, 11561, 1205, 14719,, 3068, 15160, 15525, 9484, 3413, 1783,, 12879, , 14872, 9237, 323, 5253, 5043, 9942,, 2676, 4321, 3418, 12073, 5425, 3542, 11739, 8757, 6929, 862, 2096, 7652, 13264, 10183, 563, 540, 9670, 500
 15081, , 11634, 4854, 6091,, 15149,,,, 6827, 100,, 3860, 3108, 11298, 11037, 1575, 182, 4451, 8290, 4558, 6661, 8792, 13201, 8163, , 10742, 9243, 7881, 3854, 6758, 175, 11372, 481, 11731, 2292,, 1016, 2937, 191,, 9276, 7902,, 13988,, 9221, 2451, 12029, 11708,,, 2640, 7169, 12659, 1330, 1048, 1289, 7217, 7198, 1610, 12649, 5262, 680, 12530, 738, 4616,, 8713, 8401, 1260, 5045,, 13746, 11562, 1206, 14720,, 3088, 15161, 15526, 9485, 3414, 1784,, 12880,, 14873, 9238, 324, 5254, 5068, 9964,, 2677, 4343, 3419, 12095, 5426, 3543, 11740, 8758, 6930, 863, 2097, 7653, 13265, 10184, 587, 541, 10214, 501
 15082,, 12134, 4876, 6092,, 15150,,,, 6828, 101,, 3861, 3131, 11320, 11060, 1576, 183, 4452, 8312, 4559, 7211, 8793, 13202, 8164,, 10763, 9244, 7882, 3855, 6759, 195, 11393, 482, 11732, 2293,, 1037, 2957, 192,, 9277, 7903,, 13989,, 9222, 2452, 12030, 11709,,, 3138, 7170, 12683, 1331, 1049, 1290, 7218, 7220, 1631, 12650, 5263, 681, 12531, 739, 4617,, 8714, 8402, 1261, 5046,, 13747, 11586, 1207, 14741,, 3089, 15185, 15527, 9486, 3415, 1785,, 12881,, 14897, 9239, 325, 5275, 5069, 9965,, 2678, 4344, 3441, 12543, 5449, 3544, 11761, 8759, 6950, 885, 2119, 7654, 13266, 10185, 1061, 542, 10215, 502
 15083,, 12157, 4877, 6113,, ,,,, 6829, 125,, 3862, 3132, 11321, 11061, 1577, 184, 4475, 8313, 4560, 7235, 8794, 13225, 8165,, 10764, 9245, 7883, 3856, 6760, 196, 11394, 483, 11733, 2317,, 1038, 2958, 193,, 9278, 7904,, 14011,, 9223, 2470, 12031, 11710,,, 3139, 7171, 12684, 1332, 1070, 1889, 7219, 7221, 1632, 12674, 5837, 682, 12552, 759, 4618,, 8715, 8421, 1262, 5644,, 13748, 12110, 1208, 14742,, 3090, 15186, 15528, 9487, 3437, 1786,, 12904,, , 9240, 326, 5276, 5070, 9966,, 2679, 4345, 3442, 12544, 5450, 3566, 11762, 8780, 6951, 886, 2120, 7655, 13288, 10186, 1062, 543, 10216, 503
 15084,, 12158, 4878, 6114,,,,,, 6830, 523,, 3883, 3133, 11322, 11062, 1578, 185, 5001, 8314, 4580, 7236, 9393, 13226, 8166,, 10765, 9267, 7884, 3857, 6781, 197, 11395, 484, 11754, 2318,, 1039, 2959, 194,, 9279, 7925,, 14012,, 9224, 2471, 12053, 11734,,, 3140, 7172, 12685, 1351, 1071, 1914, 7238, 7222, 1633, 12675, 5862, 1254, 12553, 760, 4619,, 8737, 8422, 1283, ,, 13770, 12111, 1231, 14743,, 3091, 15187, 15550, 9488, 3438, 1787,, 12905,,, 9241, 327, 5277, 5071, 9967,, 2700, 4368, 3443, 12545, 5976, 3567, 11763, 8781, 6952, 887, 2121, 7656, 13289, 10187, 1063, 544, 10217, 504
 15106,, 12159, 4879, 6115,,,,,, 6852, 524,, 3884, 3656, 11323, 11085, 1579, 201, 5002, 8315, 4581, 7237, 9394, 13227, 8187,, 10766, 9268, 8381, 3879, 6782, 198, 11396, 485, 11755, ,, 1040, 2960, 213,, 9299, 7926,, 14013,, 9246, 2472, 12054, 11735,,, 3141, 7194, 13284, 1352, 1072, , 7239, 7223, 1634, 12699, , 1255, 12554, 761, 4620,, 8738, 8423, 1284,,, 13771, 12135, 1232, 14744,, 3092, 15210, 15551, 9511, 3439, 1808,, 12906,,, 9262, 345, 5278, 5072, 9968,, 2701, 4369, 3444, 12568, 5977, 3568, 11764, 8782, 6953, 888, 2122, 7676, 13290, 10208, 1064, 545, 10238, 505
