113
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,SurfaceFeatures_2,Volumes,Volumes2,Volumes_2
22,0.72751033,0.63998723,-0.21395449,-0.60980296,-0.67416221,0.35758802,3.4085789,1.4098779,4.1005454,29.948229,21.787645,19.166485,45.99107,55.339287,58.6875,44.665237,1.022123,1.2991444,5.3269224,216,15,0.67211866,1,0,0,48384,46656,48384
23,0.85531253,0.74849308,0.20304273,-0.52675134,0.72022206,0.40322068,2.8162928,2.097631,4.3204398,15.65674,13.391406,11.718962,62.846153,90.384613,62.384617,25.244877,4.1186776,2.0589716,5.4131041,39,7,0.3673375,1,0,0,8424,8424,8424
24,0.16154189,0.12560931,-0.81306648,0.5220319,0.21724118,0.13860716,1.5653757,1.9953197,0.022511508,64.273598,10.382878,8.0733624,106.94118,26.117647,80.470589,22.604996,4.7095375,2.6203251,5.8510742,28,7,0.0036491875,1,1,1,7344,6048,7344
25,0.18458943,0.13260753,-0.3689349,0.13996798,-0.11860543,0.91116893,3.144562,1.9108446,6.2742615,77.190773,14.248601,10.236078,36.68182,31.90909,131.93182,32.985634,6.0500174,0.81125069,0.49204919,87,11,0.010638563,1,1,1,19008,18792,19008
26,0.89966875,0.72220147,0.02893318,-0.65233099,-0.0013298115,0.75738055,3.3626814,2.0886524,4.0228181,17.987131,16.182461,12.990333,82.714287,10.238095,81.095238,27.606318,1.6168766,1.4230046,4.6698203,51,8,0.46816033,1,1,1,13608,11016,13608
27,0.70734298,0.46087661,-0.58995658,0.76479185,0.11190543,0.23349912,5.2114244,0.5692302,5.0130978,17.567314,12.426117,8.096365,18.777779,30.777779,65.888885,22.053432,4.9225292,2.6177645,0.466829,26,7,0.30338201,1,1,1,5832,5616,5832
28,0.9278385,0.71965069,-0.51534623,-0.32657707,-0.61907709,0.49447867,2.5946934,2.0986588,5.2479439,17.73691,16.456987,12.76438,86.508194,37.327869,104.0164,29.304098,2.6971593,1.2795447,3.9828315,61,9,0.42887858,1,0,0,13176,13176,13176
29,0.35767987,0.31862256,-0.37456149,0.2133477,0.75852817,0.48869354,1.5372565,1.6732767,0.03444339,65.546638,23.444714,20.884638,116.81955,117.70676,104.92481,54.15501,4.7669611,0.89133656,5.802484,385,22,0.10828751,1,1,1,86184,83160,86184
30,0.91573137,0.75211716,-0.43663386,-0.48630562,0.55255443,0.51724386,1.1329563,0.33981419,1.3041241,27.939507,25.585083,21.013783,41.593987,77.390976,91.015038,47.573517,3.914391,2.1079125,1.7168478,261,19,0.63486993,1,0,0,57456,56376,57456
31,0.88896298,0.76177716,-0.14851682,0.39571467,-0.069129221,0.9036448,1.1514205,1.2386839,0.26800051,21.053175,18.715492,16.037827,27.616823,20.158878,46.121494,34.66774,5.1477857,0.87277204,1.288103,101,12,0.50748408,1,1,1,23112,21816,23112
32,0.93102717,0.82814831,-0.49527401,-0.17745417,-0.021336874,0.85015202,3.8986092,0.94578254,6.0703778,28.839735,26.850578,23.883577,45.273556,120.48328,79.577507,51.076279,0.36913773,1.1080276,5.9642324,323,24,0.64950639,1,1,1,71064,69768,71064
33,0.851623,0.75077951,-0.32488811,0.39332983,0.05424739,0.85836858,0.79494613,1.4754046,0.055360496,28.712049,24.451839,21.556417,122.91045,29.507463,19.5,46.45372,5.3396659,1.0707357,0.81729096,243,12,0.63494748,1,1,1,57888,52488,57888
34,0.6271497,0.5098775,0.22906597,-0.879556,-0.41656351,0.019616371,5.8842983,0.16335373,4.3743429,21.024483,13.185499,10.719912,117.61224,31.408163,110.14286,26.864845,1.4616611,1.3123991,0.33199298,47,12,0.44436553,1,0,0,10584,10152,10584
35,0.26920104,0.22496983,0.53486753,0.54154372,-0.64837158,0.016168173,3.4112341,1.5686759,4.7241158,78.68232,21.181362,17.701149,45.441177,104.86765,114.81618,47.755096,5.4790578,1.730176,3.8958571,264,22,0.024294481,1,1,1,58752,57024,58752
36,0.88900989,0.78718746,-0.44195673,0.36765233,0.16773158,0.80085713,3.1076739,2.2690532,4.4436693,24.922846,22.156656,19.618952,35.890053,130.47644,120.36126,42.720764,5.382853,1.2249298,0.48742068,189,11,0.62101799,1,1,1,41256,40824,41256
37,0.76082718,0.58770895,0.22906597,-0.879556,-0.41656351,0.019616371,5.5536246,0.43366268,5.2278581,16.439939,12.507953,9.6618986,102.67742,92.80645,16.548388,22.604996,4.560998,2.1480992,1.5210687,28,9,0.33720136,1,0,0,6696,6048,6696
38,0.85003793,0.61031634,0.39839333,-0.88423163,-0.14770006,0.19391178,5.1176128,0.46345073,4.6831908,14.031394,11.927217,8.5635891,24.428572,40.714287,56.142857,20.538002,5.4834905,1.7467058,0.1088835,21,8,0.24628793,1,0,0,4536,4536,4536
39,0.15231724,0.11073308,-0.031493414,0.77027005,0.019748982,0.63663346,3.2223947,1.5703496,4.7218313,78.24868,11.918623,8.6647177,83.625,92.625,37.03125,28.649036,4.7222414,1.7605486,1.498922,57,14,0.011361553,1,1,1,13824,12312,13824
40,0.90495342,0.81413162,-0.60247141,-0.0041524218,0.73018032,0.322254,1.0445296,0.40469348,3.3525522,31.998886,28.9575,26.051304,45.255318,94.078011,46.319149,55.881134,4.5917358,0.54479176,3.9214089,423,23,0.6024214,1,0,0,91368,91368,91368
41,0.26348269,0.16075863,-0.80350888,-0.43796659,-0.097085319,0.39132243,1.4373267,1.539494,4.7001519,92.962906,24.494116,14.944589,93.018929,47.611988,51.321766,50.435757,0.74223351,2.3116016,6.0273223,311,21,0.025576716,1,1,1,68472,67176,68472
42,0.74411237,0.54226828,-0.4416903,0.3856777,0.63121623,0.50766969,2.9058557,2.3963273,5.7406182,15.864321,11.804838,8.6027184,21.719999,7.8000002,26.280001,21.766991,4.6719279,1.253157,6.1075311,25,8,0.3280496,1,1,1,5400,5400,5400
43,0.31125382,0.24108554,0.48605204,-0.76448995,-0.028957712,0.42245716,3.2313359,0.27954361,3.207202,89.314552,27.799498,21.532448,55.56802,123.85919,109.31026,55.167488,2.2055533,2.2670956,4.21451,407,23,0.010780346,1,1,1,90504,87912,90504
44,0.20143741,0.17253141,0.27686837,0.1578171,0.90051603,0.29581848,3.1821549,2.2907619,0.04428573,73.298569,14.765075,12.646306,32.34454,94.563026,83.168068,35.989674,2.4062638,0.64869094,1.3701152,113,12,0.018116996,1,1,1,25704,24408,25704
45,0.66312748,0.50914031,0.5070222,0.11171202,-0.029580602,0.85415095,3.1992581,2.0159023,5.4545169,16.110981,10.683634,8.2027493,33,6,140.72728,20.858959,3.3930752,1.0917897,2.9593458,22,5,0.33491662,1,1,1,4752,4752,4752
46,0.7965036,0.63431489,-0.30031011,0.35636333,0.86938679,0.16427337,1.8844748,2.346118,5.4211373,17.208443,13.706586,10.915571,69.14286,58.142857,131.85715,25.669241,3.2679877,2.8039002,6.0692744,41,11,0.42119706,1,0,0,9072,8856,9072
47,0.62789643,0.51024151,0.11402401,0.63390195,0.73123682,0.22463204,1.5025337,2.1722624,4.2350044,16.861412,10.587221,8.6033926,142.44,116.52,70.199997,21.766991,3.2616637,1.3996282,0.4760175,25,8,0.41667473,1,1,1,5400,5400,5400
48,0.62653512,0.59005362,0.39839333,-0.88423163,-0.14770006,0.19391178,3.3212714,1.9131075,5.755774,17.969481,11.258511,10.602957,129.51428,115.62857,79.628571,23.877548,0.96103132,0.94125515,2.6465418,33,6,0.42164618,1,0,0,7560,7128,7560
49,0.78440076,0.25615701,0.38905865,0.57354617,-0.6876871,0.21625142,5.2018032,0.072029188,0.058217701,73.899849,57.967094,18.929964,108.03546,98.106384,44.390072,55.392483,5.3824744,1.5314299,3.4329615,412,24,0.0014081633,1,1,1,91368,88992,91368
50,0.94342411,0.72158158,0.56311977,0.75781304,0.32914135,0.016778054,5.5215364,0.58732384,5.2000437,26.170149,24.689548,18.883898,31.493023,57.083721,126.23721,43.965042,2.9348009,1.2219336,0.29059765,206,20,0.61938804,1,0,0,46440,44496,46440
51,0.6328755,0.52876174,0.80050063,-0.55632168,0.15024221,0.16471834,3.8722382,1.3684551,5.7936487,19.617487,12.415427,10.372976,45,106.85714,108.85714,25.876261,2.316468,1.4053143,6.1329393,42,8,0.46294549,1,0,0,9072,9072,9072
52,0.83124918,0.60073948,-0.35740274,0.73406178,0.20319895,0.54048753,1.1075324,1.4978023,4.6740112,15.403377,12.804044,9.2534161,143.07692,46.615383,18.461538,22.053432,4.805881,1.9104567,0.75808901,26,5,0.21397656,1,1,1,5616,5616,5616
53,0.80874634,0.61909586,-0.72182447,0.047016103,-0.64285278,0.25199047,2.0379214,2.4251931,4.6528378,14.312172,11.574917,8.8606062,96.391304,116.73913,75.521736,20.858959,1.0346746,1.4673036,1.0787894,22,5,0.34437397,1,0,0,4968,4752,4968
54,0.77089316,0.63576245,0.37735608,-0.49705362,-0.68634772,0.37345263,1.6754137,1.606046,5.8614731,29.659809,22.864546,18.856592,89.008926,22.205357,42.776787,45.007252,3.2926323,1.3478745,5.1355166,221,16,0.60130495,1,1,1,48384,47736,48384
55,0.71781844,0.60204363,0.22906597,-0.879556,-0.41656351,0.019616371,3.7087352,1.6453925,5.9523115,18.383617,13.196099,11.06774,113.8,65.533333,67.800003,26.280642,0.6421082,1.2945453,0.73272288,44,7,0.48218137,1,0,0,9720,9504,9720
56,0.67648262,0.47075787,-0.43663386,-0.48630562,0.55255443,0.51724386,4.1927013,1.210892,3.9783454,18.244665,12.342199,8.5888205,45.5625,41.625,114.375,22.604996,3.2874177,0.7733686,4.0226102,28,7,0.45213237,1,0,0,6912,6048,6912
57,0.68750846,0.48444447,0.39498878,-0.86278158,0.12655637,0.28909397,3.2813938,1.9555228,5.8541617,26.077448,17.928467,12.633075,23.647058,25.117647,19.82353,33.847584,1.5874887,2.4994533,3.8704243,94,11,0.56006682,1,1,1,22032,20304,22032
58,0.91953355,0.85227966,-0.64510792,-0.3706474,0.65680134,0.12275289,1.9642013,1.9543113,4.4499583,25.461565,23.412764,21.700373,127.69334,107,22.413334,44.871075,5.4186492,1.6780895,4.3756557,219,18,0.58038116,1,1,1,48600,47304,48600
59,0.58161455,0.49382788,-0.093618833,0.55028123,-0.47043824,0.68345737,4.5953922,0.58155179,4.5410261,19.07127,11.092128,9.4179249,73.064514,8.8064518,8.4193544,22.604996,5.4837494,1.1844007,2.0051255,28,5,0.33257189,1,1,1,6696,6048,6696
60,0.68987715,0.58447707,0.39839333,-0.88423163,-0.14770006,0.19391178,3.216377,2.1638131,4.3392925,39.632935,27.341858,23.164543,91.482758,84.282761,90.682762,56.056725,6.1504025,2.628334,1.444574,427,30,0.56981206,1,0,0,93960,92232,93960
61,0.71756041,0.65197349,0.16692507,-0.97154349,-0.16788422,0.0073509538,3.5425951,1.7448622,4.5200167,27.758072,19.918093,18.097527,128.28409,93.920456,79.5,41.638756,6.0941405,1.3095658,4.840178,175,17,0.61391401,1,0,0,38016,37800,38016
62,0.83492255,0.6404435,0.50449586,0.7301228,-0.21467271,0.40782371,5.8400178,0.26009351,4.8861995,21.152624,17.660801,13.547061,46.11628,94.465118,17.372093,32.858765,0.69246864,0.69061798,0.74665642,86,11,0.51667696,1,0,0,18576,18576,18576
63,0.91339046,0.5471549,-0.2411385,-0.67474973,-0.64010721,0.27717826,1.1699456,1.894995,5.6225467,16.591013,15.154073,9.0778551,141,35.270271,117.97298,24.805748,2.3897202,1.5976695,6.217772,37,8,0.4082315,1,1,1,7992,7992,7992
64,0.78398025,0.65931511,0.22906597,-0.879556,-0.41656351,0.019616371,3.9520752,1.4834712,4.2335429,15.713259,12.318885,10.359989,68.80645,57.967743,42.870968,23.13088,0.98946565,1.9673427,2.0171642,30,9,0.32184672,1,0,0,6696,6480,6696
65,0.706613,0.67124939,-0.44244894,0.67492348,0.58472842,0.082522392,3.6071191,1.2309427,6.2651787,17.890369,12.641568,12.0089,31.857143,9.5714283,8.1428576,25.458828,3.8620663,1.8781794,5.8431191,40,5,0.32244405,1,1,1,9072,8640,9072
66,0.75099683,0.5867908,-0.85915905,0.4365505,0.06675379,0.2584829,0.80491316,1.366708,5.7120214,23.900257,17.949017,14.02445,24.634615,18,128.48077,34.78178,5.5603375,2.6011112,0.21738704,102,11,0.56279039,1,1,1,22464,22032,22464
67,0.80786306,0.70438439,-0.76219791,0.17305216,0.20658636,0.58858252,2.4134219,2.2559028,4.9372687,25.540945,20.633585,17.990643,66.571426,34,19.821428,39.640949,5.7223701,1.7944415,6.1688876,151,9,0.63691324,1,1,1,36288,32616,36288
68,0.79385883,0.52205622,-0.30031011,0.35636333,0.86938679,0.16427337,3.2259474,2.1145577,6.2440939,26.158649,20.766275,13.656285,107.40984,54,53.213116,36.717983,2.8245444,1.8776691,1.1221812,120,12,0.43862376,1,0,0,26352,25920,26352
69,0.60575879,0.50912386,-0.17515662,-0.35798687,-0.86573166,0.30277762,1.5122427,1.9465528,5.6469307,16.030609,9.7106819,8.1615658,90.300003,102.9,140.7,20.206684,2.3501163,0.81984961,0.11859702,20,5,0.35245949,1,1,1,4320,4320,4320
70,0.82557821,0.63836747,0.75982738,-0.011306207,-0.49450451,0.42190024,3.5063787,1.7806686,0.32013109,17.345182,14.319805,11.0726,79.090912,141.40909,78.545456,25.669241,3.991174,1.7263539,4.0209317,41,9,0.38217363,1,1,1,9504,8856,9504
71,0.18857826,0.17002387,-0.52762473,0.43411809,0.64976835,0.33309862,0.067229562,0.42481139,0.095857717,93.835815,17.695395,15.954329,97.016525,67.487602,94.809914,45.87299,4.4976225,1.5044404,5.8745756,234,20,0.023193436,1,1,1,52272,50544,52272
72,0.19161913,0.14607602,0.18611459,-0.90024638,0.20931852,0.33332208,4.6811671,0.76138645,0.01289284,80.196129,15.367111,11.714731,56.120689,38.689655,19.913794,35.776077,1.2139248,2.3325124,3.9477866,111,14,0.012210285,1,1,1,25056,23976,25056
73,0.79533952,0.47954416,0.16501713,0.87041152,0.034315363,0.46257496,3.8171473,1.5515497,3.8272686,16.91338,13.45188,8.110713,114.2,7.5999999,42.799999,22.604996,4.4509797,2.1769295,1.6841102,28,4,0.41406614,1,1,1,6480,6048,6480
