OptimizeResult(success=False, status=2, message='The maximum number of generational steps (50000) occurred', ngen=50000, fitness=2.5614365027406487, time=37609.650944, ea_diagnostics=EaDiagnosticsSummary(beneficial_crossover_rate=0.013777392094366289, detrimental_crossover_rate=0.6936761643198164, beneficial_mutation_rate=0.08918968720028597, detrimental_mutation_rate=0.7736481493177345, beneficial_crossover_mutation_rate=0.014780476072226063, detrimental_crossover_mutation_rate=0.7454026894260759))
Generation:  50000
  FITNESS    COMPLEXITY    EQUATION
2.534e+00     70    f(X_0) = -14.726894 + (0.661207)((X_0)((exp(X_1))((exp(X_2))^(-1))) + (0.884030)(X_2 + (-1.247509)(((2)(X_3) + X_5 + (X_6 + X_7)(-10.141264 + X_0 + (0.001264)((X_1)^(-1)) + X_2 + (-0.002043)((X_3)^(-1)) + X_6 + (-2)(X_7) + (-3)((X_6)((exp(X_3))(exp((2)(X_6))))) + sinh(X_0) + sinh(X_6) - (sqrt(X_0) + sqrt((X_0)(X_0)))) - (X_1))((-7.235439 + (3.433033)(cosh(X_3)) - (X_1))^(-1)))))
2.534e+00     68    f(X_0) = -14.719250 + (0.654611)((X_0)((exp(X_1))((exp(X_2))^(-1))) + (0.852249)(X_2 + (-1.193701)(((2)(X_3) + X_5 + (X_6 + X_7)(-10.650253 + X_0 + (0.001307)((X_1)^(-1)) + X_2 + X_6 + (-2)(X_7) + (-3)((X_6)((exp(X_3))(exp((2)(X_6))))) + sinh(X_0) + sinh(X_6) - (sqrt(X_0) + sqrt(((X_0)(X_0))((X_6)^(-1))))) - (X_1))((-7.237354 + (3.546587)(cosh(X_3)) - (X_1))^(-1)))))
2.535e+00     64    f(X_0) = -14.719250 + (0.654611)((X_0)((exp(X_1))((exp(X_2))^(-1))) + (0.852249)(X_2 + (-1.193701)(((2)(X_3) + X_5 + (X_6 + X_7)(-10.650253 + X_0 + (0.001307)((X_1)^(-1)) + X_2 + (2)(X_6) + (-2)(X_7) + (-3)((X_6)((exp(X_3))(exp((2)(X_6))))) + sinh(X_0) - (sqrt(X_0) + sqrt((X_0)(X_0)))) - (X_1))((-7.237354 + (3.546587)(cosh(X_3)) - (X_1))^(-1)))))
2.535e+00     62    f(X_0) = -14.726894 + (0.661207)((X_0)((exp(X_1))((exp(X_2))^(-1))) + (0.884030)(X_2 + (-1.247509)(((2)(X_3) + X_5 + (X_6 + X_7)(-10.141264 + (0.001264)((X_1)^(-1)) + X_2 + (-0.002043)((X_3)^(-1)) + X_6 + (-3)((X_6)((exp(X_3))(exp((2)(X_6))))) + sinh(X_6) - (X_7 + sqrt(X_0))) - (X_1))((-7.235439 + (3.433033)(cosh(X_3)) - (X_1))^(-1)))))
2.536e+00     61    f(X_0) = -14.719250 + (0.654611)((X_0)((exp(X_1))((exp(X_2))^(-1))) + (0.852249)(X_2 + (-1.193701)(((2)(X_3) + X_5 + (X_6 + X_7)(-10.650253 + X_0 + (0.001307)((X_1)^(-1)) + X_2 + X_6 + (-3)((X_6)((exp(X_3))(exp((2)(X_6))))) - (X_7 + sqrt(X_0) + sqrt((X_0)(X_0)))) - (X_1))((-7.237354 + (3.546587)(cosh(X_4)) - (X_1))^(-1)))))
2.536e+00     60    f(X_0) = -14.719250 + (0.654611)((X_0)((exp(X_1))((exp(X_2))^(-1))) + (0.852249)(X_2 + (-1.193701)(((2)(X_3) + X_5 + (X_6 + X_7)(-10.650253 + (0.001307)((X_1)^(-1)) + (2)(X_2) + X_6 + (-3)((X_6)((exp(X_3))(exp((2)(X_6))))) + (-2)(sqrt(X_0)) - (X_7)) - (X_1))((-7.237354 + (3.546587)(cosh(X_4)) - (X_1))^(-1)))))
2.537e+00     59    f(X_0) = -14.719250 + (0.654611)((X_0)((exp(X_1))((exp(X_2))^(-1))) + (0.852249)(X_2 + (-1.193701)(((2)(X_3) + X_5 + (X_6 + X_7)(-10.650253 + (0.001307)((X_1)^(-1)) + X_2 + X_6 + (-3)((X_6)((exp(X_3))(exp((2)(X_6))))) - (sqrt(X_0) + sqrt((X_0)(X_0)))) - (X_1))((-7.237354 + (3.546587)(cosh(X_4)) - (X_1))^(-1)))))
2.537e+00     58    f(X_0) = -14.719250 + (0.654611)((X_0)((exp(X_1))((exp(X_2))^(-1))) + (0.852249)(X_2 + (-1.193701)(((2)(X_3) + (X_6 + X_7)(-10.650253 + (0.001307)((X_1)^(-1)) + X_2 + X_6 + (-3)((X_6)((exp(X_3))(exp((2)(X_6))))) - (X_7 + sqrt(X_0) + sqrt((X_0)(X_0)))) - (X_1))((-7.237354 + (3.546587)(cosh(X_4)) - (X_1))^(-1)))))
2.537e+00     57    f(X_0) = -14.719250 + (0.654611)((X_0)((exp(X_1))((exp(X_2))^(-1))) + (0.852249)(X_2 + (-1.193701)(((2)(X_3) + X_5 + (X_6 + X_7)(-10.650253 + (0.001307)((X_1)^(-1)) + X_2 + X_6 + (-3)((X_6)((exp(X_3))(exp((2)(X_6))))) + sinh(X_0) - (X_7)) - (X_1))((-7.237354 + (3.546587)(cosh(X_4)) - (X_1))^(-1)))))
