OptimizeResult(success=False, status=2, message='The maximum number of generational steps (50000) occurred', ngen=50000, fitness=0.9458746261963895, time=31504.840752, ea_diagnostics=EaDiagnosticsSummary(beneficial_crossover_rate=0.012742189829687436, detrimental_crossover_rate=0.6984807426612201, beneficial_mutation_rate=0.0802514626773946, detrimental_mutation_rate=0.7775812423139046, beneficial_crossover_mutation_rate=0.013881515255613503, detrimental_crossover_mutation_rate=0.7470907763655101))
Generation:  50000
  FITNESS    COMPLEXITY    EQUATION
9.357e-01     36    f(X_0) = 0.492014 + (0.058736)((3.127950 + (7.712850)((X_1)(((-0.000572)((X_2)^(-1)) + X_2)(X_3))) - (X_0))((((-0.000572)((X_2)^(-1)) + ((-1)(-0.000572))((X_2)^(-1)))((-0.000572)((X_2)^(-1)) + ((-1)(-0.000572))((X_2)^(-1))) + ((-1)((cosh(0))^(-1)))(X_3 + sinh(exp(X_2))))(cosh(X_0))))
9.358e-01     35    f(X_0) = 0.492014 + (0.058736)((3.127950 + (7.712850)((X_1)((X_2)(X_3))) - (X_0))((((-0.000572)((X_2)^(-1)) + ((-1)(-0.000572))((X_2)^(-1)))((-0.000572)((X_2)^(-1)) + ((-1)(-0.000572))((X_2)^(-1))) + ((-1)((cosh(0))^(-1)))(X_3 + sinh(exp(X_2))))(cosh(X_0))))
9.365e-01     31    f(X_0) = (-0.183228)((0.362746)(X_0) + X_3 + (1.858618)((X_2)(1.550809 + X_2 + ((X_1)(X_3))(((sqrt(X_1))^(-1))(cosh(cosh(X_3)))))) + (0.197929)(-7.006819 + cosh(((X_1)(X_3))(((sqrt(X_1))^(-1))(cosh(cosh(X_3)))))) - (X_0))
9.365e-01     30    f(X_0) = (-0.183228)((0.362746)(X_0) + X_3 + (1.858618)((X_2)(1.550809 + X_2 + ((X_1)(X_3))(((sqrt(X_1))^(-1))(cosh(X_2))))) + (0.197929)(-7.006819 + cosh(((X_1)(X_3))(((sqrt(X_1))^(-1))(cosh(X_2))))) - (X_0))
9.366e-01     28    f(X_0) = (-0.186254)((0.370746)(X_0) + X_3 + (1.735219)((X_2)(1.656485 + X_2 + ((X_1)(X_3))(((sqrt(X_1))^(-1))(cosh(X_2))))) + (-1.087193)(cosh(((X_1)(X_3))(((sqrt(X_1))^(-1))(cosh(X_2))))) - (X_0))
9.366e-01     27    f(X_0) = (-0.183938)(-1.953398 + (-0.632754)(X_0) + X_3 + (1.925955)((X_2)(1.495478 + X_2 + (X_1)((X_3)((sqrt(X_1))^(-1))))) + (0.729795)(cosh((X_1)((X_3)((sqrt(X_1))^(-1))))))
9.367e-01     26    f(X_0) = (-0.186254)((0.370746)(X_0) + X_3 + (1.735219)((X_2)(1.656485 + X_2 + ((X_1)(X_3))(((sqrt(X_1))^(-1))(cosh(X_2))))) - (X_0 + cosh(((X_1)(X_3))(((sqrt(X_1))^(-1))(cosh(X_2))))))
9.369e-01     25    f(X_0) = (-0.183043)(-0.119962 + (-0.638728)(X_0) + X_3 + (1.788528)((X_2)(1.633209 + X_2 + (X_1)((X_3)((sqrt(X_3))^(-1))))) - (cosh((X_1)((X_3)((sqrt(X_3))^(-1))))))
9.369e-01     24    f(X_0) = (-0.201741)((0.413217)(X_0) + X_3 + (1.574037)((X_2)(1.705927 + X_2 + (X_1)((X_3)((sqrt(X_3))^(-1))))) - (X_0 + cosh((X_1)((X_3)((sqrt(X_3))^(-1))))))
9.371e-01     21    f(X_0) = (-0.181732)(-0.167088 + (-0.639455)(X_0) + X_3 + (1.870183)((X_2)(1.581362 + X_2 + (X_1)(X_3))) - (cosh((X_1)(X_3))))
9.372e-01     20    f(X_0) = (-0.201741)((0.413217)(X_0) + X_3 + (1.574037)((X_2)(1.705927 + X_2 + (X_1)(X_3))) - (X_0 + cosh((X_1)(X_3))))
9.376e-01     15    f(X_0) = 0.679202 + (-0.186840)(X_3 + sinh(0.237218 + X_2 + log(-4.264605 + X_0)))
9.377e-01     13    f(X_0) = 0.671925 + (-0.198778)(X_3 + sinh(X_2 + log(-5.026112 + X_0)))
9.394e-01     12    f(X_0) = 0.691214 + (0.134942)((-3.637723 + X_0 - (X_3))(exp(X_2)))
9.399e-01     10    f(X_0) = 0.699804 + (-0.184420)(X_3) + (-0.497957)(exp(X_2))
9.420e-01     9    f(X_0) = (-0.209877)(-2.769922 + X_3 + cosh(exp(X_2)))
9.433e-01     7    f(X_0) = -0.887994 + sqrt(cosh(X_3) - (X_2))
9.444e-01     6    f(X_0) = 0.695211 + (-0.498447)(exp(X_2))
9.462e-01     5    f(X_0) = 1.162784 - (sqrt(exp(X_2)))
9.517e-01     4    f(X_0) = (-0.416243)(-0.416243 + X_2)
9.571e-01     3    f(X_0) = (-0.578796)(X_2)
9.875e-01     1    f(X_0) = 0.157922
