,grain,FIP
0,1,5.890313515044882e-06
1,2,5.826363303411673e-07
2,3,9.392797705085511e-07
3,4,3.6692453342748574e-06
4,5,1.8962423091727943e-06
5,6,7.864641805338296e-06
6,7,5.959735107667998e-06
7,8,7.553400037303522e-08
8,9,1.5263851712649957e-07
9,10,6.576274824257571e-09
10,11,4.905493090090262e-06
11,12,1.3751522771960733e-08
12,13,9.19599734967568e-08
13,14,1.1167422010841598e-05
14,15,7.727309166256682e-06
15,16,2.8055200807198413e-06
16,17,8.747558669380855e-06
17,18,7.539591904614532e-07
18,19,4.0625049143950074e-08
19,20,2.828625797425703e-08
20,21,1.35540542552689e-06
21,22,1.0730770403475674e-06
22,23,5.7736821494303646e-06
23,24,9.168763183826527e-07
24,25,2.8645708725395287e-07
25,26,9.454332669474273e-06
26,27,3.046307836384845e-08
27,28,1.636518967504139e-07
28,29,1.4060159612686057e-07
29,30,1.341273509455971e-07
30,31,8.99551715930231e-06
31,32,1.4574470983831697e-09
32,33,1.2183594080458524e-06
33,34,2.226046632845185e-07
34,35,5.455747696531578e-06
35,36,1.2194811889735699e-05
36,37,1.3627989026120668e-06
37,38,1.0150950049349662e-05
38,39,2.5617944412212366e-10
39,40,9.74438167747087e-07
40,41,1.6026643166748164e-06
41,42,5.870135099241672e-06
42,43,6.737979730398176e-07
43,44,3.1795273609306024e-06
44,45,3.481093049012962e-06
45,46,2.3679772565621094e-06
46,47,2.437997610180107e-06
47,48,7.584131256975546e-07
48,49,1.1403000386924572e-07
49,50,8.347646448551285e-06
50,51,1.613325074541594e-06
51,52,6.8417586678808185e-09
52,53,5.014553108793503e-06
53,54,1.0569400821045515e-06
54,55,5.837583610080592e-07
55,56,6.918054520266524e-06
56,57,5.8687162303700476e-06
57,58,3.9943938657449076e-07
58,59,1.1240523029438808e-07
59,60,8.498698870688905e-06
60,61,1.4201664233162666e-08
61,62,7.77318163971413e-06
62,63,1.2149432378969807e-10
63,64,8.627516466390176e-07
64,65,9.657985187565324e-07
65,66,6.255659711935633e-06
66,67,1.330303304924006e-06
67,68,4.1189481400133986e-07
68,69,9.26244410106246e-09
69,70,1.341385015656402e-07
70,71,4.7626926074615315e-07
71,72,6.642556849079109e-06
72,73,3.4918464342307774e-06
73,74,8.61496415344198e-06
74,75,3.451674665880596e-06
75,76,3.580047381217752e-07
76,77,1.216372700899482e-07
77,78,1.1677785304384642e-07
78,79,2.42002299214588e-07
79,80,2.648176633323663e-07
80,81,8.701730292946266e-06
81,82,1.7046449945166832e-07
82,83,1.3275736103999037e-07
83,84,3.8212645907879693e-08
84,85,8.536685069154233e-06
85,86,7.8018403182113e-06
86,87,2.1219804183190516e-06
87,88,1.6054698597057722e-06
88,89,5.981552506200926e-06
89,90,8.331295129765657e-08
90,91,2.1957916045971005e-06
91,92,6.413869041932417e-06
92,93,1.5848019704712063e-07
93,94,2.9039029215200255e-06
94,95,6.625279979996337e-07
95,96,1.547209411372785e-08
96,97,1.1267648255496714e-06
97,98,1.3389731378208968e-07
98,99,1.8088742328150234e-06
