1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11052,7882,308,11217,4026,2093,13584,1,9426,7315,12572,5125,13272,13146,8921,6422,6451,8299,9211,214,2694,9821,4001,1261,364,13022,9026,4392,6612,3,14295,7,10241,14096,2981,473,103,3491,10686,5162,5027,11108,9622,5499,8751,10869,7390,1791,11271,30,1945,16,11544,465,10392,12,9813,4909,2823,510,11838,9605,7876,9699,1381,7269,467,568,7784,2696,4596,7137,3754,10735,7881,194,4271,10229,343,482,9079,5976,4134,4859,9488,2241,231,327,6883,145,2755,326,7035,5239,135,4968,1507,5423,3470,2214
 11053, 7907, 309, 11218, 4027, 2117, 13585, 2, 9427, 7316, 12573, 5648, 13297, 13147, 8922, 7022, 7051, 8300, 9212, 237, 2695, 9822, 4002, 1286, 365, 13046, 9027, 4393, 6636, 4, 14320, 8, 10266, 14097, 2982, 474, 104, 3515, 10687, 5163, 5028, 11109, 9623, 5500, 8775, 11469, 7391, 1812, 11272, 31, 1970, 17, 11545, 466, 10417, 13, 9814, 4910, 3422, 511, 11863, 9630, 7877, 9700, 1406, 7270, 468, 569, 7808, 2697, 4620, 7138, 3755, 10736, 7906, 216, 4272, 10254, 344, 483, 9080, 6001, 4135, 4884, 9489, 2242, 254, 328, 7455, 146, 2756, 349, 7585, 5240, 136, 5493, 1508, 5424, 3495, 2215
 11676, 7908, 331, 11219, 4028, 2141, 14184, 19, 9428, 7339, 12574, 5649, 13871, 13171, 8946, 7046, 7052, 8323, 9213, 238, 3269, 9845, 4003, 1836, 366, 13047, 9028, 4394, 6637, 5, 14345, 9, 10267, 14098, 3004, 497, 105, 3516, 10711, 5164, 5051, 11110, 9648, 5524, 8776, 11470, 7415, 1813, 11273, 55, 1971, 18, 11546, 487, 10418, 14, 9838, 4934, 3423, 535, 11864, 9631, 7878, 9724, 1407, 7271, 492, 593, 7809, 2698, 4621, 7139, 3756, 10760, 8481, 217, 4296, 10279, 345, 484, 9104, 6551, 4159, 5484, 9514, 2267, 255, 901, 7456, 147, 2757, 350, 7609, 5264, 137, 5494, 1509, 5447, 3496, 2216
 11677, 7909, 332, 11240, 4029, 2142, 14185, 20, 9449, 7340, 12575, 5650, 13872, 13172, 8947, 7047, 7075, 8324, 9236, 239, 3293, 9846, 4004, 1837, 388, 13048, 9051, 4417, 6638, 6, 14370, 10, 10291, 14099, 3005, 498, 126, 3541, 11262, 5187, 5052, 11707, 9649, 5525, 9376, 11494, 7416, 1814, 11274, 56, 1972, 41, 11569, 488, 10442, 15, 10415, 4935, 3424, 536, 12436, 9655, 7901, 9725, 2004, 7292, 493, 594, 7833, 2722, 4644, 7140, 3779, 11359, 8505, 218, 4297, 10303, 346, 485, 9105, 6552, 4160, 5485, 9515, 2292, 256, 902, 7479, 148, 2780, 351, 7610, 5265, 158, 5495, 1532, 5448, 3520, 2237
 11678, 7932, 333, 11241, 4051, 2717, 14186, 21, 9450, 7341, 12597, 5673, 13896, 13770, 8972, 7048, 7076, 8325, 9237, 240, 3294, 9847, 4601, 1860, 389, 13071, 9052, 4418, 6661, 28, 14895, 11, 10292, 14121, 3006, 499, 127, 4091, 11263, 5188, 5053, 11708, 9650, 5526, 9377, 11495, 7440, 1815, 11296, 80, 1995, 42, 11570, 489, 10443, 37, 10438, 4936, 3425, 560, 12437, 10230, 7902, 9749, 2005, 7293, 517, 618, 7834, 2723, 4645, 7141, 3780, 11360, 8506, 219, 4298, 10304, 347, 486, 9129, 6576, 4184, 5508, 9516, 2842, 257, 903, 7480, 170, 2781, 352, 7611, 5266, 159, 5518, 1533, 5449, 3521, 2238
 11700, 7933, 334, 11242, 4052, 2718, 14209, 22, 9451, 7365, 12598, 5674, 13897, 13771, 9521, 7073, 7077, 8348, 9238, 261, 3295, 9848, 4602, 1861, 390, 13072, 9053, 4419, 6662, 29, 14896, 32, 10293, 14122, 3007, 500, 128, 4092, 11286, 5189, 5076, 11709, 9674, 5549, 9398, 11496, 7441, 1816, 11297, 81, 1996, 43, 11571, 490, 10444, 38, 10439, 4959, 3445, 561, 12462, 10231, 7903, 9750, 2006, 7294, 518, 619, 7857, 3297, 4646, 7162, 3781, 11361, 8531, 220, 4321, 10305, 348, 507, 9130, 6577, 4185, 5509, 9539, 2843, 278, 926, 7481, 171, 2782, 353, 7634, 5289, 160, 5519, 1534, 5472, 3522, 2239
 11701, 8507, 335, 11243, 4053, 2719, 14210, 23, 9452, 7366, 12599, 5675, 13898, 13772, 9545, 7074, 7100, 8349, 9262, 262, 3318, 9870, 4603, 1862, 391, 13073, 9054, 4442, 6663, 54, 14919, 33, 10316, 14123, 3028, 522, 129, 4115, 11287, 5190, 5077, 11710, 9675, 5550, 9399, 11519, 7466, 1838, 11298, 106, 1997, 44, 11594, 491, 10468, 39, 10440, 4960, 3446, 562, 12463, 10255, 8476, 10323, 2029, 7295, 541, 1118, 7858, 3321, 4647, 7163, 3804, 11383, 8556, 241, 4322, 10326, 368, 508, 9154, 6578, 4209, 5510, 9540, 2844, 279, 927, 7482, 172, 2806, 354, 7635, 5290, 161, 5520, 1558, 5473, 3545, 2240
 11702, 8532, 355, 11244, 4054, 2741, 14211, 24, 9453, 7915, 12600, 5697, 13921, 13773, 9546, 7646, 7101, 8374, 9263, 263, 3319, 9871, 4626, 1879, 392, 13096, 9076, 4443, 6686, 79, 14920, 34, 10317, 14124, 3029, 523, 130, 4116, 11310, 5212, 5078, 11731, 10220, 5551, 9400, 11520, 8014, 1839, 11299, 630, 2020, 65, 11595, 512, 10469, 40, 10462, 4961, 3447, 586, 12487, 10256, 8477, 10324, 2030, 7296, 542, 1119, 7859, 3322, 4668, 7164, 3805, 11384, 8581, 242, 4323, 10327, 369, 509, 9703, 6601, 4735, 5511, 9541, 2866, 280, 928, 7506, 173, 2807, 374, 7636, 5291, 162, 5543, 2107, 5474, 3546, 2262
 11703, 8533, 356, 11842, 4055, 2742, 14234, 25, 9474, 7916, 12622, 5698, 13922, 13774, 9547, 7647, 7102, 8898, 9836, 264, 3320, 9872, 4627, 1880, 412, 13097, 9626, 4444, 6687, 481, 14921, 35, 10318, 14147, 3030, 524, 131, 4117, 11311, 5213, 5079, 11732, 10221, 5575, 9401, 12071, 8015, 2312, 11322, 631, 2021, 66, 11596, 513, 10494, 62, 10463, 4962, 3448, 587, 12488, 10280, 8478, 10325, 2031, 7297, 543, 1120, 7883, 3323, 4669, 7165, 4378, 11385, 9106, 243, 4870, 10328, 370, 532, 9704, 6602, 4757, 5533, 9542, 2867, 281, 952, 7507, 174, 3380, 375, 7659, 5864, 163, 5544, 2108, 6024, 3570, 2263
 11725, 8534, 357, 11843, 4077, 2743, 14235, 26, 9475, 7939, 12623, 5699, 13923, 13795, 9570, 7648, 7125, 8899, 9837, 265, 3893, 9895, 4628, 1881, 413, 13098, 9627, 4468, 6688, 504, 14945, 36, 10341, 14148, 3031, 525, 132, 4140, 11312, 5214, 5080, 11733, 10222, 5576, 9402, 12094, 8016, 2316, 11323, 654, 2022, 67, 11619, 514, 10519, 63, 10464, 5011, 3449, 1135, 12489, 10281, 8500, 10347, 2032, 7317, 544, 1121, 8384, 3324, 4670, 7166, 4379, 11386, 9131, 244, 4871, 10329, 371, 533, 9705, 6603, 4758, 5534, 9564, 2868, 282, 953, 7508, 195, 3381, 376, 7660, 5865, 183, 5545, 2132, 6025, 4095, 2788
