Max Schmid of Grain,Misorientation,Shared Surface Area,Grain Size,mP Slip Trans,Sphericity,Delta Max Schmid,Delta Grain Size,FIP
0.49964382784662326,0.9428870614810421,972.0,89424,0.2850739522195325,0.6583426,0.035153075620080854,71928,-14.765804664645437
0.4977888812456902,0.972033362945177,1476.0,126576,0.4997587742298021,0.6583426,0.06584284044420075,94392,-17.557573658231522
0.4903790640699598,0.972599743482514,468.0,74304,0.6079504247009039,0.53070372,-0.009264763776663465,68904,-21.9183122775223
0.4932261924207865,1.0399112270614022,1188.0,122904,0.7070544198399216,0.65616107,0.12726773602564495,114048,-15.73732206813959
0.4998743852432435,0.9942851262735157,1728.0,122904,0.6885913406536954,0.70097876,0.17898102936412852,78192,-14.486154931113662
0.49964382784662326,1.0526119735444466,1872.0,111024,0.3686434936121861,0.61576664,0.09852955730869928,56160,-12.369944163089936
0.4903790640699598,0.9961986701344581,1836.0,126576,0.7154914605931587,0.6583426,0.027624992226397582,96984,-12.104939236263414
0.4932261924207865,1.0483654117532093,1044.0,137808,0.972017014908199,0.65616107,0.10979233641597747,125064,-17.85497614994409
0.49464540705849525,0.9618710634904033,1368.0,111024,0.9695444394551934,0.70097876,0.0020493427399632114,55728,-16.077617678680085
0.49498728629393723,1.0050395730114188,684.0,137808,0.7279835449285146,0.67482156,0.02064214575679285,131328,-20.24865283120533
0.4977888812456902,1.020109343320601,936.0,94176,0.601289563584813,0.67482156,0.03834945204933771,88128,-17.97367302926263
0.49598522083572694,0.9885886209730591,1944.0,137808,0.7626895120335451,0.70097876,0.04840537290893443,79704,-11.664136249060672
0.4977888812456902,0.9925303538473629,1332.0,126576,0.34220242307329984,0.70097876,0.040796780626639606,94392,-16.70076701799485
0.4977888812456902,0.9499976007764662,936.0,94176,0.5854793483487748,0.67482156,0.07921886095634473,87048,-13.264341383047613
0.4977888812456902,0.9189804092257712,1404.0,126576,0.41279961850083385,0.44660202,0.02452609951368684,110808,-21.284327892607656
0.49598522083572694,0.9346578131226915,1008.0,137808,0.7569932247833777,0.53092426,0.014667002473867652,123984,-19.041405191782793
0.4783226050418071,0.657675946393046,720.0,58104,0.37337266468248814,0.08006914,0.060505086751219184,50976,-12.69677817070943
0.4998743852432435,1.0317140316165891,2268.0,126576,0.59856873879372,0.70097876,0.03948300446714664,37152,-12.198893840280336
0.48133578200592975,0.9626830913567483,1836.0,126576,0.3902294946805253,0.54056221,0.015792888220039603,101952,-15.65711257768337
0.47907612154683926,0.9226848505134833,936.0,122904,0.5811584118418397,0.65616107,0.03277179274706782,106056,-15.84965462106588
0.4964626548254944,1.055376527005987,756.0,126576,0.5052816549134589,0.5422641,0.037699736162006614,117504,-14.780402021197201
0.4964626548254944,1.0077598499343037,1476.0,111024,0.6850372878466137,0.70097876,0.06886258978642812,96552,-14.256639948544727
0.4977888812456902,1.0360027763536197,1728.0,122904,0.8861915746746124,0.65616107,0.01946627620388308,94176,-14.88097331220615
0.4977888812456902,0.9432415063071135,756.0,122904,0.49735564456013176,0.67482156,0.05082016673373718,115776,-23.393910778981365
0.44630432879977144,0.922421294108314,1404.0,122904,0.31905231481123486,0.65616107,-0.03179100853235012,110376,-21.162166583956694
0.49259606431853203,1.0220697127279068,936.0,74304,0.7267407541215185,0.57278258,0.07702800999329668,50112,-12.479148224215342
0.48979072410791574,0.9203150031360813,1944.0,91152,0.7555218440299695,0.46314555,0.02211271063403819,71496,-17.218501039716653
0.4977888812456902,0.9008086329082969,1224.0,122904,0.5867157736065247,0.67482156,0.03391959581447196,106272,-16.05032314315593
0.4977888812456902,1.0381095198761479,2268.0,122904,0.9680622900812283,0.67482156,0.08970805277092991,87264,-17.496653423077195
0.4977888812456902,1.0279157585681669,1872.0,137808,0.918180868288676,0.65616107,0.16651433120063108,43632,-11.731172789972797
0.4932261924207865,1.0531199522489185,1800.0,137808,0.6447194541080978,0.65616107,0.04698827988290277,26784,-11.652496575900342
0.47907612154683926,0.9045934887835961,756.0,97200,0.34326966800973746,0.70097876,-0.02079826369640425,92448,-14.01358492929747
0.4977888812456902,0.8508040476727119,1008.0,122904,0.06821854359440852,0.65616107,0.05990135287723086,117072,-13.720047708917303
0.4835718481732132,1.0531199522489187,900.0,137808,0.4662124847082693,0.67482156,0.00944141943888327,130032,-20.8950808386415
0.4977888812456902,0.9127356378758166,1872.0,126576,0.36849338696434186,0.70097876,0.013456009650153367,100656,-17.094217044122964
0.48979072410791574,0.9666768763793854,1944.0,137808,0.5856229179639335,0.67482156,0.008016363980110686,65232,-15.081462075042865
0.49598522083572694,1.055376527005987,936.0,126576,0.7479496878646975,0.70097876,0.04132252925534996,108216,-15.355599556850446
0.48133578200592975,0.9327303172423332,936.0,137808,0.7892573715523441,0.11935448,0.00930351730753215,130896,-18.248200232304562
0.492109896183236,1.0279157585681666,972.0,122904,0.7738105869418913,0.67482156,0.02466013255793348,117720,-17.402613234247216
0.48133578200592975,1.0434483772975767,2052.0,137808,0.8113681336266093,0.5552876,0.08357114842438013,109944,-13.84620641917302
0.4932261924207865,0.9146693159822418,1692.0,111024,0.9728912742968872,0.70097876,0.15177356913476814,87912,-12.222278450251915
0.49964382784662326,1.0360027763536197,1728.0,92664,0.5825127768363246,0.54056221,0.10721008354095973,49896,-19.287441352337783
0.4932261924207865,1.0232103755006599,1116.0,122904,0.3518428701859465,0.65616107,0.013072010773586884,96120,-14.198946932658338
0.49259606431853203,0.9891850278541501,1872.0,91800,0.521579801544056,0.62914395,-0.000642014302882743,49464,-13.220086813277106
0.4932380786214148,1.0188815147709949,1152.0,91800,0.814839203943561,0.62914395,0.0012023975123950925,85752,-14.027274157810643
0.48832609708010716,1.0093633080541327,1548.0,137808,0.4532526396404349,0.67482156,0.0990248618029756,116208,-13.740379479754216
0.49464540705849525,1.020109343320601,2088.0,97200,0.3714741101589042,0.70097876,0.028487111698036527,57456,-13.692087741174854
0.49498728629393723,1.0141344924188467,2808.0,137808,0.6409116493578964,0.63673437,0.0666926182401461,92232,-14.695884141672414
0.48177436012780506,0.883128390303352,720.0,137808,0.03378036351985827,0.65616107,0.007141469920479648,131328,-18.27905105079324
0.49964382784662326,0.9781831646509757,1116.0,122904,0.4247083339257559,0.6583426,0.07168483434646883,97200,-16.000723327447908
0.49964382784662326,1.0126634000021364,828.0,42768,0.5264130190235274,0.53070372,0.11361699039959783,37368,-17.031427112827764
0.4932261924207865,1.0337954660164042,1476.0,97200,0.592339726115123,0.70097876,-0.0014192146377087211,79704,-17.33332900485611
0.4726188576174857,0.8489547591273203,1044.0,111024,0.7832226140053093,0.61576664,0.01119695409076027,105840,-13.237286534733448
0.47907612154683926,0.9848748347824796,1116.0,122904,0.7599322396388668,0.65616107,0.05431696575834699,108216,-17.815341068250127
0.49464540705849525,1.0483654117532093,1764.0,111024,0.48077888740117003,0.70097876,0.0014192146377087211,91800,-14.180910089044843
0.4977888812456902,0.9834334829904577,2124.0,126576,0.8049137550727729,0.70097876,0.047346647397681685,76896,-20.249761556802422
0.49259606431853203,0.8935946583653734,1332.0,71064,0.27921362430479923,0.57278258,0.04828064766544449,63288,-14.825035172853477
0.4998743852432435,1.041230406772272,2808.0,92664,0.49185561907075903,0.6583426,0.02079826369640425,-4536,-16.368831670763942
0.4903790640699598,1.0526119735444466,2664.0,126576,0.6399973149479703,0.65616107,0.08372234251383659,69768,-11.882078571661298
0.4932380786214148,0.918929944306122,1620.0,122904,0.9144214252119203,0.65616107,0.05261667844435952,101952,-12.928142718170482
0.49498728629393723,1.0711600840588464,684.0,137808,0.6219499621236053,0.67482156,0.023470882614080146,125928,-21.571837216820697
0.49598522083572694,0.9227749972823516,1656.0,126576,0.6607339329831461,0.6583426,-0.00047743398976746176,111672,-15.73950770696302
0.49598522083572694,0.8457285135124096,1080.0,137808,0.3506816256555799,0.67482156,0.04911729611345966,123552,-17.794308025979902
0.46386928543121825,0.8159524894766009,576.0,122904,0.8520193971711381,0.67482156,-0.02445681164888891,117720,-16.3784850360709
0.49498728629393723,0.9097087744252469,1584.0,111024,0.37809746060056404,0.5552876,0.027945545059481935,82296,-11.697248365166578
0.49464540705849525,1.0381095198761479,1008.0,122904,0.8649282992168928,0.65616107,0.0025355108752592725,114696,-22.27354855903467
0.49498728629393723,0.7821087495388683,1440.0,126576,-0.11310145775349101,0.5552876,0.016006529641733325,112320,-13.064614768071577
0.4964626548254944,0.8482590958529632,792.0,126576,0.748187706636577,0.027046679,0.06473232548198443,119664,-15.64833755121128
0.4813182183618593,1.0050395730114188,2808.0,126576,0.6965128034587856,0.67482156,-0.01366906793207795,43416,-18.511151560371516
