1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
7744,10829,3745,13128,3126,6764,3771,384,5016,1,255,259,9273,13448,10080,428,5010,9487,94,9501,3476,5381,2776,476,4095,251,877,12008,539,2033,5340,7153,12821,2628,4386,7733,12070,4515,1883,10743,10,5478,7833,9144,152,129,11676,5559,6260,413,323,8156,6089,1607,84,3937,1509,5955,10781,1218,240,11741,9198,12083,517,10206,3545,56,5194,10403,4254,12190,12748,2522,8836,191,2511,630,2255,9462,7413,8768,2101,163,470,6,10633,10022,4237,18,8531,13,405,13814,4574,5897,3336,3983,12459,7767,148
7768,10830,3746,13129,3127,6765,3821,385,5639,2,256,281,9298,14026,10103,429,5034,9488,95,9502,3501,5406,2777,477,4096,252,878,12033,564,2057,5364,7726,12845,2629,4387,7758,12095,4516,1884,10768,11,5479,7834,9168,153,130,11677,5560,6286,414,324,8157,6611,1608,85,3938,1533,5956,10805,1817,263,11766,9199,12106,518,10207,3568,57,5218,10404,4255,12191,12749,2523,9435,192,2512,631,2279,9463,7464,8769,2102,187,471,7,10634,10023,4238,19,8556,14,406,13838,4575,5920,3337,3984,12460,8367,149
7793,10854,3768,13152,3150,6789,3846,386,5640,3,257,282,9321,14027,10104,430,5035,9512,96,9503,3502,5407,2801,478,4119,253,879,12608,565,2631,5365,7727,12846,2654,4412,8333,12670,4517,1885,10769,12,5502,8434,9169,154,131,11678,5584,6287,415,346,8158,6612,1609,86,3963,1534,6580,10806,1818,264,11767,9200,12107,519,10208,3569,58,5219,10980,4256,12192,12773,2547,9459,193,2536,1154,2280,9464,8037,8770,2651,188,472,8,10658,10024,4262,20,8557,15,407,13839,4599,5921,3961,4557,13060,8388,150
8344,10855,4318,13153,3151,6790,3847,387,5641,4,280,283,9322,14045,10105,453,5036,9513,97,9526,3526,5408,3401,498,4120,276,880,12609,1139,2632,5366,7751,12847,2679,4987,8357,12694,4541,2458,10793,34,5503,8435,9170,177,132,11702,5585,6288,416,347,8180,6636,1610,87,3964,1535,6581,10807,1819,265,11768,9201,12108,541,10209,3593,59,5220,11001,4279,12215,12774,2548,9460,194,2537,1179,2281,10062,8038,8771,2652,189,473,9,10659,10025,4263,21,8581,16,431,13840,4600,5922,3962,4558,13061,8389,170
8345,11454,4319,13154,3152,6791,3871,408,5642,5,882,284,9323,14046,10106,454,5059,9514,119,9527,3527,5431,3402,499,4121,277,881,12632,1141,2633,5389,7752,12872,2680,5011,8358,12695,4542,2459,10794,35,5504,8457,9171,178,155,11703,6159,6311,417,348,8181,6637,1611,108,3965,1558,6582,11405,1842,266,11769,9223,12109,542,10231,3594,81,5221,11002,4280,12216,12775,2572,9461,216,2561,1204,2306,10063,8039,8793,2653,210,494,31,10683,10047,4287,22,8582,17,432,13864,4624,5923,3986,4559,13084,8390,171
8368,11455,4342,13753,3153,6814,3872,409,5664,24,13355,285,9871,14047,10107,455,5060,9515,120,9528,3551,5432,3403,500,4144,278,903,12633,1163,2634,5390,7753,13445,2704,5012,8359,12696,4567,2460,11368,36,5526,8458,9193,179,156,11704,6160,6312,418,349,8182,6660,1631,109,4512,1559,7179,11406,1843,287,11792,9224,12131,543,10232,3619,82,5243,11003,4281,12217,13348,2573,9485,217,2562,1205,2879,10064,8062,8794,2676,211,495,32,11257,10048,4312,23,8583,37,433,14413,4625,5947,3987,4560,13085,8391,172
8369,11479,4343,13754,3175,6815,3873,410,5665,25,13356,286,9895,14048,10129,1053,5061,9537,121,9550,4076,5433,3426,501,4145,279,904,12634,1164,2635,5391,7774,13446,2705,5013,8382,12719,4592,2461,11369,60,5527,8459,9194,180,157,12301,6161,6884,419,350,8183,6661,1632,110,4513,2133,7180,11407,1844,288,11793,9225,12132,544,10233,4168,83,5244,11004,4282,12241,13349,2598,9486,218,3136,1229,2880,10065,8063,8795,2677,212,496,33,11258,10072,4837,43,8584,38,456,14414,5199,6497,3988,4582,13086,8392,173
8370,11480,4344,13777,3176,6816,3896,411,5666,26,13980,306,9896,14049,10130,1054,5085,9538,122,9574,4097,5456,3427,502,4146,301,905,12657,1165,2655,5415,7775,13447,3228,5037,8383,12720,4617,2483,11393,61,5528,8460,9195,202,181,12302,6162,6885,438,371,8205,6662,1633,111,4537,2134,7181,11430,1845,289,11794,9248,12133,545,10234,4169,106,5245,11005,4305,12792,13373,3147,10059,219,3137,1230,2881,10066,8064,8796,2678,213,497,554,11259,10073,4838,44,8607,39,457,14415,5200,6521,4561,4583,13109,8413,174
8371,11505,4345,13778,3177,6840,3899,412,5667,27,13981,307,9897,14050,10131,1055,5086,9539,123,9575,4098,5980,3451,503,4694,302,906,12658,1166,2656,5416,7776,13470,3229,5038,8384,12744,5064,2484,11394,634,5529,8482,9218,203,182,12303,6184,6886,439,372,8206,6663,1636,112,4538,2135,7204,11431,1868,290,11817,9249,12134,566,10235,4170,107,5246,11026,4306,12793,13374,3148,10060,241,3138,1231,2903,10087,8088,8818,2701,214,520,555,11282,10097,4861,45,8608,40,458,14437,5201,6522,4586,4584,13110,8414,175
8393,12079,4367,13779,3178,6841,3900,434,6264,28,13982,308,9898,14070,10155,1078,5634,9562,145,10076,4099,5981,4026,522,4695,303,929,13232,1188,2657,5440,7777,13471,3251,5062,8407,12745,5065,2485,11395,635,5551,8483,9219,204,183,12327,6185,6887,440,373,8756,6685,1637,133,4539,2136,7205,11432,1869,291,11818,9250,12157,567,10256,4171,656,5268,11027,4307,12815,13375,3149,10061,242,3161,1254,2904,10088,8089,8819,2702,215,521,556,11283,10098,4862,46,8609,41,459,14438,5222,6523,4587,4585,13111,8415,176
8394,12080,4368,13780,3200,7390,4395,435,6265,29,14004,309,9919,14071,10678,1079,5635,9563,146,10101,4100,5982,4027,523,4696,304,930,13233,1189,2658,5915,7778,13472,3252,5586,8408,13293,5066,2486,11418,636,5552,8484,9243,205,206,12328,6186,6909,441,374,8757,6686,1657,134,4540,2158,7206,11456,2443,292,11843,9274,12158,568,10257,4172,657,5269,11028,4878,12816,13397,3172,10084,243,3162,1255,2905,10089,8090,8820,2703,235,1045,557,11284,10646,4863,47,8633,42,479,14439,5223,6545,4610,4607,13685,8416,195
8395,12103,4369,13803,3201,7391,4396,436,6266,30,14005,310,9920,14072,10679,1080,5636,10114,147,10102,4101,5983,4028,524,4718,305,931,13234,1190,2659,5917,7779,13473,3253,5587,8409,13294,5067,2507,11419,659,5553,8485,9767,227,207,12329,6187,6910,442,375,8780,6687,1658,135,4562,2159,7207,11481,2444,293,12340,9797,12708,569,10258,4192,658,5270,11029,4879,12817,13398,3173,10085,244,3163,1256,2906,10090,8113,8821,2726,236,1070,558,11285,10647,4886,48,8634,62,480,14440,5224,6546,4611,4608,13686,8417,196
8396,12104,4370,13804,3202,7414,4397,437,6267,49,14006,311,9921,14073,10680,1081,5659,10115,721,10125,4102,6005,4051,525,4719,325,955,13257,1191,2660,5939,7800,13495,3254,5611,8432,13295,5068,2508,11443,660,5554,9059,9768,228,208,12926,6209,6911,443,376,8781,6688,1662,136,4563,2160,7229,12030,2467,312,12341,9798,12731,592,10259,4193,681,5271,11030,4880,12818,13399,3174,10086,267,3186,1280,2907,10091,8114,9343,2727,237,1071,559,11308,10648,4887,68,9131,63,481,14462,5225,6547,4612,4609,13687,8439,197
