1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
7098,253,2722,4385,14,2556,1996,347,4589,2439,498,7513,6466,9142,9429,4304,1452,12878,12753,10929,3434,984,11,9281,8929,9873,563,9272,428,6444,2889,8752,3947,8289,3156,326,433,220,10635,3755,259,8938,6167,244,4005,7576,3691,5069,163,4076,51,4383,24,6664,8359,3010,4,1407,410,13583,5443,4536,151,9537,139,10717,10414,371,8682,111,1499,5011,12356,1533,39,4667,401,211,5005,10346,1723,12249,146,337,1,330,3023,11895,10231,1803,104,3305,13452,4734,8530,339,625,7176,155,5423,3474,4651,2989,1118,9144,1338,8016,59,9222,4419,8389
 7122, 254, 2723, 4410, 15, 2557, 2021, 348, 4590, 2463, 499, 7514, 6467, 9143, 9454, 4305, 2052, 12879, 12754, 10954, 3435, 985, 12, 9305, 8930, 9874, 564, 9297, 429, 6445, 2890, 8776, 3948, 8290, 3157, 327, 434, 221, 10636, 3756, 260, 8963, 6168, 245, 4006, 7601, 3716, 5070, 187, 4077, 76, 5008, 25, 6665, 8360, 3011, 5, 1408, 411, 13608, 5468, 4537, 176, 9538, 140, 10742, 10439, 971, 8683, 112, 1524, 5012, 12955, 1558, 40, 4691, 402, 212, 5006, 10347, 2348, 12250, 147, 338, 2, 331, 3024, 11920, 10232, 1804, 105, 3306, 13453, 4735, 8531, 340, 1249, 7201, 178, 5424, 3475, 4652, 3514, 1119, 9717, 1363, 8042, 81, 9223, 4441, 9014
 7123, 277, 2746, 4411, 16, 2558, 2022, 349, 4591, 2464, 524, 7539, 6468, 9165, 9480, 4328, 2053, 12903, 12755, 11553, 4033, 1009, 13, 9306, 8931, 9899, 588, 9322, 451, 6446, 2914, 8777, 3949, 8315, 3158, 328, 456, 222, 10637, 3780, 284, 8988, 6190, 268, 4553, 8201, 3717, 5071, 188, 4101, 77, 5009, 48, 6689, 8361, 3012, 6, 1432, 412, 13609, 5469, 4538, 177, 10114, 141, 10743, 10464, 994, 8684, 135, 1549, 5013, 12956, 2133, 41, 4692, 426, 235, 5007, 10348, 2372, 12251, 148, 360, 3, 332, 3025, 11921, 10255, 1828, 128, 3879, 13454, 4736, 8555, 341, 1250, 7226, 179, 5425, 4024, 4653, 3537, 1120, 9718, 1388, 8043, 82, 9772, 4442, 9015
 7673, 278, 2747, 5010, 17, 2581, 2046, 350, 4614, 2489, 525, 7563, 6469, 9166, 9505, 4329, 2076, 12904, 12778, 11554, 4034, 1010, 35, 9330, 8954, 10451, 589, 9872, 452, 6470, 2915, 8778, 4547, 8316, 3180, 329, 457, 246, 10659, 3781, 285, 9563, 6191, 269, 4578, 8202, 3741, 5093, 189, 4102, 78, 5607, 49, 6690, 8384, 3013, 7, 1433, 413, 13633, 5493, 4539, 201, 10115, 142, 10767, 10465, 995, 8708, 136, 1574, 5037, 12980, 2134, 42, 4715, 427, 236, 5029, 10371, 2972, 12252, 149, 361, 26, 333, 3048, 11922, 10256, 1829, 129, 3904, 13455, 4759, 8556, 342, 1273, 7227, 180, 5448, 4049, 4676, 3538, 1121, 9719, 1936, 8044, 83, 9773, 4443, 9016
 7674, 279, 2748, 5034, 18, 2582, 2047, 372, 4615, 2513, 549, 7564, 6491, 9167, 9506, 4330, 2077, 12928, 12779, 11578, 4035, 1584, 36, 9355, 8955, 10476, 590, 9897, 453, 7044, 2916, 8801, 4548, 8317, 3181, 351, 458, 247, 10660, 3804, 286, 9564, 6192, 270, 4604, 8203, 3742, 5094, 213, 4678, 79, 5608, 50, 7264, 8385, 3035, 8, 1458, 435, 13634, 5494, 4561, 202, 10138, 143, 10768, 10489, 996, 9283, 137, 2099, 5038, 12981, 2157, 63, 4716, 475, 237, 5030, 10372, 2973, 12271, 150, 362, 27, 354, 3049, 11923, 10257, 1830, 130, 3905, 13456, 4760, 8581, 343, 1274, 7228, 181, 5449, 4073, 4677, 3539, 1122, 9720, 1937, 8045, 84, 9774, 4444, 9039
 7697, 280, 2771, 5035, 19, 2583, 2071, 373, 4616, 2514, 550, 7588, 6492, 9168, 10003, 4353, 2078, 12929, 12780, 11579, 4058, 1585, 37, 9854, 8956, 10498, 612, 9898, 454, 7045, 2917, 8802, 4549, 8318, 3182, 352, 459, 271, 10661, 3805, 309, 9588, 6193, 292, 4629, 8226, 3743, 5095, 214, 4679, 101, 5632, 72, 7289, 8386, 3036, 9, 2032, 436, 13635, 5518, 4562, 224, 10139, 144, 11267, 10490, 1020, 9284, 138, 2100, 5063, 12982, 2158, 64, 4741, 500, 261, 5031, 10373, 2974, 12272, 171, 363, 28, 355, 3050, 11924, 10280, 1852, 152, 3930, 13477, 4761, 8606, 364, 1275, 7252, 182, 6022, 4074, 5251, 3561, 1141, 9741, 1938, 8046, 85, 9797, 4466, 9040
 7698, 302, 2772, 5036, 20, 2606, 2096, 374, 4639, 2515, 574, 7589, 6493, 9169, 10004, 4354, 2101, 12930, 13353, 11603, 4059, 1586, 38, 9878, 8979, 10499, 613, 9921, 455, 7046, 2939, 8803, 4550, 8339, 3183, 353, 460, 272, 10662, 3806, 310, 9589, 6215, 293, 4630, 8227, 3766, 5096, 215, 4680, 102, 5633, 73, 7290, 8409, 3037, 10, 2033, 437, 14182, 5519, 4563, 225, 10140, 145, 11292, 11039, 1021, 9307, 159, 2123, 5636, 13005, 2159, 65, 5267, 1001, 262, 5032, 10947, 2997, 12273, 172, 385, 52, 356, 3073, 11925, 10281, 1853, 153, 3931, 13478, 4784, 8632, 365, 1298, 7253, 183, 6023, 4075, 5276, 3562, 1142, 9742, 1962, 8616, 106, 9798, 4467, 9063
 7699, 303, 2773, 5060, 21, 2607, 2595, 375, 4640, 2540, 575, 7613, 6494, 9170, 10005, 4355, 2102, 12953, 13354, 12153, 4060, 1609, 60, 9879, 8980, 10500, 614, 9922, 476, 7069, 2940, 9376, 4572, 8340, 3205, 376, 481, 297, 10685, 3829, 311, 9590, 6216, 294, 4631, 8228, 3767, 5097, 238, 4701, 103, 5634, 74, 7313, 8410, 3060, 29, 2057, 438, 14183, 5520, 4564, 226, 10162, 164, 11293, 11040, 1046, 9308, 160, 2124, 5637, 13006, 2182, 66, 5291, 1002, 13337, 5033, 10971, 2998, 12274, 173, 386, 53, 357, 3074, 12519, 10305, 1854, 154, 3932, 13479, 4785, 8657, 366, 1299, 7277, 203, 6024, 4098, 5277, 3563, 1143, 9743, 1963, 8617, 107, 9799, 5019, 9064
 7722, 304, 2796, 5061, 22, 2608, 2620, 397, 4641, 3038, 599, 7614, 6517, 9190, 10028, 4378, 2103, 12954, 13378, 12154, 4083, 1610, 61, 9880, 8981, 10524, 1188, 9923, 477, 7070, 2941, 9377, 4573, 8341, 3206, 377, 482, 322, 10686, 3830, 334, 9613, 6217, 295, 4654, 8251, 3768, 5119, 239, 4702, 126, 5658, 75, 7314, 8411, 3061, 30, 2058, 461, 14184, 6042, 4565, 227, 10163, 165, 11294, 11064, 1071, 9309, 161, 2125, 5638, 13007, 2183, 67, 5292, 1003, 13338, 5053, 10972, 2999, 12275, 174, 387, 626, 358, 3075, 12520, 10306, 2428, 705, 3955, 13480, 4809, 9081, 367, 1300, 7278, 204, 6025, 4099, 5278, 3564, 1144, 9744, 1964, 8618, 108, 9800, 5020, 9088
 7723, 305, 2797, 5062, 23, 2630, 2621, 398, 5215, 3039, 600, 8088, 6518, 9191, 10029, 4379, 2126, 13503, 13379, 12178, 4084, 1611, 62, 9903, 9530, 10525, 1189, 9946, 478, 7071, 2942, 9378, 4574, 8342, 3207, 926, 483, 846, 10687, 3831, 335, 9614, 6239, 296, 4655, 8252, 3791, 5120, 240, 4703, 127, 6232, 96, 7315, 8412, 3062, 31, 2082, 462, 14185, 6043, 4585, 248, 10164, 166, 11316, 11065, 1072, 9310, 162, 2148, 5662, 13580, 2184, 68, 5293, 1026, 13361, 5054, 10973, 3022, 12276, 175, 388, 627, 359, 3648, 12521, 10831, 2429, 729, 3956, 13504, 5336, 9082, 368, 1873, 7776, 205, 6026, 4100, 5301, 3585, 1145, 9745, 1987, 8619, 109, 9801, 5039, 9089
