1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
829,52,14089,1463,11383,9802,11211,13156,14218,5470,464,12372,10753,10100,470,843,7930,6647,7536,11470,6467,8026,1355,9532,2141,6004,4524,12116,14104,7718,9863,7065,7527,5457,2860,5424,7961,11574,5563,295,4515,355,6289,3424,10023,13443,13519,6597,8823,10044,12917,6984,1031,30,532,10141,3835,6179,5816,10553,9431,4058,4189,3449,10747,369,2308,915,249,9526,1217,8173,302,8476,11354,6306,6496,9554,4316,8208,2578,6167,61,9438,2352,10006,13889,13601,10001,11773,11610,9856,586,2959,6283,6584,11814,2543,2710,230,7515,118,64
830,53,14090,1464,11384,9803,11233,13157,14219,5494,465,12373,10776,10123,471,844,7954,6669,7537,12043,6468,8048,1356,9533,2163,6005,4525,12117,14105,8242,9864,7088,7528,6030,2861,5446,7962,12122,5583,316,4516,356,6313,3425,10024,13444,13543,6598,8844,10045,12940,7006,1032,31,533,10142,3836,6180,5817,10554,9432,4079,4190,3450,10748,370,2330,936,250,9527,1240,8174,303,8477,11902,6307,6497,9555,4340,8209,2579,6168,62,9458,2374,10007,13890,13602,10002,11795,11611,9857,587,2960,6783,6585,11815,2544,2711,231,7516,140,65
831,69,14113,1465,11385,9826,11234,13158,14241,5495,487,12945,10777,10124,472,866,7955,6670,7561,12044,6490,8049,1357,9534,2164,6006,4526,12118,14128,8243,9865,7089,7551,6031,2862,5447,7963,12123,5584,317,4517,357,6314,3426,10046,13466,13544,6599,8845,10064,12941,7007,1033,54,534,10162,3837,6181,5839,10555,9455,4080,4214,3473,10770,389,2331,937,251,9528,1241,8175,321,8478,11903,6330,6498,9556,4341,8210,2601,6169,80,9459,2375,10028,13891,13603,10025,11796,11634,9880,588,2961,6784,6586,12313,2545,2733,232,7517,141,89
855,70,14114,1489,11956,9827,11235,13179,14242,5496,488,12946,10778,10125,473,867,7956,6671,8111,12045,6491,8050,1379,9535,2165,6007,4527,12140,14129,8244,9866,7114,7552,6032,2863,5448,7964,12124,5585,318,4540,379,6315,3451,10047,13467,13545,6622,8846,10065,12942,7008,1034,55,535,10163,3859,6182,5840,10578,9456,4081,4215,3474,10771,390,2332,938,252,10078,1242,8198,322,8479,11926,6331,6519,9579,4342,8232,2602,6170,81,9460,2376,10029,13912,13604,10050,11797,11635,9881,589,2962,6785,6609,12337,2546,2734,233,7518,142,689
1404,71,14115,1989,11957,9828,11236,13180,14243,5497,489,12947,10779,10126,474,868,7979,6672,8136,12046,6492,8073,1380,9536,2166,6008,4528,12141,14130,8267,9889,7638,7553,6054,2885,5449,7965,12146,5586,319,4541,380,6338,3476,10048,13468,13568,6623,8847,10066,12966,7009,1035,403,536,10164,3860,6205,5841,10579,9457,4082,4240,3475,10772,391,2333,939,253,10101,1816,8199,323,8501,11927,6332,6520,9580,4365,8233,2603,6171,82,9461,2399,10030,13913,13626,10500,12369,11636,9905,611,2984,6786,6610,12338,2565,2735,234,7519,165,11263
1405,72,14138,1990,11958,9851,11259,13181,14244,5519,490,12948,10800,10149,494,869,7980,6694,8137,12068,6493,8074,1381,9557,2167,6009,4529,12142,14153,8268,9890,7639,7575,6055,2886,5471,7966,12147,5587,892,4542,381,6339,3975,10049,13469,13569,6624,8848,10067,12967,7032,1056,404,557,10165,3861,6754,5842,10580,9480,4083,4688,3498,10773,392,2356,940,273,10102,1840,8774,324,8502,11928,6355,6521,9581,4366,8234,2627,6192,83,9462,2400,10031,13914,13627,10501,12370,11637,9906,612,2985,6787,6634,12361,2566,2736,235,7541,166,11288
1406,73,14139,2013,11981,10401,11260,13182,14266,5520,512,12949,10801,10150,495,891,7981,6695,8160,12069,6515,8075,1382,9558,2188,6029,4549,12143,14154,8269,9891,7640,7576,6056,2887,5472,7967,12148,5588,893,5115,382,6340,3976,10071,13491,13593,6625,8869,10068,12992,7033,1057,405,558,10166,3862,6755,6415,10581,9481,4102,4712,3499,11321,393,2357,1512,274,10103,1841,8775,325,8503,11929,6356,6522,9582,4367,8235,2628,6193,84,9463,2401,10032,13915,13628,10523,12374,11658,10481,613,2986,6788,7082,12362,2567,2737,236,7542,167,11289
1428,74,14140,2014,11982,10402,11808,13183,14267,5521,513,12970,10802,10174,496,1417,8554,6696,8161,12070,6516,8099,1407,9559,2189,6033,4550,12165,14729,8270,10388,7641,7577,6057,2888,5473,7987,12149,5608,894,5140,406,6363,3977,10072,13492,13594,6648,8870,10069,13515,7034,1058,427,559,10167,3884,6778,6440,10603,9482,4103,4713,3500,11322,394,2358,1513,275,10104,1865,8799,326,8504,11951,6904,6523,9605,4368,8807,3151,6194,85,9483,2424,10053,13916,14176,10524,12375,11659,10482,614,2987,6789,7083,12363,2568,2758,237,7543,190,11313
1429,75,14689,2015,11983,10403,11809,13205,14268,5522,514,12971,10803,10175,497,1441,8555,6719,8162,12071,6517,8100,1906,9560,2190,6531,4551,12166,14754,8271,10389,7662,7578,6058,2911,5474,7988,12150,5609,916,5141,879,6364,3996,10073,13493,13618,6649,8871,10070,13516,7057,1059,428,560,10187,3885,6779,6441,10604,10079,4104,4714,3524,11323,395,2359,1536,276,10127,1866,8800,327,8526,11952,6905,6545,9606,4389,8808,3152,6195,86,9484,2425,10054,13939,14177,10525,12393,11660,10506,633,3008,6807,7084,12364,2569,2759,238,7544,191,11885
1430,76,14690,2016,11984,10426,11810,13206,14292,5545,515,12972,10804,10749,498,1442,8579,6720,8186,12093,6518,8124,1907,9583,2191,6554,4552,12167,14779,8292,10412,7663,7602,6080,2912,5475,7989,12171,5610,917,5165,880,6365,3997,10074,14018,14143,7248,8872,10091,13517,7058,1060,429,582,10188,3886,6780,6442,10605,10080,4105,4715,3525,11324,396,2906,1537,826,10128,2491,8824,346,8527,11953,6906,6546,9607,4390,8809,3153,6196,87,9485,2426,10055,13940,14178,10526,12394,11661,10531,634,3009,6808,7085,12365,2570,2760,239,7545,690,11886
