1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
11750,107,9185,149,11285,61,5763,9867,7801,6335,4813,10123,5035,10322,781,12367,6828,3354,7389,5173,3962,4380,8926,4308,10765,2526,11493,2948,429,6695,2910,166,11811,8266,12302,10187,7256,12084,6604,9927,11961,397,5618,6446,480,44,3491,47,5358,5066,580,3364,4656,3680,2271,5341,10264,277,4397,6844,2372,7380,9663,4152,534,985,812,10234,2390,388,970,7454,12129,3505,3686,1641,3137,4038,8521,5896,2064,264,6688,2437,12575,1493,9297,8826
11771,108,9186,150,11286,62,5764,9891,7822,6336,4814,10124,5057,10323,782,12386,6848,3375,7390,5174,3963,4403,8927,4331,10766,2527,11514,2949,450,6696,2911,167,11835,8267,12303,10188,7257,12085,6625,9928,11962,398,5619,6469,481,45,3515,48,5359,5067,581,3365,4657,3681,2272,5342,10265,278,4398,6845,2373,7381,9686,4153,535,986,813,10258,2391,389,971,7455,12130,3506,3687,1642,3138,4039,8522,5897,2065,265,6712,2438,12576,1494,9319,8827
11772,109,9187,151,11287,86,5765,10441,7823,6337,4815,10125,5058,10324,783,12387,6849,3376,7391,5175,3987,4404,8928,4332,10767,2528,11515,2971,451,6697,2933,168,12359,8793,12326,10189,7258,12086,6626,9929,12485,399,5643,6470,482,63,4065,49,5384,5068,582,3388,4658,3682,2273,5343,10266,279,4399,6846,2396,7404,9687,4154,536,987,814,10259,2392,409,972,7478,12131,3507,3710,1643,3139,4060,8523,5898,2088,266,6713,2439,12577,1495,9320,8828
11773,110,9188,152,11310,87,5786,10442,7824,6358,4839,10147,5059,10325,784,12388,6850,3377,7392,5197,4511,4405,8929,4333,10790,2550,11516,2973,452,6719,2934,169,12383,8816,12327,10713,7259,12087,6627,10476,12486,415,6166,6471,1007,64,4066,50,5856,5069,605,3389,4659,3705,2821,5344,10289,280,4400,6869,2397,7405,9688,4155,537,988,815,10808,2413,410,997,7479,12132,4055,3711,1644,3140,4061,9096,5921,2089,286,6714,2462,12578,1515,9321,8851
11774,111,9189,153,11311,585,5787,10465,7825,6359,4840,10148,5060,10326,785,12389,6851,3378,7414,5198,4512,4406,8951,4334,10791,2551,11517,2974,453,6720,2935,170,12384,8817,12328,10714,7260,12108,6628,10477,12487,416,6167,6494,1008,65,4090,51,5857,5091,606,3390,4681,3706,2822,5345,10290,281,4421,6870,2398,7953,9712,4156,556,989,837,10809,2414,411,10345,7480,12133,4077,4208,2216,3161,4062,9121,5922,2090,287,7261,2463,12600,1516,9322,8852
12346,112,9210,154,11312,586,5788,10466,7826,6360,5387,10149,5084,10346,786,12390,6852,3379,7415,5199,4513,4427,8952,4355,10792,2552,11518,2998,454,6721,2936,171,12385,8818,12329,10737,7279,12109,6629,10478,12509,417,6168,6495,1030,66,4091,52,5858,5092,607,3988,4682,4255,2845,5363,10291,282,4422,7393,2972,7954,10211,4157,557,990,838,10810,2415,412,10919,7481,12156,4078,4209,2217,3162,4063,9122,5923,2613,288,7285,2464,12601,1517,9345,8853
12347,130,9211,155,11313,587,5789,10467,7848,6383,5388,10150,5632,10347,806,12391,6853,3400,7416,5200,4514,4428,8953,4356,10816,2553,11541,2999,475,6743,2961,191,12408,8819,12330,10738,7280,12110,6650,10479,12510,418,6191,6496,1031,67,4114,53,5859,5093,608,3989,4683,4256,2846,5364,10314,283,4423,7418,2996,7955,10212,4178,558,991,839,10831,2416,413,10920,7482,12157,4079,4210,2218,3163,4064,9123,5946,2637,289,7286,2465,12602,1518,9869,8854
12348,131,9212,172,11335,609,5790,10468,7849,6384,5389,10173,5633,10348,807,12392,6874,3401,7417,5222,4536,4429,8954,4357,10841,2575,11542,3020,476,6744,3483,192,12409,8840,12351,10739,7281,12111,6651,10501,12511,419,6192,6497,1032,68,4115,72,5860,5094,628,3990,4684,4257,2847,5365,10315,284,4424,7419,2997,7956,10213,4179,559,1009,840,10832,2417,414,10921,7502,12657,4080,4211,2219,3164,4085,9146,5947,2638,290,7287,2488,12603,1519,9870,8876
12349,132,9213,173,11336,610,6361,10490,7850,6385,5390,10174,5634,10349,808,12412,6875,3402,7439,5223,4537,4430,8977,4358,11391,2576,11567,3021,477,6745,3484,193,12410,8841,12352,10762,7282,12112,6652,10502,12512,420,6193,6520,1033,69,4140,73,5880,5116,629,4014,4707,4280,2848,5366,10339,285,4425,7420,3022,7957,10235,4180,560,1010,1414,10833,2440,434,10944,7503,12681,4081,4212,2220,3165,4086,9147,5948,2639,291,7288,2489,12624,1520,9894,8877
12371,133,9235,174,11337,611,6362,10491,7874,6409,5412,10175,5635,10350,809,12413,7422,3403,7440,5224,4538,4431,8978,4359,11416,2577,12089,3023,478,7246,3485,194,12411,8842,12353,10763,7283,12134,6653,10503,12513,421,6216,6521,1055,70,4715,74,5881,5117,630,4614,4708,4281,2870,5367,10864,302,4446,7421, ,7958,10236,4181,561,1011,1438,10834,2441,435,10945,7504,12682,4101,4213,2241,3185,4087,9148,5971,2640,292,7310,3087,12625,1541,9895,8878
12372,134,9236,175,11360,612,6363,10492,7875,6410,5413,10199,5657,10351,810,12414,7423,3426,7441,5248,4539,4451,8979,4382, ,2600,12090,3024,479,7247,3486,195,12433,8843,12354,10764,7284,12135,6654,10504,12514,422,6217,7018,1056,71,4716,75,5882,5118,631, ,4709,4282,2871,5368,10866,303,4447,7443,,7978,10237,4182,562,1012,1439,10835,2442,436,10946,7505,12704,4102,4233,2242,3186,4088, ,5972,2662,311,7311,3088,12626,1542,9896,8879
12373,135,9237,176,11361,634,6364,11093,8401,6883,5414,10200,5658,10372,811,12415,7424,3427,7442,5751,4561,4452,9002,4383,,2602,12091,3045,499,7248,3508,215,12434,8844,12355,10786,7304,12136,7176,10505,12535,423,6218,7019,1057,88,4740,76,5883,5119,632,,4733,4305,2872,5369,10889,304,4448,7444,,7979,10238,4203,583,1013,1440,10855,2963,437,10968,7506,12705,4103,4234,2243,3187,4089,,5973,2663,312,7312,3089,12627,1543,9897,8880
12374,136,9761,177,11960,635,6386, ,8402,6884,5415,10723,5659,10373,832,12416,7425,3428,7463,5772,4562,4453,9526,4384,,3101,12092,3046,500,7270,3509,216,12435,8845,12356,10787,7305,12159,7177,10506,12536,424,6219,7020,1058,89, ,77,5884,5141,633,,5258,4306,2873,5370,10890,305,4449,7445,,7980,10260,4204,584,1014,1464,10856,2964,438,10969,7507,12706,4104,4235,2244,3188,4635,,6522,2664,313,7313,3113,12628,1544,9919,8904
12375,137,9762,178,11985,636,6387,,8424,6885,5437,10724,5660,10374,833,12417,7426,3451,7464,5773,4563,4454,9527,4385,,3102,12113,3047,501,7271,3510,217,12436,8865,12376,10788,7306,12160,7178,10526,12537,440,6242,7021,1059,90,,97,5885,5639,653,,5282,4330,2874,5391,10891,306,4450,7446,,7981,10261,4205,1084,1015, ,10857,2965,439,10970,7508,12707,4105,4236,2245,3189,4636,,6523,2665,314,7336, ,12649,1545,9920,8905
12396,156,9763,179, ,637,6388,,8425,6886,5438,10747,5682,10375,834,12437,7427,3876,7465,5774,4564,4455,9528,4931,,3103,12114,3048,502,7272,3511,218,12459,8866,12377,10789,7307,12658,7201,10527,12538,441,6243,7022,1081,91,,98,5905,5640,654,,5283,4880,2896,5392,10892,307,4472,7468,,7982,10262,4206,1107,1512,,10858,2966,459,10971,7528,12729,4106,4237,2266,3211,4637,,6546,2666,315,7337,,12650,1566,9921,8906
12397,157,9786,180,,638,6389,,8426,6887,5439,10748,5683,10376,835,12438,7428,3901,7466,5775,4586,4456,9551,4932,,3126,12115,3049,503,7273,3533,219,12460,8867,12378,10811,7308,12659,7202,10528,12539,442,6244,7042,1082,92,,99,5906,5641,655,,5284,4881,2897,5393,10914,308,4473,7469,,7983,10263,4207,1108,1513,,10859,2988,460,10994,7529,12730,4107,4238,2267,3212,4638,,6547,2687,316,7338,,12651,1567,9922,8930
12398,158,9787,181,,659,6390,,8427,6908,5440,10749,5684,10399,836,12439,7447,3902,7467,5776,4587,4476,9552,4955,,3127,12116,3071,504,7274,3534,220,13009,8868,12379,10812,7309,12660,7203,10529,12560,443,6268,7043,1083,93,,100,5907,5642,656,,5308,4905,2898,5394,10915,309,4474,7470,,8003,10285,4229,1109,1535,,10882,2989,461,10995,7530,12731,4127,4258,2268,3213,4639,,6548,2688,317,7339,,12652,1568,9944,8931
12399,159,9788,196,,660,6411,,8447,6909,5464,10750,5685,10400,858,12440,7448,3903,7487,5777,4588,4477,9553,4956,,3128,12117,3072,505,7295,3535,241,13010,8869,12380,10813,7778,12683,7204,10530,12561,444,6817,7044,1106,94,,122,5908,5665,657,,5333,4930,2921,5416,10916,310,4475,7471,,8004,10286,4230,1110,1536,,10883,2990,462,10996,7531,12732,4128,4259,2269,3214,4660,,6571,2689,318,7911,,12674,1569,9945,8955
12421,160,9789,197,,661,6412,,8448,6910,5465,10772,5708,10851,859,12441,7449,3926,7488,5796,4611,4478,9554,4957,,3149,12118,3073,524,7296,3536,242,13034,8870,12381,10814,7779,12684,7226,10531,12562,445,6841,7045,1656,95,,123,5909,5666,658,, , ,3445,5417,10939,327,4497,7493,,8005,10287,4231,1111,1537,,10884,2991,463,11019,7532,12754,4129,4260,2270,3237,4661,,6572,2690,337,7912,,12675,1570,9946,9376
12422,707,9810,198,,662,6413,,8449,6911,6014,10773,5709,10874,860,12442,7450,3927,7489,5797,4612,4479,9576,4958,,3150,12138,3074,525,7297,3537,243,13035,8890,12382,10815,7803,12685,7227,10532,12563,446,6842,7046,1657,96,,124,5910,5667,678,,,,3446,5418,10940,328,4498,7494,,8006,10288,4777,1131,1538,,11433,2992,486,11020,7554,12755,4130,4261,2291,3238,4662,,6573,2691,338,7936,,12676,2042,9947,9377
