,grain,FIP
0,1,6.437981038205261e-06
1,2,8.768650253916129e-08
2,3,1.5133116505927601e-06
3,4,1.3950838152520303e-07
4,5,3.792068981588099e-07
5,6,1.250023288179906e-07
6,7,3.978020374927459e-06
7,8,1.0080900159536572e-07
8,9,3.0411648169339986e-12
9,10,1.2768789316473379e-06
10,11,1.4526293039052981e-07
11,12,1.2523021948042955e-06
12,13,5.148872515024013e-07
13,14,4.095096119466857e-11
14,15,6.543098789952533e-07
15,16,3.999242069397895e-06
16,17,5.262401383949316e-07
17,18,4.4618460499837414e-07
18,19,3.84944386608404e-08
19,20,2.507414861907767e-07
20,21,8.35250277086215e-06
21,22,1.2588357317017075e-06
22,23,1.4665293731832933e-10
23,24,1.025509250172091e-06
24,25,5.176682936638419e-07
25,26,9.816100576580353e-08
26,27,2.351150713896566e-10
27,28,5.556157520274194e-09
28,29,7.065332860481975e-10
29,30,3.876061031592728e-06
30,31,2.3944236643721266e-10
31,32,4.4073458220277847e-07
32,33,9.706533332490562e-08
33,34,6.3151417519543015e-06
34,35,3.9404026386909015e-08
35,36,9.288610971849514e-10
36,37,9.026438847740599e-08
37,38,4.196598381048795e-06
38,39,6.932112572978647e-10
39,40,1.2500257502624155e-07
40,41,4.5870511442719e-06
41,42,6.978475074684396e-07
42,43,6.280293992337085e-06
43,44,5.340894484540733e-08
44,45,2.958252720479425e-06
45,46,1.1136670222276925e-07
46,47,1.4663522510382037e-06
47,48,7.5944930656085614e-06
48,49,7.816289374700108e-06
49,50,2.3928565471158256e-07
50,51,1.2567933265735271e-08
51,52,3.2199618557912276e-07
52,53,2.0567748749658595e-06
53,54,9.36334575886126e-11
54,55,6.041691954780683e-06
55,56,7.795101781344226e-07
56,57,2.599935478856279e-06
57,58,2.79167309475454e-08
58,59,8.895530316159572e-07
59,60,5.375339917441255e-07
60,61,3.253315060805353e-07
61,62,1.5892822451101787e-06
62,63,6.2367116873891605e-06
63,64,3.497106285726308e-06
64,65,3.934562961701865e-06
65,66,6.095372868945258e-07
66,67,8.045931348990053e-10
67,68,5.82007548050438e-07
68,69,7.863839906064546e-07
69,70,9.019360857603332e-06
70,71,1.3772827310344772e-08
71,72,1.218474768641804e-08
72,73,2.5643162197980333e-07
73,74,5.094274023985242e-06
74,75,4.166972519041043e-06
75,76,2.6915068451457455e-08
76,77,6.560382267118809e-06
77,78,5.3353704772610565e-06
78,79,1.972982282876171e-08
79,80,2.3028168614783154e-08
80,81,4.814259751606121e-06
81,82,2.612447860467198e-07
82,83,4.372948243069809e-07
83,84,4.121591494970226e-09
84,85,5.811948772922542e-09
85,86,3.343884186348651e-06
86,87,1.8157941576645876e-07
87,88,1.457448997269275e-08
88,89,6.044015544183182e-08
89,90,2.564459629678779e-10
90,91,1.883351766929465e-11
91,92,1.4240552042534648e-07
92,93,5.866892334281534e-09
93,94,9.854885799712932e-06
94,95,7.8023419211342e-06
95,96,7.2653529206200716e-06
96,97,9.415009458672785e-06
97,98,2.3459879865515114e-08
98,99,1.6560853857916626e-06
99,100,3.7401912935781443e-06
100,101,2.1136313322769658e-07
101,102,5.279960449693802e-07
102,103,1.3306505332581223e-06
103,104,7.2414809593443e-06
104,105,3.2182463517978704e-06
105,106,2.1565584868383975e-07
106,107,5.340826711506009e-10
107,108,5.499687076455807e-06
108,109,5.090948227851395e-08
109,110,1.0846464463170494e-05
110,111,8.018511239561105e-06
