,grain,FIP
0,1,0.00039049974463693066
1,2,0.0006135847953363475
2,3,0.0007982956717099315
3,4,0.0008632081422305542
4,5,0.00033195129202863704
5,6,0.00025802766909246836
6,7,0.0005624716703370496
7,8,0.00027853312929935835
8,9,0.0004969822804524538
9,10,0.00023525156130462557
10,11,0.0004698227873128601
11,12,0.0005062239107887682
12,13,0.0009483097659511169
13,14,0.0007636399703374685
14,15,0.000462092303695426
15,16,0.0004445962314385066
16,17,0.0007540522858825751
17,18,0.0006480119760405591
18,19,0.0003538812165841389
19,20,0.0006995548916995482
20,21,0.00027443870123769097
21,22,0.0007270646477838187
22,23,0.0006886324412563612
23,24,0.0007762365272430176
24,25,0.000901794882649189
25,26,0.000648967036069227
26,27,0.0006055108518573905
27,28,0.0008847643362809873
28,29,0.0005679176017142721
29,30,0.0006201859169070318
30,31,0.0005729768615941624
31,32,0.0008478799517917502
32,33,0.0002753676542553738
33,34,0.0003421825604642029
34,35,0.001012068540647889
35,36,0.0009844597689365982
36,37,0.00048564341261969656
37,38,0.0007415886946667779
38,39,0.0003564707809062397
39,40,0.0008860383912489511
40,41,0.0004528957239666449
41,42,0.0006652458271561418
42,43,0.0007542018621112659
43,44,0.0007325705285718375
44,45,0.0010942737073529553
45,46,0.00042351282147434115
46,47,0.0002539064392296063
47,48,0.0005051334325427621
48,49,0.0006426271416472509
49,50,0.0006114082248301445
50,51,0.0003410470056219224
51,52,0.00032570134133667585
52,53,0.00047790742792144515
53,54,0.000545656601226428
54,55,0.0006324928404699545
55,56,0.0006624720207329349
56,57,0.00037945458178466714
57,58,0.0003553379240277844
58,59,0.000761398798075685
59,60,0.0005401178035053944
60,61,0.0005418563429969924
61,62,0.00010744773543888669
62,63,0.0007729438175462407
63,64,0.00037975566911695267
64,65,0.000679788144151806
65,66,0.00045908399342404924
66,67,0.00112292388442572
67,68,0.0005416850132085303
68,69,1.9651775387501634e-05
69,70,0.0006633153744388038
70,71,0.0006052690590482784
71,72,0.0010580994631330346
72,73,0.000515807551959516
73,74,0.0006551458592160479
74,75,0.0008146338237549233
75,76,0.0005744398027172507
76,77,0.0010598428346950905
77,78,0.0008451298794897715
78,79,0.000924997816357615
79,80,0.0010315675323306962
80,81,0.0009163014062069267
81,82,0.00015814867084563427
82,83,0.0010096333051551202
83,84,0.00037433825358484306
84,85,0.000669919856752931
85,86,0.0007727218343205342
86,87,0.0008486809531702578
87,88,0.00022667169018031452
88,89,0.0009019397805467184
89,90,0.000559490314437515
90,91,0.000920407260373955
91,92,0.000772102938678348
92,93,0.0005481673581005231
93,94,0.0003424199544889464
94,95,0.00026465736508516697
95,96,0.00047125794916671044
96,97,0.0006324225228546609
97,98,0.000639192522162723
98,99,0.0006276623903942898
