1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
5378,6336,1335,139,11787,10360,3511,6539,8469,13049,176,3534,467,2607,6174,401,2932,9022,12676,9766,3328,3889,8558,10020,387,1,12077,5704,12846,104,10888,673,536,11409,11260,213,10974,6412,2251,499,11036,5,3148,4235,3266,11609,7895,2872,641,10869,1508,333,7663,119,1552,9151,4910,429,203,8851,2847,3390,7951,13,1613,12434,5069,9035,12902,6223,372,270,398,175,19,5521,10739,1864,8751,7516,10172,3131,3758,9216,5278,140,585,10061,110,9609,9797,801,275,6635,89,12512,9400,3808,2735
 5379, 6337, 1336, 163, 12387, 10361, 3512, 6564, 8470, 13050, 177, 3535, 468, 2631, 6724, 402, 3556, 9023, 12677, 9767, 3329, 3890, 8583, 10021, 388, 2, 12101, 5753, 12847, 126, 10889, 674, 537, 11410, 11285, 214, 11574, 6986, 2851, 500, 11061, 6, 3149, 4236, 3267, 11610, 8495, 2873, 642, 10870, 1533, 334, 7664, 120, 2103, 9152, 4911, 453, 204, 8852, 2871, 3415, 7976, 14, 1614, 12435, 5070, 9634, 12927, 6224, 396, 293, 399, 200, 20, 5522, 10764, 1865, 8752, 7517, 10196, 3156, 4357, 9241, 5279, 141, 636, 10086, 111, 10208, 9819, 1426, 298, 6660, 90, 12513, 9425, 3809, 2736
 5380, 6937, 1337, 164, 12411, 10362, 3513, 6565, 8471, 13074, 178, 3559, 469, 2655, 6725, 403, 3557, 9599, 12678, 9791, 3352, 4489, 8584, 10022, 410, 3, 12102, 6302, 12871, 127, 11463, 696, 538, 11434, 11359, 238, 11598, 7010, 2876, 524, 11062, 7, 3150, 4237, 3290, 11634, 8519, 2897, 643, 10871, 1534, 358, 7689, 121, 2104, 9173, 4912, 454, 205, 8876, 3392, 3439, 7977, 15, 1638, 12460, 5094, 9635, 12928, 6225, 397, 294, 400, 225, 21, 5544, 10765, 1888, 8753, 7518, 10197, 3755, 4382, 9242, 5280, 142, 637, 10111, 112, 10209, 9820, 1451, 299, 6661, 91, 12514, 9426, 4408, 2737
 5402, 6938, 1338, 165, 12412, 10385, 3536, 6588, 8494, 13075, 201, 3560, 470, 2656, 6749, 426, 3558, 9600, 13276, 9792, 3376, 4490, 8608, 10023, 411, 4, 12103, 6326, 12872, 128, 11487, 697, 561, 11435, 11384, 239, 11599, 7011, 2877, 525, 11063, 8, 3173, 4238, 3291, 12184, 8520, 2898, 644, 10895, 2131, 359, 7713, 122, 2105, 9174, 4935, 455, 228, 8877, 3417, 3440, 8002, 16, 1639, 12461, 5095, 9636, 13526, 6248, 421, 295, 423, 245, 22, 5545, 10766, 1889, 8776, 7541, 10198, 3756, 4383, 9265, 5301, 143, 638, 10685, 113, 10232, 9821, 1994, 300, 7260, 92, 12515, 9451, 4409, 2738
 5403, 6961, 1360, 188, 12413, 10386, 3537, 6589, 8496, 13100, 202, 4159, 471, 2680, 6750, 427, 3582, 9622, 13277, 9816, 3951, 4491, 8609, 10044, 412, 25, 12127, 6327, 12873, 129, 11488, 698, 562, 11436, 11884, 262, 11600, 7012, 2901, 526, 11087, 9, 3174, 4839, 3292, 12209, 8521, 2899, 666, 10896, 2132, 932, 7714, 123, 2126, 9175, 4936, 456, 229, 8901, 3418, 3464, 8003, 17, 2237, 12485, 5096, 9659, 13527, 6249, 422, 296, 424, 250, 23, 5546, 10789, 1913, 8777, 7542, 10221, 3757, 4384, 9266, 5302, 166, 1184, 10686, 130, 10233, 9822, 1995, 323, 7261, 93, 12538, 10024, 4433, 2759
 5404, 6962, 1935, 189, 12436, 10387, 3538, 6590, 9019, 13649, 226, 4160, 492, 2681, 6774, 428, 3583, 9623, 13278, 9817, 3952, 4514, 8610, 10045, 413, 26, 12128, 6328, 12874, 151, 11512, 699, 563, 11437, 11885, 263, 11624, 7035, 2902, 550, 11088, 10, 3175, 4860, 3315, 12210, 8544, 2900, 667, 11469, 2133, 933, 7738, 124, 2127, 9199, 5535, 477, 230, 8902, 3419, 4014, 8027, 18, 2238, 12486, 5694, 9660, 13528, 6250, 446, 316, 425, 271, 24, 5547, 10790, 1914, 9352, 8138, 10222, 3780, 4385, 9291, 5303, 167, 1185, 10687, 131, 10234, 9823, 1996, 324, 7262, 114, 12539, 10025, 4434, 2760
 5405, 6963, 1936, 190, 12437, 10388, 3561, 6613, 9020, 13650, 227, 4184, 493, 3206, 6775, 451, 3633, 9624, 13301, 9818, 3953, 4515, 8635, 10046, 414, 27, 12152, 6329, 12896, 152, 11513, 721, 586, 11460, 11909, 264, 12198, 7036, 3476, 551, 11658, 11, 3198, 4861, 3316, 12234, 8545, 2923, 668, 11470, 2134, 934, 7739, 125, 2128, 9200, 5536, 478, 231, 9452, 3420, 4015, 8028, 39, 2239, 13059, 5695, 9661, 13551, 6273, 447, 317, 448, 12647, 44, 5568, 10791, 1938, 9353, 8139, 10246, 3781, 4410, 9840, 5304, 168, 1209, 10710, 132, 10257, 9845, 1997, 325, 7284, 115, 12540, 10049, 5008, 2761
 5406, 6987, 1937, 739, 13009, 10412, 3562, 6614, 9021, 13651, 251, 4185, 494, 3207, 6799, 452, 4157, 9625, 13302, 10292, 3954, 5092, 8636, 10047, 434, 28, 12701, 6330, 12897, 153, 11514, 722, 587, 11461, 11910, 287, 12199, 7037, 3477, 552, 11659, 12, 3199, 4862, 3317, 12235, 8546, 2924, 669, 11471, 2157, 935, 8263, 144, 2129, 9751, 5537, 479, 232, 9476, 3421, 4039, 8551, 40, 2262, 13060, 5696, 9685, 13552, 6274, 472, 318, 449, 12648, 45, 5569, 10814, 1939, 9376, 8140, 10796, 3782, 4435, 9841, 5305, 191, 1210, 10711, 133, 10258, 9846, 1998, 347, 7285, 116, 12564, 10050, 5032, 2762
 5428, 6988, 1959, 764, 13010, 10413, 3563, 6615, 9043, 13652, 252, 4209, 495, 3208, 6800, 476, 4158, 9647, 13303, 10317, 3976, 5113, 8637, 10048, 435, 29, 12702, 6331, 12898, 726, 11537, 723, 588, 12034, 11934, 288, 12200, 7061, 3501, 575, 11660, 30, 3751, 4863, 3318, 12236, 8569, 3474, 691, 11472, 2158, 936, 8264, 145, 2130, 9752, 5538, 480, 253, 9477, 3442, 4040, 8574, 41, 2263, 13084, 5719, 10235, 13553, 6275, 14120, 319, 450, 12669, 46, 5570, 10815, 2438, 9377, 8141, 10797, 3783, 4909, 9842, 5326, 192, 1211, 10712, 134, 10832, 9847, 1999, 348, 7286, 117, 12565, 10051, 5033, 2763
 5429, 7538, 1960, 765, 13011, 10985, 3587, 6638, 9044, 13673, 802, 4210, 496, 3231, 7325, 1002, 4180, 9648, 13901, 10340, 3977, 5114, 9159, 10069, 436, 50, 12703, 6332, 12899, 727, 11538, 724, 611, 12035, 11935, 838, 12222, 7062, 3502, 576, 11661, 31, 3772, 4864, 3341, 12259, 8570, 3475, 692, 11494, 2159, 957, 8288, 146, 2151, 9773, 5560, 481, 254, 9478, 3443, 4064, 8575, 42, 2264, 13085, 5720, 10259, 13576, 6801, 14121, 320, 473, 12670, 47, 5571, 11364, 2439, 9378, 8142, 10798, 3806, 4932, 9864, 5329, 193, 1235, 10713, 135, 10833, 9848, 2018, 349, 7287, 118, 12566, 10052, 5034, 2785
