1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
7868,142,28,6526,3175,8139,2407,2989,319,3510,9145,5813,9664,2034,10302,8608,1957,10076,9466,5373,8779,326,8599,13883,10769,744,155,12842,1520,13837,662,3016,34,6689,12704,6032,2764,5638,6804,8293,134,4589,10907,474,3243,11344,5587,9944,7137,4533,2625,202,7493,14200,1448,1329,11283,3782,69,413,379,2179,2108,5809,5872,263,482,7002,8036,8753,8481,387,3619,5072,2245,579,3899,3859,6360,898,187,4583,468,9622,5194,9726,1223,4153,1292,489,10010,5002,5035,4105,2233,10553,3508,8457,8311
7869,143,29,6527,3198,8140,2408,2990,320,3536,9169,5838,9686,2057,10303,8609,1976,10077,9467,5374,8780,327,8600,13884,10770,745,156,12843,1542,13838,663,3017,35,6690,12726,6033,2765,5661,6805,8314,157,4613,10908,475,3267,11345,5588,10443,7138,4556,2626,223,8017,14223,1470,1330,11284,4277,70,414,380,2201,2130,5832,5873,283,502,7003,8037,8754,8482,407,3620,5073,2246,580,3922,3860,6361,921,188,4584,469,9623,5195,9751,1224,4154,1316,490,10033,5003,5058,4130,2708,10577,3509,8458,8312
7892,144,30,6528,3199,8164,2409,3014,321,3537,9645,6364,9687,2583,10326,8628,1977,10078,9468,5375,8781,349,8620,13907,10793,746,177,12844,1543,13839,664,3040,36,7261,12727,6034,2766,5662,6829,8315,158,4614,10909,476,3268,11346,5589,10467,7161,4557,2649,224,8018,14224,1471,1331,11285,4278,71,415,381,2202,2131,5833,6395,284,503,7004,8038,8755,8483,408,3621,5074,2267,581,3923,3884,6362,922,209,4607,470,9624,5215,9752,1225,4701,1317,508,10034,5025,5059,4676,2709,10578,3511,8459,8313
7893,145,31,7054,3200,8165,2432,3538,341,4110,9668,6388,9688,2607,10327,8629,1978,10079,9492,5397,8782,350,8621,13908,10794,747,178,12867,1544,13860,683,3041,37,7262,12728,6054,2789,5663,6830,8316,707,4615,11432,499,3269,11347,5610,10468,7162,4558,2650,225,8019,14225,1472,1351,11286,4279,72,416,402,2203,2132,5834,6396,285,504,7026,8039,9303,8484,409,3643,5096,2268,582,3924,3885,6363,923,210,4608,471,9625,5216,9753,1248,4726,1318,509,10035,5026,5060,4677,2710,11126,3512,8460,8336
7894,146,32,7076,3224,8665,2433,3539,342,4135,9669,6389,9711,2608,10328,8630,1980,10080,9493,5398,8804,351,8622,13909,10795,748,179,12868,1545,13861,684,3042,38,7263,12729,6055,2790,5686,6855,8317,708,4638,11456,500,3292,11370,5611,10469,7163,5108,2651,226,8041,14249,1473,1352,11306,4301,643,439,403,2204,2706,6357,6397,286,505,7027,8040,9304,8485,410,3644,5098,2269,605,3925,3886,6385,924,211,4609,472,9646,5217,9754,1249,4727,1341,510,10058,5027,5083,4678,2711,11127,3534,8461,8337
7895,147,48,7077,3774,8684,2434,3562,343,4136,9670,6390,9712,2609,10876,8631,1981,10101,9494,5399,8805,375,8623,13932,11341,770,180,12869,1568,13862,685,3065,39,7264,12752,6056,2791,5687,6856,8339,731,4639,11457,501,3293,11371,5612,10491,7164,5132,2674,227,8042,14772,1497,1353,11307,4302,644,440,404,2226,2707,6358,6398,287,506,7028,8060,9328,8486,411,3645,5644,2270,606,3948,3909,6386,946,212,5207,473,9647,5218,9776,1250,4750,1342,511,10582,5028,5084,4679,2733,11128,3535,9009,8338
7918,164,49,7078,3775,8685,2458,3563,344,4137,9671,6413,10260,2632,10877,8632,2001,10102,9517,5400,8806,901,8624,13933,11342,771,181,12892,1569,13863,686,3066,40,7265,12753,6057,2814,5688,7404,8340,732,4640,11458,998,3294,11372,5613,10492,7186,5133,2675,248,8043,14773,1498,1354,11308,4303,645,441,405,2227,2730,6381,6399,288,507,7029,8061,9329,8506,412,3646,5645,2292,607,3949,3910,6387,947,213,5208,491,9648,5219,9777,1823,4751,1343,512,10583,5502,5085,4680,2734,11151,4111,9033,8360
7919,165,50,7079,3799,8689,2459,3564,345,4161,9692,6414,10261,2633,10878,8633,2002,10103,9518,5422,8807,902,8625,13934,11343,772,182,12893,1570,13864,687,3067,41,7266,12754,6078,2815,6262,7429,8341,733,4664,11459,999,3295,11395,6162,10493,7187,5157,2676,249,8044,14774,1499,1926,11309,4304,646,963,406,2228,2731,6382,6420,289,531,7051,8062,9330,8507,432,3647,5646,2293,627,3950,3911,6411,948,760,5209,492,9649,5220,9778,1824,4752,1365,513,10607,5526,5632,4702,2735,11152,4112,9034,8361
7920,166,51,7080,3800,8690,2483,3565,346,4761,9693,6415,10262,2634,10901,8634,2003,10104,9519,5423,8830,903,8647,14533,11367,773,203,12894,1595,13865,688,3090,42,7285,12778,6079,3365,6263,7430,8840,734,5213,11481,1000,3318,11396,6186,10494,7188,5158,2700,250,8066,14775,2047,1927,11331,4305,647,964,427,2229,2732,6383,6421,307,532,7052,8063,9331,8508,433,3668,5647,2294,628,3951,3912,6412,972,761,5232,493,9650,5240,9779,1825,4753,1366,514,10608,5527,5633,4703,2736,11153,4134,9035,8362
7944,167,52,7101,3824,8709,2907,3587,347,4762,9694,6438,10263,2635,10902,8653,2004,10126,9520,5424,8831,925,8648,14534,11368,1320,204,12917,2069,13885,689,3091,59,7286,12779,6080,3366,6287,7455,8841,735,5214,11482,1001,3319,11894,6187,10516,7189,5181,3151,251,8067,14797,2048,1928,11332,4326,648,965,428,2230,2755,6384,6422,308,1053,7053,8086,9332,8509,434,3669,5648,2295,629,3974,3934,6913,973,762,5233,494,9672,5241,9801,1848,4754,1367,515,10609,5551,5634,4704,2757,11154,4160,9057,8363
