1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
 5285, 13689, 58, 208, 10630, 7296, 10235, 11607, 484, 8784, 330, 12591, 11184, 1125, 393, 11944, 4858, 2841, 138, 9064, 5363, 2790, 5062, 11761, 14072, 7605, 2379, 68, 14944, 9166, 2034, 538, 5487, 8673, 8027, 6012, 5065, 955, 3144, 8522, 872, 4066, 8949, 3747, 596, 14298, 14058, 1895, 12844, 8066, 9491, 14744, 6378, 12681, 6089, 12737, 6240, 10729, 3889, 12608, 42, 2474, 7176, 308, 14480, 13019, 842, 1924, 12085, 12100, 5660, 6019, 241, 260, 8376, 3349, 10215, 13535, 4243, 4175, 7544, 3370, 249, 350, 2002, 7552, 9074, 447, 28, 5759, 13458, 10482, 10149, 12375, 2633, 153
 5306, 13690, 59, 209, 10631, 7870, 10236, 11629, 485, 8785, 352, 12592, 11207, 1126, 394, 12493, 4859, 2842, 139, 9065, 5364, 2791, 5063, 11762, 14095, 7606, 2380, 69, 14945, 9167, 2035, 539, 5510, 8674, 8028, 6013, 5066, 956, 3145, 8523, 873, 4067, 8970, 4273, 619, 14321, 14630, 1896, 12845, 8067, 9492, 14766, 6379, 12682, 6090, 12738, 6241, 10730, 3890, 12609, 63, 2475, 7177, 309, 14481, 13020, 843, 1925, 12086, 12101, 5683, 6592, 242, 261, 8377, 3350, 10216, 13536, 4244, 4176, 7545, 3371, 250, 351, 2003, 7553, 9075, 448, 29, 5780, 13478, 10505, 10150, 12398, 2634, 154
 5307, 13691, 60, 232, 10632, 7871, 10256, 11630, 486, 8786, 353, 12593, 11208, 1148, 395, 12494, 4860, 2864, 140, 9066, 5912, 3313, 5064, 11784, 14096, 7607, 2402, 70, 14968, 9168, 2036, 540, 5511, 8697, 8029, 6014, 5067, 957, 3146, 8545, 895, 4088, 8971, 4274, 620, 14322, 14631, 1897, 12867, 8068, 9516, 14767, 6399, 12683, 6091, 12760, 6242, 11303, 3891, 12632, 64, 2497, 7178, 310, 14504, 13021, 868, 1926, 12109, 12123, 5684, 6593, 243, 262, 8378, 3373, 10237, 13537, 4266, 4177, 8115, 3372, 251, 372, 2025, 7554, 9076, 449, 30, 5781, 13479, 10506, 10151, 12922, 2656, 155
 5308, 13692, 61, 233, 10633, 7895, 10257, 11631, 505, 8787, 354, 12594, 11209, 1149, 396, 12495, 4861, 2865, 161, 9067, 5913, 3314, 5636, 11785, 14097, 7629, 2403, 71, 14969, 9189, 2037, 541, 5512, 8698, 8051, 6015, 5090, 958, 3168, 8546, 896, 4089, 8972, 4297, 621, 14323, 14632, 1918, 12868, 8069, 9517, 14768, 6400, 12704, 6114, 12761, 6265, 11304, 3912, 12633, 65, 2498, 7751, 311, 14505, 13022, 1390, 1927, 12110, 12124, 5685, 6617, 244, 263, 8951, 3374, 10238, 13559, 4267, 4200, 8116, 3394, 252, 373, 2026, 7555, 9077, 450, 49, 5782, 13480, 10531, 10174, 12923, 2657, 156
 5309, 13693, 62, 234, 10655, 7896, 10258, 12179, 506, 8788, 355, 12616, 11231, 1150, 416, 12496, 4883, 2866, 162, 9088, 5914, 3338, 5637, 11786, 14098, 7630, 2404, 72, 14970, 9190, 2038, 542, 5513, 8699, 8052, 6037, 5091, 980, 3169, 8547, 897, 4090, 8973, 4298, 1145, 14347, 14633, 1919, 12869, 8070, 10039, 14769, 6401, 12705, 6115, 12762, 6266, 11305, 3913, 12657, 66, 2499, 7752, 312, 14506, 13044, 1391, 1928, 12111, 12125, 5686, 6618, 245, 264, 8952, 3375, 10239, 13560, 4268, 4225, 8117, 3395, 253, 374, 2027, 7574, 9097, 451, 50, 5783, 13481, 11028, 10175, 12924, 2658, 157
 5310, 13715, 82, 257, 10656, 7920, 10259, 12180, 507, 8808, 377, 12617, 11232, 1173, 417, 12517, 4884, 2867, 163, 9089, 5937, 3339, 5638, 12284, 14121, 7631, 2405, 73, 14993, 9191, 2059, 562, 5535, 8721, 8053, 6038, 5092, 981, 3170, 8548, 898, 4091, 8974, 4299, 1169, 14897, 14654, 1920, 12870, 8071, 10040, 14791, 6402, 12706, 6116, 13311, 6267, 11328, 3914, 12658, 67, 2500, 7753, 313, 14530, 13045, 1392, 1929, 12134, 12126, 5708, 6619, 265, 835, 8953, 3399, 10240, 13561, 4269, 4677, 8118, 3396, 254, 375, 2028, 7575, 9098, 452, 51, 5784, 13482, 11029, 10199, 12925, 2659, 177
 5311, 13716, 83, 258, 10657, 7921, 10260, 12181, 508, 8809, 378, 12618, 11233, 1174, 418, 12518, 4885, 2890, 164, 9090, 5938, 3340, 5639, 12285, 14122, 7654, 2428, 74, 14994, 9192, 2060, 563, 5536, 8722, 8077, 6039, 5116, 982, 3171, 8570, 920, 4092, 9473, 4321, 1170, 14898, 14655, 1921, 13442, 8090, 10041, 14792, 6403, 12707, 6139, 13312, 6840, 11329, 3915, 13183, 89, 3073, 7776, 314, 14531, 13046, 1414, 1950, 12135, 12127, 5709, 6641, 266, 836, 8975, 3974, 10241, 13562, 4270, 4678, 8119, 3397, 274, 376, 2050, 7576, 9099, 453, 52, 5804, 13483, 11030, 10200, 12947, 2681, 178
 5332, 13717, 84, 259, 10681, 7922, 10261, 12182, 509, 8810, 379, 12619, 11234, 1175, 419, 12519, 5433, 2891, 165, 9091, 5939, 3362, 5661, 12309, 14123, 7655, 2429, 92, 14995, 9193, 2061, 564, 5537, 8723, 8576, 6040, 5117, 1005, 3172, 8571, 921, 4117, 9495, 4322, 1171, 14921, 14656, 1922, 13443, 8091, 10063, 14793, 6404, 12708, 6140, 13313, 6841, 11330, 3916, 13184, 90, 3074, 7777, 315, 15079, 13569, 1415, 2501, 12709, 12148, 5710, 6642, 267, 837, 8976, 3975, 10242, 13584, 4292, 4679, 8120, 3398, 275, 397, 2075, 7577, 9100, 472, 53, 5805, 13503, 11052, 10698, 12948, 2682, 179
 5333, 13718, 85, 783, 10682, 7946, 10282, 12203, 510, 8811, 403, 12641, 11807, 1198, 420, 12520, 5458, 2892, 187, 9113, 5940, 3363, 5662, 12310, 14145, 7678, 2430, 93, 14996, 9214, 2062, 565, 5538, 8724, 8577, 6062, 5118, 1006, 3192, 8572, 922, 4666, 9496, 4323, 1172, 14922, 14657, 1943, 13444, 8092, 10064, 14794, 6426, 12729, 6141, 13334, 6842, 11353, 3937, 13207, 91, 3075, 7778, 331, 15080, 13570, 1416, 2502, 12734, 12149, 5711, 6643, 268, 838, 8977, 3999, 10262, 13585, 4293, 4701, 8139, 3400, 276, 398, 2576, 7578, 9101, 473, 54, 5806, 13504, 11053, 10699, 12949, 2683, 180
 5334, 13740, 86, 784, 10683, 7947, 10283, 12204, 511, 8812, 404, 12642, 11808, 1748, 421, 12521, 5459, 2915, 188, 9114, 5941, 3364, 5663, 12311, 14146, 7679, 2454, 94, 15569, 9215, 2063, 566, 5560, 8746, 8578, 6063, 5142, 1506, 3193, 8573, 1496, 4689, 9497, 4324, 1194, 14923, 14679, 1944, 13467, 8093, 10065, 15341, 6427, 12730, 6714, 13335, 6865, 11354, 3941, 13208, 115, 3097, 7801, 332, 15104, 13571, 1417, 2503, 12735, 12150, 5732, 6644, 269, 839, 8978, 4000, 10263, 13586, 4294, 4702, 8140, 3418, 277, 399, 2577, 7579, 9123, 474, 55, 5807, 13505, 11054, 10723, 12950, 2684, 181
