Element,FIP
350,2.56E-05
351,3.23E-05
352,3.39E-05
353,5.96E-05
354,5.60E-05
355,4.01E-05
356,3.40E-05
357,2.91E-05
358,5.05E-05
359,3.47E-05
360,2.83E-05
361,2.63E-05
362,2.76E-05
363,1.97E-05
364,2.86E-05
365,3.72E-05
366,5.37E-05
367,5.78E-05
368,4.83E-05
369,3.14E-05
370,3.59E-06
371,3.12E-05
372,-2.59E-05
373,-5.22E-05
374,-5.88E-05
375,-5.43E-05
376,-4.66E-05
377,4.79E-05
378,6.06E-05
379,5.31E-05
380,5.89E-05
381,2.97E-05
382,9.28E-06
383,5.35E-05
384,5.03E-05
385,3.85E-05
386,3.78E-05
387,2.59E-05
388,3.22E-05
389,3.86E-05
390,2.80E-05
391,2.11E-05
392,2.95E-05
393,3.47E-05
394,3.41E-05
395,3.03E-05
396,5.94E-05
397,7.12E-05
398,6.55E-05
399,5.72E-06
400,1.89E-05
401,2.52E-05
402,2.14E-05
403,-3.42E-05
404,-4.72E-05
405,-5.97E-05
406,5.47E-05
407,4.33E-05
408,7.05E-05
409,5.71E-05
410,6.06E-05
411,-3.33E-05
412,-2.61E-05
413,-4.40E-05
414,-3.37E-05
415,4.72E-05
416,4.81E-05
417,4.67E-05
418,2.91E-05
419,4.81E-05
420,3.61E-05
421,2.50E-05
422,2.76E-05
423,3.44E-05
424,3.17E-05
425,3.55E-05
426,5.73E-05
427,-8.87E-05
428,6.02E-05
429,2.33E-05
430,1.37E-05
431,1.06E-05
432,2.36E-05
433,3.11E-05
434,3.52E-05
435,5.17E-05
436,5.88E-05
437,5.05E-05
438,6.41E-05
439,5.85E-05
440,6.13E-05
441,-3.10E-05
442,-3.96E-05
443,-3.88E-05
444,-2.91E-05
445,5.39E-05
446,4.85E-05
447,3.86E-05
448,3.61E-05
449,5.00E-05
450,4.24E-05
451,1.71E-05
452,2.52E-05
453,3.06E-05
454,3.57E-05
455,4.20E-05
456,4.84E-05
457,6.95E-05
458,6.20E-05
459,5.00E-05
460,2.32E-05
461,8.00E-06
462,3.45E-05
463,3.63E-05
464,2.86E-05
