1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
12735,8767,7960,665,10020,4228,1876,3638,10161,10815,872,2968,10526,6196,10188,4643,447,7983,194,8661,11480,8935,4576,12068,2980,101,4718,6812,725,20,8925,14002,179,5976,4706,2743,7222,3971,3232,9019,4088,5690,12058,7180,3270,1882,4590,10635,8357,282,10239,12614,355,225,6415,7764,8834,426,1697,41,4394,2652,192,8126,7,7171,11349,4174,2714,1311,19,6588,11926,7511,8851,1,11551,4128,1670,2265,9149,376,340,2302,6931,9026,11940,7442,99,321,9051,9490,6176,7651,84,111
 12736, 8768, 8560, 666, 10046, 4252, 1877, 4186, 10162, 10841, 896, 2969, 10527, 6221, 10189, 4644, 448, 7984, 195, 8686, 11505, 8936, 4600, 12069, 2981, 102, 5318, 6837, 750, 21, 8950, 14003, 180, 6001, 4707, 2767, 7846, 3972, 3233, 9020, 4089, 6264, 12082, 7181, 3821, 1883, 4591, 10660, 8358, 283, 10262, 12615, 356, 226, 6416, 7789, 8835, 450, 1698, 42, 4395, 2653, 193, 8127, 8, 7172, 11350, 4175, 2715, 1336, 44, 6589, 11951, 7512, 8900, 2, 11552, 4153, 1671, 2266, 9172, 377, 341, 2901, 6932, 9651, 12542, 7466, 100, 322, 9052, 9491, 6177, 7652, 85, 112
 13310, 8792, 8561, 667, 10047, 4253, 1879, 4187, 10163, 11415, 897, 2970, 10551, 6245, 10212, 4668, 449, 8007, 220, 8687, 11530, 9534, 4601, 12093, 3005, 126, 5341, 6838, 825, 22, 8975, 14004, 202, 6026, 4708, 2768, 7847, 3997, 3234, 9021, 4090, 6265, 12083, 7182, 3845, 1884, 4616, 10685, 8932, 307, 10263, 12616, 357, 247, 6965, 8388, 8859, 451, 1699, 43, 5019, 2654, 217, 8151, 9, 7173, 11380, 4770, 2716, 1910, 568, 6612, 12526, 7513, 9475, 3, 11553, 4178, 1694, 2289, 9173, 378, 345, 2902, 7507, 9652, 12565, 7467, 120, 346, 9076, 9516, 6178, 7653, 109, 133
 13311, 8793, 8584, 668, 10048, 4278, 1881, 4211, 10187, 11416, 921, 2993, 10552, 6246, 10213, 4669, 471, 8008, 820, 8688, 11531, 9535, 4602, 12094, 3006, 127, 5342, 7436, 1348, 23, 9000, 14027, 203, 6051, 4709, 2791, 7848, 4572, 3235, 9044, 4091, 6266, 12084, 7183, 3846, 1909, 4641, 11258, 8956, 308, 10264, 12640, 379, 248, 6990, 8389, 8860, 452, 1719, 65, 5020, 2655, 218, 8152, 10, 7197, 11381, 4771, 2739, 1911, 569, 6613, 12551, 7535, 9476, 4, 11576, 4179, 1695, 2290, 9174, 401, 365, 2926, 7531, 9653, 12566, 7491, 121, 347, 9077, 9517, 6179, 7675, 110, 134
 13312, 8794, 8585, 689, 10073, 4279, 2501, 4212, 10760, 11440, 922, 2994, 10576, 6273, 10214, 4693, 472, 8581, 13920, 8710, 11555, 9536, 4625, 12667, 3580, 128, 5343, 7437, 1349, 24, 9025, 14028, 204, 6076, 4710, 2792, 7849, 4573, 3257, 9045, 4092, 6267, 12106, 7205, 3847, 2460, 4665, 11259, 8957, 309, 10265, 12641, 380, 249, 6991, 8390, 9435, 475, 1720, 66, 5021, 2656, 219, 8153, 11, 7772, 11382, 4772, 2740, 1912, 593, 6614, 12552, 7536, 9477, 5, 11577, 4203, 1696, 2291, 9748, 402, 366, 2927, 7532, 10251, 12567, 7492, 122, 371, 9100, 9518, 6180, 7676, 135, 136
 13313, 8817, 8586, 693, 10643, 4851, 2502, 4213, 10761, 11441, 1445, 3544, 10577, 6274, 10215, 4694, 473, 8582, 13945, 8711, 11556, 9537, 4626, 12668, 3581, 151, 5344, 7438, 1350, 25, 9526, 14029, 205, 6577, 4731, 2793, 7871, 4574, 3258, 9070, 4113, 6288, 12107, 7206, 3870, 2482, 4666, 11260, 8958, 310, 10266, 12642, 381, 250, 7015, 8413, 9459, 476, 1721, 67, 5643, 3251, 241, 8154, 12, 7773, 11405, 4773, 2741, 1935, 594, 6615, 12553, 7537, 9478, 6, 11578, 4204, 2293, 2292, 9749, 403, 367, 2928, 7533, 10252, 12589, 8040, 123, 372, 9101, 9519, 6201, 7677, 709, 137
 13335, 8818, 8610, 694, 10644, 4852, 2503, 4237, 10762, 11442, 1470, 3545, 11151, 6275, 10237, 5268, 474, 8583, 13946, 8712, 11580, 9559, 4627, 12669, 3603, 152, 5367, 7461, 1371, 45, 9527, 14052, 227, 6600, 4732, 2794, 7872, 4596, 3259, 9619, 4114, 6289, 12108, 7207, 3871, 2483, 4667, 11261, 8959, 311, 10267, 13239, 382, 251, 7016, 8414, 9460, 477, 1722, 68, 5644, 3252, 242, 8176, 13, 7774, 11406, 4774, 2765, 1936, 618, 6616, 12575, 7560, 9479, 26, 12126, 4726, 2294, 2315, 9772, 404, 368, 2951, 7534, 10253, 12590, 8041, 124, 373, 9102, 9543, 6202, 7678, 710, 138
 13336, 8819, 8611, 713, 10645, 4853, 2504, 4238, 10763, 11466, 1471, 3546, 11152, 6771, 10238, 5269, 495, 8606, 13970, 8713, 11581, 9560, 4651, 12670, 3604, 153, 5368, 7462, 1372, 46, 9528, 14053, 228, 6601, 4733, 2817, 7873, 4597, 3260, 9620, 4115, 6290, 12109, 7208, 3872, 2484, 4689, 11262, 8981, 312, 10287, 13240, 383, 272, 7017, 8415, 9461, 478, 1723, 89, 5645, 3253, 243, 8177, 14, 7795, 11407, 4775, 2766, 1937, 619, 6637, 12576, 7561, 9500, 27, 12128, 4727, 2295, 2316, 9773, 427, 369, 2952, 7555, 10254, 12591, 8042, 125, 397, 9125, 9544, 6203, 7700, 711, 157
 13337, 8842, 8636, 714, 10646, 4854, 2505, 4239, 10764, 11467, 1472, 3569, 11176, 6772, 10240, 5270, 496, 8607, 13971, 9285, 11582, 9561, 4652, 12692, 3605, 176, 5369, 7463, 1373, 47, 9529, 14602, 229, 6602, 4734, 2818, 8470, 4598, 3282, 9621, 4116, 6291, 12683, 7209, 3894, 2485, 4690, 11283, 8982, 332, 10288, 13264, 405, 273, 7040, 8988, 9484, 479, 1724, 90, 5646, 3254, 244, 8178, 15, 7796, 11429, 4796, 2790, 1959, 1193, 6638, 12577, 7562, 9501, 28, 12151, 4728, 2296, 2317, 9774, 428, 370, 3501, 7556, 10276, 12592, 8043, 144, 398, 9675, 9569, 6204, 7701, 734, 158
 13338, 8843, 9161, 718, 10647, 4855, 2506, 4262, 10784, 12015, 1473, 3570, 11177, 6773, 10241, 5293, 497, 8608, 13995, 9286, 11605, 9562, 5201, 12693, 3606, 177, 5394, 7464, 1374, 48, 9549, 14627, 230, 6625, 4735, 2843, 8471, 4621, 3283, 9622, 4117, 6314, 12684, 7210, 3895, 2507, 4691, 11284, 8983, 333, 10289, 13265, 406, 274, 7041, 8989, 9485, 500, 1743, 91, 5647, 3255, 245, 8179, 16, 7797, 11430, 4797, 3338, 1960, 1194, 6639, 12578, 7587, 9502, 29, 12152, 4751, 2318, 2339, 9797, 429, 390, 3502, 7557, 10277, 12617, 8064, 145, 422, 9676, 10066, 6205, 7702, 735, 159
