93
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,SurfaceFeatures_2,Volumes,Volumes2,Volumes_2
1,0.78685492,0.54259306,-0.46777534,0.14025615,-0.42878801,0.76003635,3.851975,1.5260042,4.1745372,19.261894,15.156318,10.45137,78.176468,46.411766,25.470589,27.240627,5.6599197,2.3418281,5.5495858,49,10,0.47571486,1,0,0,11016,10584,11016
2,0.91633028,0.72128493,0.75052416,-0.12520985,0.64338148,0.084239431,0.12103533,0.40972614,4.6575694,22.009304,20.167793,15.87498,58.799999,80.300003,133.75,36.717983,1.5356807,1.7293884,1.8662956,120,9,0.5222066,1,1,1,25920,25920,25920
3,0.58206898,0.5598368,-0.48543072,0.58908623,0.31783921,0.56241679,3.6337848,1.6063029,6.121335,21.96958,12.787811,12.299378,39.63158,70.789474,21.736841,26.864845,3.9030857,2.1640112,0.79584575,47,11,0.44534245,1,0,0,12312,10152,12312
4,0.84366751,0.52574086,-0.39354542,0.42951027,-0.095206894,0.80720419,1.1274747,1.9527205,4.6158032,16.486504,13.909128,8.6676292,142.5,71.25,135.9375,23.633883,5.5715222,1.2437092,0.94647104,32,6,0.39439493,1,1,1,6912,6912,6912
5,0.83842689,0.51044387,-0.46777534,0.14025615,-0.42878801,0.76003635,1.4205098,1.972729,5.6853189,14.852892,12.453064,7.5815678,54,94.63636,21.272728,20.538002,3.6511533,1.5931438,3.1496599,21,7,0.34650347,1,0,0,4752,4536,4752
6,0.25269568,0.24687038,0.0876242,0.64081484,0.53996682,0.53862244,1.6201624,1.3489362,0.065076627,94.860291,23.970785,23.418196,34.125,97.742645,30.827206,59.202641,3.7898483,1.4067043,0.92004752,503,22,0.040571358,1,1,1,117504,108648,117504
7,0.74245709,0.57391119,-0.46777534,0.14025615,-0.42878801,0.76003635,1.1241163,1.7215364,5.7160692,24.590298,18.25724,14.112646,57.432434,96.081078,49.864864,35.341068,2.1364713,2.1100166,5.6717758,107,11,0.60173267,1,0,0,23976,23112,23976
8,0.77220231,0.57134211,0.16743845,-0.64855534,-0.59549338,0.4435403,3.2860837,1.3971823,3.7969573,27.888903,21.535875,15.934105,119.77778,81,95.222221,40.073746,2.5363286,1.1331546,1.6237762,156,14,0.50674832,1,0,0,34992,33696,34992
9,0.75851339,0.63457233,0.93294734,0.26876101,-0.19764295,0.13532951,2.5049646,2.5011415,4.591516,26.366493,19.999338,16.731447,54.243244,40.540539,26.594595,39.19849,4.1822119,2.2404189,1.2730979,146,14,0.48431376,1,0,0,31968,31536,31968
10,0.38455406,0.31172606,0.52072185,-0.58618689,-0.23249385,0.57548261,1.4768959,1.6449088,4.735033,45.507183,17.499971,14.185775,19,37.555557,19.611111,35.341068,2.6810691,1.8023939,4.3700123,107,12,0.029113377,1,1,1,23328,23112,23328
11,0.87123054,0.72982746,-0.5417369,0.010418207,-0.075202398,0.83711237,2.8952169,1.6341397,5.4659243,35.609299,31.023909,25.988644,40.114624,61.03162,60.41502,58.48785,0.070366226,1.1452427,0.10882372,485,21,0.61995512,1,1,1,109296,104760,109296
12,0.83971226,0.61016256,0.75851643,0.50245017,0.39554563,0.12546004,4.08781,1.1195717,4.5933056,15.289743,12.838985,9.3292294,9,116.57143,118.71429,22.332619,2.4629922,2.2857823,1.29289,27,5,0.3046017,1,1,1,6048,5832,6048
13,0.87114,0.62569833,-0.23643515,0.25194609,-0.20774391,0.91513062,0.37574965,0.9026224,5.6409483,21.374844,18.620481,13.374204,74.528091,52.348316,64.415733,31.941902,2.085588,2.5832129,2.4498818,79,11,0.47639453,1,0,0,19224,17064,19224
14,0.11576467,0.11171338,-0.50870985,0.48375583,-0.41924113,0.57570094,0.83925253,1.5394921,4.7688556,90.90564,10.523662,10.155376,35.086956,106.82609,88.130432,29.931112,6.1523457,1.5564065,1.3896805,65,15,0.0065887407,1,1,1,14904,14040,14904
15,0.7662102,0.61478221,0.37391016,0.13008468,-0.39419201,0.82938641,1.0061685,1.5058228,5.8150139,19.130516,14.657997,11.761101,45.327274,96.599998,91.581818,28.137337,4.2127366,1.2751588,2.8236763,54,7,0.470319,1,0,0,11880,11664,11880
16,0.90787446,0.53818184,0.54264069,0.44349751,0.58872235,0.40281141,1.2795242,1.8539912,6.2202892,20.302227,18.431873,10.92629,10.588235,130.05882,131.82353,30.384684,2.8560462,1.5530933,1.4856501,68,8,0.46391755,1,1,1,14688,14688,14688
17,0.54389119,0.34287468,-0.36713463,-0.8483513,0.12580787,0.36011755,3.1655078,1.8412126,6.2318273,31.239325,16.990793,10.711174,135.83076,115.06154,84.415382,29.620924,0.82627153,2.3588407,4.7847185,63,9,0.071224689,1,1,1,14040,13608,14040
18,0.2623176,0.18643801,-0.57611114,0.10586029,0.58692783,0.55893224,1.2127767,1.5689247,4.7550354,96.84391,25.403862,18.055386,92.35714,99,63.714287,55.660084,5.2916374,1.2516258,5.6550827,418,24,0.027553568,1,1,1,90720,90288,90720
19,0.83559567,0.59947854,-0.23643515,0.25194609,-0.20774391,0.91513062,1.2686269,1.7100415,4.3467674,20.016588,16.725775,11.999516,82.661537,80.07692,109.8,29.931112,0.17792378,1.718623,2.4779997,65,11,0.40428898,1,0,0,14040,14040,14040
20,0.21442439,0.12406241,0.2460276,-0.8636139,-0.39294118,0.19808754,1.5811658,1.7309268,0.033179145,66.450874,14.248688,8.2440557,94.935486,122.41936,61.741936,28.815605,2.952188,2.2302904,5.5387216,58,9,0.011526601,1,1,1,13392,12528,13392
21,0.24529482,0.2275172,0.44500309,0.53801781,0.20022874,0.68732643,3.1474106,1.3021249,0.0073128873,97.286102,23.863777,22.134262,56.126656,34.497166,47.120983,59.359158,3.7378609,1.5457754,1.9783838,507,26,0.042153019,1,1,1,114264,109512,114264
22,0.87610531,0.82980376,0.79685009,0.29599395,0.10134691,0.51686198,1.5705979,2.3573701,6.1860523,13.981289,12.249082,11.601726,8.1724138,135.6207,8.1724138,22.332619,3.303627,2.0321548,2.5923088,27,3,0.24151765,1,1,1,6264,5832,6264
23,0.8090964,0.59933335,0.16743845,-0.64855534,-0.59549338,0.4435403,0.98864311,1.3480163,4.1277814,27.708994,22.419247,16.606924,36.613258,107.05525,56.767956,41.953617,6.097156,1.5055003,2.6633081,179,13,0.6061269,1,0,0,39096,38664,39096
24,0.17311192,0.14013825,-0.16720648,-0.54359323,0.81777245,0.088298164,2.3498898,1.5642143,4.7450733,82.02932,14.200253,11.495445,23.660378,52.07547,108.56604,35.230625,6.0923328,1.2099173,3.54756,106,11,0.011334429,1,1,1,22896,22896,22896
25,0.68168938,0.63315058,0.71428061,0.02175153,-0.671969,0.19439076,3.5381131,2.0161684,4.1161013,16.408728,11.185655,10.389194,93.3871,76.741936,134.6129,23.385086,4.4612341,1.5921378,4.4003482,31,9,0.41404071,1,1,1,6696,6696,6696
26,0.72938997,0.56227827,0.36037007,-0.053857181,-0.8118121,0.45628276,1.3062414,1.2082849,6.2510743,22.663567,16.530579,12.743231,140.68831,30.428572,92.14286,31.111864,4.0519862,0.74591738,4.3486896,73,8,0.39792353,1,1,1,16632,15768,16632
27,0.91817963,0.84617519,-0.11335915,-0.76224637,-0.26644173,0.57891196,0.068487622,0.54156327,4.9390302,21.861958,20.073204,18.499046,29.589928,77.287773,131.76259,38.561745,1.8545026,1.7596565,5.2913656,139,13,0.53656727,1,1,1,30024,30024,30024
28,0.77048951,0.53158802,0.16743845,-0.64855534,-0.59549338,0.4435403,6.0723095,0.64309585,6.0366087,19.472178,15.003109,10.351176,100.34694,57.367348,33.612244,26.864845,1.7704735,1.2708708,2.7927396,47,11,0.40726635,1,0,0,10584,10152,10584
29,0.94726861,0.71320766,-0.3353813,0.53990144,-0.71283364,0.29646921,5.8660259,0.10678123,5.488409,15.629857,14.805674,11.147334,98.25,48.900002,141.75,25.458828,0.16171496,1.3775442,2.1915982,40,7,0.32685453,1,1,1,8640,8640,8640
30,0.79470497,0.72131127,0.17262872,-0.21506457,-0.95468587,0.11189976,1.3530785,1.2045538,0.0569105,21.406399,17.01177,15.440677,31.645161,117.51613,117.96774,32.985634,0.99685323,1.1802812,2.0294445,87,12,0.45127681,1,0,0,20088,18792,20088
31,0.72729874,0.50888449,-0.13457543,0.36930841,0.38777074,0.83374727,3.8998485,1.4388219,4.1492982,17.52486,12.74581,8.9181299,94.818184,68.63636,109.54546,23.877548,2.4516923,1.1645969,3.8439584,33,8,0.45490035,1,0,0,7128,7128,7128
32,0.89077401,0.73434657,0.74838787,-0.34619907,-0.54187906,0.16256955,3.6920323,1.3080736,4.3600712,18.997705,16.922661,13.950899,129.41096,130.47945,96.205482,30.532904,3.9876456,1.9389318,4.8541994,69,10,0.41646624,1,1,1,15768,14904,15768
33,0.19104309,0.095996775,-0.6742934,0.17240116,-0.67733228,0.23838471,1.5135947,1.4766476,0.039556436,65.174995,12.451233,6.2565899,118.71429,30.428572,54.214287,22.332619,0.9820742,1.5395787,1.4827029,27,7,0.0018597746,1,1,1,6048,5832,6048
34,0.62272155,0.60631222,-0.43601876,0.44819877,0.74908572,0.2188061,1.8059254,2.3864009,5.8578982,19.716434,12.277848,11.954314,114.54546,132.13637,81.954544,24.580227,4.1974077,1.3510203,5.795752,36,9,0.29628688,1,1,1,9504,7776,9504
35,0.67030406,0.65225822,0.37391016,0.13008468,-0.39419201,0.82938641,4.0739913,0.80633193,0.090679474,32.939732,22.079638,21.48521,57.914497,80.420074,106.09293,47.875385,4.6264982,0.80792272,0.78601766,266,18,0.55122507,1,0,0,58104,57456,58104
36,0.17368448,0.11308495,-0.45968226,-0.46382296,-0.75712299,0.018036183,4.6632199,0.41373098,0.085053414,66.651024,11.576249,7.5372281,54.19149,122.23404,82.276596,26.672947,2.3368607,1.4231395,0.75709707,46,6,0.012571388,1,1,1,10152,9936,10152
37,0.58345336,0.52528661,0.87275314,0.35176352,-0.24407788,0.23450017,4.9399166,0.31232992,5.2583733,22.523455,13.141384,11.831269,57.299999,100,75.199997,29.143082,2.2911417,1.1631963,5.5843635,60,10,0.53832501,1,0,0,12960,12960,12960
