94
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,SurfaceFeatures_2,Volumes,Volumes2,Volumes_2
22,0.84702259,0.71000642,0.62264436,-0.43467894,-0.036818616,0.64962494,3.8939464,0.74910855,0.45575815,20.900824,17.70347,14.83972,71.021736,55.695652,94.304344,33.605808,4.8823428,1.6853641,2.682683,92,12,0.48142338,1,0,0,19872,19872,19872
23,0.74680215,0.647542,-0.010437858,0.87140685,-0.26162425,0.41484216,4.0179887,1.0015354,5.7087121,14.633813,10.928563,9.4760084,39.25,140.5,68.5,21.472807,5.2870255,2.1163805,2.1214776,24,7,0.36320475,1,1,1,5184,5184,5184
24,0.73992908,0.68840623,-0.13775772,-0.61037284,0.76910907,0.13015026,2.7510297,2.0803633,6.2421017,31.725075,23.474304,21.839739,115.06993,70.804199,58.447552,48.526428,6.2288442,1.3521221,3.5312021,277,17,0.61297321,1,1,1,61776,59832,61776
25,0.86832666,0.82141042,0.652412,0.28090355,0.64641583,0.27856475,1.3430685,0.4773331,3.6404903,29.595837,25.698854,24.310329,20.836363,78.872726,130.43637,50.651066,2.3842571,1.579893,1.5711132,315,16,0.66026622,1,1,1,71280,68040,71280
26,0.76346117,0.64781523,-0.28069255,0.4858301,-0.81211531,0.16015461,4.5422072,0.671956,5.8090425,35.886608,27.398029,23.24789,118.8,118.31707,38.751221,54.986164,0.3291966,1.191398,2.4229794,403,19,0.6769684,1,1,1,88560,87048,88560
27,0.67719203,0.40658456,0.44174239,0.52027756,-0.63868243,0.35533044,1.2810237,1.624151,4.1970444,19.963764,13.519301,8.1169577,6.257143,46.542858,101.57143,23.877548,5.0715375,1.5023931,3.337831,33,7,0.37950367,1,1,1,7560,7128,7560
28,0.65644312,0.52823132,0.48104215,-0.44886777,-0.72890955,0.18922728,3.9613862,1.4470038,4.1740022,20.529694,13.476576,10.844427,32.875,82.125,87.5,25.876261,2.1651268,1.1285183,1.5053381,42,9,0.38211012,1,0,0,10368,9072,10368
29,0.66857702,0.56738502,-0.35340345,-0.28790984,-0.24548763,0.85554063,3.4591744,2.049973,5.5752802,16.967138,11.343839,9.6268997,55.200001,79.400002,10.4,22.604996,0.96305817,0.94662154,5.8789897,28,8,0.40565452,1,1,1,6480,6048,6480
30,0.77251053,0.68741041,-0.2687394,0.020389751,0.69157183,0.67014307,3.8770158,1.5965798,5.8917518,36.524155,28.215296,25.107084,43.035164,60.810989,70.912086,56.40464,5.4063253,0.54577208,5.5577788,435,26,0.61316466,1,1,1,98280,93960,98280
31,0.22921658,0.19495851,-0.93361706,-0.35255995,0.0038980832,0.063603893,1.5478861,0.95612824,6.2646856,85.626915,19.627108,16.693697,130.14607,42.280899,114.1236,47.634197,0.29986218,3.0140598,5.8609023,262,11,0.028463358,1,1,1,57672,56592,57672
32,0.62778831,0.53089839,0.34747979,-0.87698466,-0.21235096,0.25507405,1.830456,1.7959123,5.8152881,24.246307,15.221547,12.872325,34.714287,131.33766,37.831169,30.083824,2.6422913,2.4649646,5.0293951,66,11,0.40782332,1,1,1,16632,14256,16632
33,0.53452235,0.49194193,-0.28245521,-0.65864599,-0.24256633,0.65388542,0.48797935,0.76043284,4.0724778,19.092232,10.205224,9.3922682,142,58.799999,11.4,22.87096,1.5209012,1.5979906,5.4727349,29,6,0.43170097,1,1,1,6480,6264,6480
34,0.75146526,0.60899591,0.33428755,0.076401591,-0.36314353,0.8663379,0.26304856,0.77369064,5.8063893,16.587664,12.465054,10.101819,12.705882,69.176468,56.823528,23.877548,3.763207,0.70002007,3.3138244,33,8,0.4167017,1,1,1,7344,7128,7344
35,0.71723801,0.43989953,0.31336462,0.39487788,0.18837754,0.8428452,1.4716437,1.8550202,0.20830871,25.037252,17.95767,11.013876,76.481483,20.185184,128.62962,31.941902,3.8216908,1.0567,2.0217183,79,8,0.42693967,1,1,1,17496,17064,17496
36,0.19688518,0.12425855,-0.23117188,0.27511826,-0.86346334,0.35397807,3.8904464,1.5962708,4.8074284,82.133209,16.170813,10.205754,40.472729,51.927273,39.709091,33.483604,0.30975866,0.73513681,2.0537226,91,13,0.012832467,1,1,1,23760,19656,23760
37,0.69649643,0.49953115,0.5059523,0.17324151,0.81561333,0.22084957,1.9477677,2.465904,5.3310404,16.503244,11.494451,8.243885,29.639999,121.8,55.799999,21.766991,5.3814526,0.73350841,1.0083342,25,6,0.38069582,1,0,0,5400,5400,5400
38,0.12728564,0.10840674,0.2818203,0.033936411,0.062875099,0.95680314,1.6046652,2.2428179,6.2210927,70.784645,9.0098686,7.673532,10.945946,33,22.459459,24.350492,3.1958148,0.57562679,2.9561317,35,9,0.0090067936,1,1,1,7992,7560,7992
39,0.67933184,0.6136874,0.47271782,-0.076688431,-0.47046453,0.74116111,0.76692134,0.83978844,3.8721969,17.872347,12.141254,10.968034,117.78947,16.421053,94.105263,24.805748,3.5463569,0.99879783,3.8680122,37,5,0.37833273,1,1,1,8208,7992,8208
40,0.88352197,0.73477411,-0.21913128,-0.53413141,0.29281652,0.76219654,3.4800496,1.7264559,4.2374167,18.425337,16.27919,13.538461,94.323532,46.411766,104.91177,29.776825,4.7703776,0.98671848,5.30582,64,11,0.48004547,1,0,0,14688,13824,14688
41,0.8274079,0.58887792,-0.70609587,0.42491704,-0.073497564,0.56166911,2.543927,2.2571452,5.3058257,18.124006,14.995947,10.672828,53.680851,136.2766,57.127659,26.080019,5.8715715,1.937191,0.67184663,43,5,0.40717098,1,1,1,10152,9288,10152
42,0.81364179,0.57777464,-0.20711343,0.29272673,-0.04973245,0.93217051,3.3249722,1.8140181,4.1475124,30.736664,25.008635,17.758865,56.508621,115.86207,58.551723,45.344147,5.7371407,2.2623734,3.3439052,226,20,0.51695883,1,0,0,50112,48816,50112
43,0.1666362,0.15257703,-0.23850986,0.031202005,0.5025937,0.83038491,6.2673383,0.33207184,0.00047443254,70.612022,11.766519,10.773773,119.29412,93.970589,71.911766,30.235003,5.6088295,0.48584872,5.8689933,67,12,0.0092235394,1,1,1,14688,14472,14688
44,0.92120129,0.53719145,0.5059523,0.17324151,0.81561333,0.22084957,3.8558183,1.4346085,3.8105671,23.506012,21.653769,12.627229,58.472729,92.890907,116.23637,35.119488,3.7075801,1.4361576,5.2092052,105,13,0.53541023,1,0,0,23760,22680,23760
45,0.85345411,0.76983678,0.48104215,-0.44886777,-0.72890955,0.18922728,3.2657712,1.7931962,4.0386801,27.135645,23.159027,20.890018,32.327587,46.965519,108.25862,45.142612,4.9348683,1.6757351,3.7845275,223,15,0.62844783,1,0,0,50112,48168,50112
46,0.89427012,0.86125624,0.14390729,0.54266924,-0.82487261,0.066226676,3.1617134,1.342469,4.1914253,26.608196,23.794914,22.916475,69.283463,66.992126,119.64567,46.068195,5.9438524,1.1922162,3.3206954,237,21,0.59945554,1,1,1,54864,51192,54864
47,0.78537822,0.56328779,-0.54935366,0.55486625,-0.3612555,0.50973368,0.66594052,1.3647249,6.1533747,15.186301,11.926991,8.5542583,45.75,44,45,21.472807,4.190495,0.72878075,6.1206832,24,7,0.32512882,1,0,0,5184,5184,5184
48,0.12456617,0.089308187,-0.54029942,-0.092757531,-0.63205409,0.54770446,0.95289373,1.5835087,4.7251477,91.57019,11.406548,8.177968,138.15254,81.711861,67.372879,28.815605,1.0267947,1.1604302,0.68675351,58,7,0.005732141,1,1,1,12744,12528,12744
49,0.90246511,0.77196068,-0.27372226,0.87410688,0.14967313,0.37230542,0.6071226,1.1983421,4.6393251,21.011278,18.961945,16.219879,70.405403,92.837837,74.891891,35.230625,1.7577722,2.4066315,3.4041214,106,14,0.54516208,1,0,0,23976,22896,23976
50,0.31553888,0.24298146,-0.5574522,-0.44048429,0.68444991,0.16355103,3.0719488,2.1860723,0.029356726,73.660728,23.242823,17.898191,33.111454,21.260061,51,49.387005,5.615664,1.5803552,4.2782226,292,21,0.047442537,1,1,1,69768,63072,69768
51,0.93624759,0.67545408,-0.54141015,-0.68346965,-0.025232635,0.48898634,1.2019945,1.2992539,0.022901967,19.271343,18.042749,13.016909,138.47368,117.63158,80.526314,31.532345,0.95241708,2.1182461,5.4338808,76,8,0.48672158,1,1,1,16416,16416,16416
52,0.82555711,0.6393503,-0.54935366,0.55486625,-0.3612555,0.50973368,3.6664441,0.55689722,0.26668018,17.752464,14.655673,11.350043,30.782608,88.565216,46.565216,26.478249,1.5927579,1.597802,2.7097981,45,10,0.3344298,1,0,0,9936,9720,9936
53,0.62509966,0.5353089,0.048687119,-0.080787756,-0.89777344,0.43023911,1.0772793,1.3461287,0.02999145,20.176811,12.612518,10.800826,29.863636,122.18182,129.40909,26.280642,0.85682118,2.6524839,3.9262619,44,6,0.38329422,1,0,0,9504,9504,9504
