1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
1383,9579,1257,7465,3289,1898,3201,8689,2411,10370,11607,18,253,9136,10354,11601,13,2830,11277,3210,4100,3570,10,10209,5064,586,13006,11413,7059,10291,3770,3961,10158,10512,315,10640,3444,9901,8990,10648,5418,5,9885,5552,5508,12593,6659,6621,10018,3782,634,5935,4422,2640,6064,78,2413,936,671,6260,11571,1627,13471,11416,8223,7113,11997,379,5250,667,7003,2637,8601,14151,11111,3758,451,6288,22,5967,7645,446,4508,319,3,406,2084,13818,2855,9281,6834,17,7425,5200,5968,470,362,1,184,9255,7630,91,12588,2743
1384,9580,1258,7489,3314,1899,3202,8714,2435,10371,11608,19,254,9736,10953,12200,14,2831,11278,3211,4125,3595,11,10210,5065,610,13007,11414,7084,10292,3771,3962,10159,10513,316,11241,3445,9902,9589,10649,5419,6,9886,5553,5509,12617,6660,6622,10019,3783,1259,5959,5023,2641,6089,79,2414,960,696,6261,11572,1651,13472,11417,8224,7114,11998,402,5275,668,7576,2638,8602,14152,11112,4382,476,6312,23,5992,7670,447,4509,320,4,407,2108,13819,2879,9282,6835,589,7450,5225,5993,495,363,2,208,9754,8179,92,12589,2744
1982,9581,1282,7490,3315,1900,3203,8739,2436,10395,11609,20,255,9760,10954,12201,15,2856,11302,3212,4699,3596,12,10234,5066,611,13008,11415,7085,10312,3772,3986,10182,10514,317,11242,3446,9926,9613,10650,5421,7,9887,5554,5533,12618,6683,6623,10043,3784,1260,5960,5047,3239,6090,102,2438,961,720,6262,11573,1652,13473,11441,8247,7115,11999,403,5300,669,7577,2661,8625,14153,11136,4383,499,6313,46,6016,7695,448,4533,321,452,408,2109,13842,2880,9306,6859,590,7475,5773,6542,496,364,24,209,9755,8180,93,12590,2745
1983,9604,1283,8065,3316,2501,3204,8763,2437,10396,11632,21,256,9761,10978,12225,16,3330,11303,3213,4700,3597,35,10235,5067,612,13009,11437,7109,10313,4346,3987,10183,10515,318,11263,3469,9927,9614,10672,5422,8,9909,5555,5534,12642,6684,6646,10044,3807,1284,5961,5048,3240,6091,103,3013,962,721,6263,11596,1676,13496,11442,8248,7139,12001,404,5851,670,7578,2662,8627,14176,11137,4384,500,6337,47,6017,7719,471,4534,344,453,409,2110,13843,2881,9307,6860,614,7500,5774,6543,497,386,25,232,9778,8181,114,12591,2768
1984,9605,1307,8066,3317,2502,3205,8764,2460,10420,11633,43,277,9762,10979,12226,38,3331,11304,3236,4724,3620,36,10236,5068,613,13030,11438,7110,10314,4347,4011,10184,10538,339,11264,3470,10501,9615,10673,5442,9,9910,5556,5535,12643,6685,6647,10045,3808,1285,5984,5071,3241,6114,104,3014,963,745,6286,11597,2227,13497,11466,8249,7713,12022,405,5873,692,7601,2663,9177,14177,11162,5007,501,6338,48,6018,8246,472,4535,345,455,431,2708,13844,2905,9330,6861,615,7501,5797,6567,498,387,26,233,9779,8204,115,12612,2769
2007,9606,1308,8089,3338,2503,3225,9288,2985,10421,11634,44,278,9786,11552,12250,39,3332,11328,3237,4725,3621,37,10259,5089,635,13031,11439,7111,10315,4370,4012,10207,10539,340,11265,3471,10502,9638,10674,5443,30,9911,5557,5558,12667,6708,6648,10642,3809,1309,5985,5072,3242,6115,105,3015,985,746,6287,11598,2251,13498,11467,8823,7714,12023,426,5874,693,7602,2686,9201,14178,11710,5008,523,6339,71,6041,8270,473,4559,346,477,432,2709,14418,2906,9331,7408,616,7526,5798,6568,520,388,27,234,9780,8205,116,12613,2770
2008,9607,1882,8090,3339,2504,3226,9289,2986,10445,11635,45,279,9787,11553,12275,40,3353,11329,3238,4749,3622,60,10260,5090,636,13032,11440,7133,10316,4371,4585,10208,10540,341,11266,3494,10526,9639,10675,5444,31,9912,5578,5559,12668,6709,6673,10643,4385,1310,6535,5073,3264,6116,127,3038,986,1272,6311,11622,2252,13499,11491,8824,7738,12024,427,5875,694,7603,2687,9202,14202,11711,5009,524,6361,72,6042,8271,1071,5133,347,478,433,2710,14419,3478,9332,7409,642,8025,5799,6569,521,389,28,235,9803,8206,117,12614,2793
2009,9629,1883,8091,3340,2523,3227,9290,3010,10446,11658,68,280,9812,11554,12776,41,3354,11353,3262,4750,3623,61,10261,5091,637,13033,11462,7134,10317,4372,4586,10783,10541,342,11288,3495,10527,9640,10676,5445,32,9934,5579,6133,12669,6710,7221,10644,4407,1884,6536,5647,3265,6140,128,3039,987,1296,6883,11623,2253,13521,12016,8847,7739,12025,428,5876,695,7604,2688,9203,14751,11735,5032,525,6362,73,6043,8295,1072,5134,348,479,434,2711,14442,3479,9355,7410,1213,8026,5800,6593,522,390,29,257,9804,8230,118,12615,2794
2010,9630,1907,8114,3341,2524,3228,9313,3011,10995,11659,69,281,9837,11577,12800,42,3355,11354,3786,4774,4169,62,10286,5092,638,13055,11463,7135,10337,4394,4587,10784,10542,343,11289,4069,10528,9641,10696,5446,33,9935,5580,6134,12692,6733,7222,10645,4408,1885,6559,5648,3266,6141,129,3040,1010,1297,6884,11624,2276,13522,12017,8848,7740,12026,429,5898,717,7627,2712,9225,14752,11736,5033,526,6363,95,6065,8296,1073,5156,349,480,456,2733,14443,3480,9356,7411,1214,8027,5801,6594,545,391,49,258,9805,8231,119,12616,2795
2033,9631,1908,8115,3342,2525,3229,9314,3012,10996,11660,70,302,10336,11578,12801,63,3356,11378,3787,4775,4170,85,10834,5093,661,13056,11464,7136,10338,4395,4610,10807,11114,365,11290,4070,10551,9663,10697,5447,34,9936,5581,6135,12693,6734,7223,10667,4409,1909,6560,5671,3267,6688,130,3063,1509,1298,6885,11648,2277,13523,12041,8849,7763,12048,430,5899,718,7628,3263,9226,14753,11737,5632,548,6364,96,6066,8319,1095,5157,369,502,457,2734,14444,3503,9357,7412,1215,8050,5823,6595,546,392,50,259,9829,8232,137,12637,2819
