93
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,SurfaceFeatures_2,Volumes,Volumes2,Volumes_2
1,0.74994421,0.55359417,-0.89385349,-0.051023003,0.1948052,0.40059152,2.7465641,2.1591306,4.4605293,17.330893,12.997203,9.5942812,41.400002,44.485714,26.485714,23.877548,5.1685081,0.72193587,5.2824898,33,8,0.4062086,1,0,0,7560,7128,7560
2,0.91683811,0.23053488,0.83063555,-0.43386719,0.27100378,0.21991113,1.5776638,1.541715,0.43117395,78.222221,71.717117,18.032951,57.277351,91.289673,54.550076,63.168247,1.7711385,2.428576,2.7338443,611,30,0.0039623263,1,1,1,140184,131976,140184
3,0.66250008,0.53227383,-0.90232283,-0.25329721,0.28700182,0.19820176,0.60524404,0.91527861,4.0747919,16.265354,10.775799,8.6576223,44.454544,99.818184,119.72727,20.538002,0.28334263,2.0048003,0.72564346,21,7,0.23355055,1,0,0,4752,4536,4752
4,0.78297991,0.69396907,0.78403115,0.49629268,0.27804714,0.24835162,5.3450356,0.40302837,4.9645534,33.844112,26.499258,23.486767,30.29443,95.387268,93.891243,52.461548,2.8641739,2.3775175,1.7355093,350,23,0.66962534,1,1,1,81432,75600,81432
5,0.74041605,0.60477006,0.38251695,0.65890753,-0.29526427,0.57648993,3.7672813,1.5209997,3.7972639,20.243502,14.988615,12.242663,104.51613,59.612904,33.19355,28.649036,0.19342406,2.4475789,2.3858123,57,11,0.47224641,1,0,0,13392,12312,13392
6,0.5209105,0.26457113,0.4271439,-0.8783673,-0.2093256,0.046922319,3.1223104,1.5110099,6.2585573,84.926994,44.239361,22.469229,87.680511,48.747604,29.309904,63.442745,3.3737001,2.7091916,5.6100488,619,26,0.0081749158,1,1,1,135216,133704,135216
7,0.31955746,0.24738416,0.5047068,0.63607997,0.57794034,0.08159779,4.9530993,0.21939017,6.0516977,36.597118,11.694881,9.0535469,59.930233,17.372093,70.255814,26.080019,2.6111097,1.8951049,0.81100315,43,8,0.061356485,1,1,1,9288,9288,9288
8,0.24021374,0.17963909,-0.38716131,-0.72068894,-0.54410398,0.18618384,4.6702881,0.6709823,6.2564282,84.443611,20.284515,15.169374,103.44706,108.10588,44.905884,46.770172,2.3189268,1.9161961,0.16327551,248,16,0.03319183,1,1,1,55080,53568,55080
9,0.8524549,0.72090751,0.19325826,0.40296674,-0.89322084,0.04924963,1.4468616,2.1802306,4.701057,20.561209,17.527504,14.822729,70.800003,81.800003,104.33334,32.472157,5.0878468,0.97671747,5.3581605,83,9,0.49494138,1,0,0,19440,17928,19440
10,0.15631989,0.13090934,-0.76034403,0.22516248,0.44836473,0.41248983,3.219316,2.1492445,0.079302728,88.970177,13.907808,11.647027,58.360825,112.42268,20.876289,33.96719,5.1682329,1.8313777,5.7440424,95,12,0.0050360877,1,1,1,20952,20520,20952
