1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
 5882, 9428, 1206, 6020, 9759, 9517, 5028, 3124, 429, 445, 5448, 8935, 4012, 5025, 535, 569, 2252, 46, 13871, 14127, 3884, 7305, 12301, 8395, 270, 4771, 4261, 2302, 6337, 487, 9119, 4075, 365, 4867, 7765, 9266, 462, 8318, 1295, 10578, 6399, 912, 879, 3215, 10870, 12957, 1392, 251, 1796, 8909, 14693, 1209, 7549, 53, 5164, 5507, 2102, 9660, 8611, 8013, 2843, 156, 4138, 7099, 11011, 7437, 1542, 481, 8228, 558, 60, 13679, 12018, 1315, 124, 12102, 573, 10195, 5875, 331, 111, 6732, 6434, 7035, 2497, 7990, 4058
 5883, 9429, 1207, 6021, 9760, 9518, 5029, 3125, 430, 446, 5449, 8936, 4013, 5049, 536, 570, 2253, 47, 13872, 14128, 3885, 7327, 12302, 8418, 271, 4772, 4262, 2326, 6360, 488, 9140, 4097, 366, 4868, 7766, 9291, 1012, 8319, 1296, 10579, 6400, 933, 880, 3716, 10871, 12958, 1416, 252, 1797, 8910, 14694, 1233, 7571, 54, 5165, 5508, 2124, 9661, 8634, 8014, 2844, 706, 4139, 7122, 11012, 7438, 1543, 501, 8253, 559, 61, 13680, 12019, 1339, 143, 12103, 574, 10196, 5876, 332, 112, 6733, 6435, 7036, 2970, 7991, 4059
 5884, 9430, 1229, 6022, 9783, 9519, 5030, 3723, 1026, 447, 5450, 8937, 4586, 5050, 537, 571, 2276, 48, 13873, 14151, 3886, 7328, 12303, 8419, 272, 4773, 4285, 2327, 6361, 489, 9141, 4098, 367, 4869, 7788, 9292, 1013, 8320, 1297, 10580, 6401, 934, 904, 3717, 10893, 13480, 1417, 253, 1798, 9483, 14716, 1234, 7572, 55, 5166, 5509, 2125, 9662, 8635, 8015, 2866, 707, 4140, 7123, 11013, 7460, 2039, 502, 8801, 581, 62, 13681, 12041, 1340, 144, 12104, 575, 10218, 5877, 333, 113, 6734, 6457, 7037, 2971, 7992, 4082
 5905, 9431, 1230, 6023, 9784, 9520, 5051, 3724, 1027, 448, 5472, 8960, 4587, 5073, 560, 591, 2277, 49, 13874, 14152, 3909, 7329, 12326, 8420, 273, 4796, 4286, 2351, 6910, 490, 9142, 4099, 368, 4870, 7789, 9316, 1036, 8343, 1298, 10581, 6402, 935, 905, 3739, 10894, 13481, 1418, 276, 1799, 9484, 14717, 1256, 7596, 56, 5189, 6056, 2126, 9665, 8636, 8562, 2867, 729, 4163, 7124, 11036, 7461, 2065, 503, 8802, 582, 63, 13704, 12042, 1364, 145, 12105, 576, 10219, 5878, 334, 132, 6735, 6458, 7061, 2995, 8540, 4083
 5906, 9453, 1231, 6024, 9785, 9521, 5052, 3725, 1028, 468, 5473, 8961, 4588, 5074, 561, 592, 2826, 50, 13896, 14153, 3910, 7330, 12327, 8421, 274, 4797, 4287, 2352, 6911, 491, 9143, 4100, 389, 4891, 7790, 9317, 1037, 8344, 1318, 10601, 6403, 936, 1351, 3740, 10895, 13482, 1442, 277, 1800, 9508, 14718, 1257, 8123, 57, 5190, 6057, 2127, 9666, 8659, 8563, 2868, 730, 4164, 7146, 11037, 7462, 2089, 504, 8826, 583, 64, 14229, 12043, 1365, 146, 12125, 577, 10220, 5879, 335, 133, 6736, 6459, 7062, 2996, 8541, 4084
 5907, 9454, 1232, 6025, 10308, 9522, 5053, 3748, 1029, 469, 5474, 8962, 4589, 5075, 562, 593, 2828, 51, 13897, 14176, 4457, 7352, 12877, 8443, 275, 4798, 4835, 2376, 6912, 492, 9168, 4123, 390, 4892, 7791, 9318, 1038, 8894, 1319, 10602, 6423, 937, 1352, 3741, 10896, 13504, 1443, 278, 1822, 9509, 14719, 1258, 8124, 78, 5191, 6058, 2128, 9667, 9159, 8587, 2869, 731, 4661, 7147, 11038, 7463, 2090, 505, 8827, 607, 65, 14230, 12044, 1913, 147, 12126, 597, 10221, 5880, 336, 134, 6756, 6460, 7086, 3020, 8542, 4657
 5908, 9455, 1781, 6044, 10309, 9542, 5054, 3749, 1051, 470, 5475, 8963, 4611, 5076, 563, 594, 2851, 52, 13898, 14751, 4458, 7353, 12902, 8444, 293, 4822, 4836, 2377, 6934, 493, 9692, 4124, 391, 4893, 7814, 9319, 1061, 8918, 1320, 10603, 6424, 938, 1353, 3742, 10918, 13505, 1444, 301, 1823, 9510, 14741, 1259, 8144, 79, 5737, 6059, 2149, 9686, 9160, 8588, 2870, 732, 4662, 7148, 11612, 7485, 2091, 506, 8828, 608, 66, 14231, 12067, 1914, 148, 12127, 598, 10817, 5899, 351, 135, 6757, 6483, 7611, 3021, 8564, 4658
 5909, 9456, 1805, 6045, 10332, 9543, 5055, 3750, 1052, 471, 5498, 8964, 4612, 5098, 584, 595, 2852, 70, 13899, 14752, 4459, 7354, 12903, 8445, 294, 5371, 4837, 2378, 6935, 512, 9693, 4125, 392, 4894, 7815, 9340, 1062, 8919, 1321, 10604, 6425, 939, 1376, 3763, 10919, 13506, 1467, 302, 2325, 9533, 14742, 1260, 8145, 80, 5738, 6081, 2150, 9687, 9184, 8589, 2891, 754, 4686, 7149, 11636, 7486, 2114, 527, 8851, 1132, 67, 14252, 12068, 1915, 149, 12128, 599, 10818, 5900, 352, 136, 6758, 6484, 7612, 3044, 8565, 4682
 5930, 9457, 1806, 6046, 10333, 9544, 5056, 4349, 1053, 472, 5499, 8984, 4613, 5099, 585, 596, 2853, 71, 13921, 14753, 4460, 7355, 12926, 8446, 295, 5372, 4860, 2401, 6936, 513, 9716, 4149, 393, 4895, 8363, 9341, 1063, 8920, 1322, 10605, 6426, 961, 1377, 3764, 10920, 13507, 1468, 303, 2347, 9534, 14743, 1282, 8146, 103, 5739, 6082, 2151, 9688, 9185, 8612, 2892, 755, 4687, 7171, 11637, 7487, 2115, 528, 8852, 1133, 68, 14253, 12590, 1937, 168, 12129, 600, 10819, 5901, 353, 137, 6759, 6485, 7613, 3045, 8566, 4683
 5931, 9478, 1807, 6047, 10334, 9545, 5077, 4350, 1054, 473, 5500, 8985, 4614, 5100, 586, 617, 2876, 72, 13922, 14776, 4482, 7376, 12927, 8469, 296, 5396, 4861, 2402, 6937, 514, 9717, 4673, 415, 4916, 8364, 9342, 1085, 8943, 1343, 10606, 6427, 962, 1378, 3765, 10921, 13508, 1469, 801, 2348, 9535, 14744, 1283, 8147, 627, 5740, 6083, 2152, 9690, 9208, 8613, 2893, 756, 4688, 7172, 11661, 7509, 2116, 529, 8853, 1134, 87, 14254, 12591, 1938, 169, 12130, 601, 10820, 5902, 354, 138, 6760, 6983, 7635, 3046, 8567, 4708
