1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
 8979, 18, 7563, 3952, 2078, 3141, 441, 9944, 2131, 4145, 385, 10748, 2035, 8028, 11140, 1028, 4546, 10297, 9310, 137, 5241, 2092, 2545, 7784, 3027, 234, 840, 2581, 8924, 678, 7432, 7523, 426, 4771, 6740, 7957, 1686, 992, 7702, 5448, 13827, 14930, 204, 3469, 7055, 9585, 2173, 154, 549, 12956, 2016, 6127, 4921, 757, 2838, 6167, 1229, 13218, 7885, 1575, 7201, 5913, 312, 3762, 6442, 2278, 577, 11641, 11703, 8394, 7620, 6880, 7218, 10372, 13011, 8797, 6209, 5018, 13127, 344, 4821, 7095, 27, 457, 56, 4761, 10263, 421, 3216, 8286, 460, 6352, 2098, 14940, 2305, 2642, 195
 8980, 33, 7564, 3953, 2079, 3664, 464, 9945, 2132, 4167, 386, 10749, 2605, 8029, 11162, 1029, 4547, 10298, 9831, 138, 5264, 2115, 2567, 7785, 3028, 235, 865, 2582, 9471, 679, 7433, 7524, 951, 5244, 6741, 7958, 1710, 993, 7724, 5471, 13828, 14953, 205, 3967, 7056, 9586, 2174, 155, 550, 12979, 2017, 6128, 4944, 758, 2860, 6168, 1230, 13243, 7886, 1577, 7202, 5934, 313, 4287, 6463, 2279, 1076, 11663, 11704, 8395, 7621, 6901, 7240, 10392, 13584, 8798, 6210, 5019, 13128, 345, 4822, 7119, 44, 458, 57, 4762, 10287, 422, 3763, 8308, 461, 6353, 2120, 14941, 2306, 2662, 196
 9003, 34, 7565, 3975, 2080, 3665, 465, 9946, 2133, 4168, 408, 10770, 2606, 8030, 11163, 1030, 4548, 10299, 9856, 139, 5265, 2116, 2568, 7805, 3029, 236, 1440, 2583, 9472, 680, 7456, 7525, 952, 5245, 6764, 7982, 1711, 1017, 7725, 5472, 13851, 14954, 206, 3968, 7057, 10134, 2195, 703, 569, 12980, 2018, 6701, 4945, 781, 2861, 6169, 1231, 13817, 7887, 1578, 7203, 5935, 314, 4288, 6464, 2301, 1101, 11664, 11727, 8396, 7642, 6902, 7241, 10393, 13585, 8799, 6211, 5041, 13129, 346, 4844, 7644, 45, 478, 81, 4763, 10312, 423, 3764, 8309, 462, 6376, 2121, 14963, 2307, 2663, 197
 9004, 35, 7586, 4503, 2103, 3666, 466, 9968, 2156, 4169, 409, 10771, 2607, 8031, 11164, 1052, 4549, 10321, 9857, 140, 5266, 2117, 2569, 7806, 3030, 237, 1441, 3057, 9496, 681, 7457, 7547, 976, 5269, 6765, 7983, 1712, 1018, 7726, 5473, 13852, 14955, 207, 3992, 7080, 10135, 2196, 704, 570, 12981, 2019, 6702, 4946, 782, 2862, 6170, 1802, 13818, 7888, 1579, 7226, 5936, 315, 4311, 6465, 2302, 1102, 11665, 11728, 8419, 7643, 6903, 7242, 10394, 13586, 8800, 6235, 5042, 13130, 347, 4845, 7645, 46, 479, 82, 4764, 10812, 442, 3787, 8310, 463, 6377, 2122, 14964, 2857, 2664, 198
 9005, 36, 7587, 4526, 2104, 3667, 489, 9969, 2157, 4194, 958, 10772, 2608, 8032, 11165, 1053, 4569, 10322, 9858, 158, 5289, 2139, 2570, 7807, 3051, 238, 1465, 3058, 9497, 1252, 7458, 7548, 977, 5270, 6766, 8505, 1735, 1043, 7727, 5495, 13853, 14956, 226, 3993, 7081, 10136, 2197, 705, 571, 13004, 2041, 6726, 4947, 783, 2863, 6193, 1803, 13819, 7889, 2076, 7227, 5937, 336, 4312, 6466, 2303, 1126, 11666, 11753, 8420, 8167, 6904, 7243, 10395, 13608, 8822, 6236, 5043, 13151, 348, 4846, 7646, 47, 480, 12506, 4765, 10813, 443, 3788, 8311, 484, 6378, 2670, 14965, 2858, 2665, 217
 9578, 37, 7588, 4527, 2105, 3668, 490, 9970, 2158, 4741, 959, 10773, 2609, 8053, 11188, 1054, 4570, 10323, 9859, 159, 5290, 2140, 2592, 7808, 3052, 258, 10789, 3081, 9498, 1253, 7481, 7549, 978, 5271, 6788, 8506, 1736, 1592, 7749, 5496, 13854, 14978, 227, 3994, 7082, 10158, 2198, 706, 572, 13005, 2042, 6727, 4969, 1356, 2886, 6194, 1804, 13842, 7909, 2077, 7751, 6510, 337, 4313, 6467, 2304, 1127, 11667, 11777, 8421, 8168, 6905, 7267, 10396, 13609, 8823, 6259, 5066, 13152, 349, 4869, 7668, 48, 481, 12507, 4788, 10836, 444, 3789, 8334, 485, 6379, 2671, 14966, 2880, 2666, 218
 9579, 38, 7589, 4528, 2129, 3689, 491, 9971, 2180, 4742, 960, 10774, 2630, 8054, 11189, 1055, 4571, 10324, 9881, 160, 5291, 2141, 2593, 7809, 3053, 259, 10790, 3082, 9499, 1254, 7482, 7550, 979, 5294, 6789, 8507, 1737, 1593, 7750, 5497, 13876, 14979, 228, 4017, 7656, 10159, 2199, 728, 573, 13554, 2043, 6728, 4970, 1357, 2887, 6717, 1805, 13843, 7910, 2101, 7752, 6511, 338, 4335, 6468, 2326, 1151, 11688, 11778, 8422, 8169, 6906, 7767, 10397, 13610, 8824, 6260, 5067, 13153, 350, 4870, 7669, 49, 482, 12508, 4789, 10837, 445, 3790, 8335, 486, 6401, 2672, 14989, 2881, 2667, 219
 9580, 39, 7590, 4550, 2130, 3690, 514, 9972, 2181, 4743, 983, 10795, 2631, 8055, 11190, 1077, 4572, 10325, 9882, 161, 5313, 2142, 2594, 7810, 3075, 260, 10814, 3083, 9521, 1255, 7483, 7572, 1001, 5295, 6790, 8530, 1760, 1617, 7774, 5498, 13877, 15554, 229, 4018, 7657, 10160, 2223, 729, 574, 13555, 2044, 6751, 4971, 1381, 2888, 6742, 1827, 13844, 7911, 2102, 7753, 6534, 339, 4336, 6488, 2327, 1152, 11689, 12253, 8423, 8170, 6926, 7768, 10398, 13611, 8825, 6261, 5068, 13154, 371, 5420, 7670, 50, 483, 12531, 5336, 10838, 446, 3791, 8910, 487, 6402, 2673, 14990, 2882, 2688, 220
 9602, 40, 7611, 4551, 2154, 3691, 515, 9994, 2182, 4744, 984, 10796, 2632, 8056, 11763, 1078, 4573, 10347, 9883, 162, 5314, 2164, 2619, 7831, 3076, 261, 10815, 3084, 9522, 1256, 8057, 7573, 1002, 5296, 6791, 8531, 1761, 1618, 7775, 5521, 13878, 15578, 230, 4019, 7680, 10161, 2224, 730, 575, 13579, 2067, 6752, 4972, 1382, 2912, 6743, 1828, 13867, 7912, 2125, 7754, 6535, 340, 4337, 6489, 2328, 1176, 11690, 12254, 8444, 8171, 6927, 7790, 10399, 13634, 8847, 6262, 5092, 13155, 372, 5445, 7671, 51, 503, 12532, 5337, 10839, 447, 3812, 8934, 488, 6403, 2694, 14991, 2883, 2689, 221
 9603, 41, 7612, 4552, 2155, 3692, 941, 9995, 2183, 4766, 985, 10797, 2633, 8078, 11764, 1079, 4574, 10348, 9884, 163, 5315, 2165, 3118, 7832, 3077, 284, 11412, 3106, 9523, 1277, 8058, 7574, 1003, 5297, 6814, 8532, 1762, 1643, 7799, 5522, 13879, 15579, 231, 4042, 7681, 10162, 2748, 753, 594, 13580, 2068, 6753, 4995, 1383, 3461, 6744, 1829, 13868, 7913, 2126, 7776, 6536, 362, 4338, 6490, 2329, 1177, 11691, 12277, 8445, 8192, 6928, 7791, 10417, 13635, 8848, 6263, 5093, 13176, 373, 5446, 7672, 52, 504, 12533, 5338, 10861, 448, 3813, 8935, 510, 6404, 2695, 15538, 2905, 2690, 222
