1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
110,9284,170,3,5871,7193,139,4770,7572,8954,2436,480,412,5691,6883,9166,6660,1259,2291,5232,9391,8647,3144,6441,9314,10396,17,20,7721,343,1404,12402,3402,9202,252,6566,1,2911,1876,774,8326,564,7744,8028,12231,209,2677,7164,1623,2213,471,3951,8145,7796,4667,9397,11424,4057,10110,6886,2760,1651,9123,267,8189,86,1792,10458,12737,41,6048,423,9539,536,2034,21,2395,3847,6962,341,4130,11,4891,11884,10686,10371,213,10983,10313,1443,12275
135,9285,171,4,5872,7194,140,5346,7573,8955,2461,481,413,6315,6884,9190,6661,1835,2292,5233,9392,8672,3145,6442,9339,10420,18,644,8346,368,1427,12403,3403,9252,253,6591,2,2934,1877,798,8327,565,8344,8029,12232,210,2702,7738,1624,2214,472,3953,8146,7797,4668,9398,11425,4058,10111,6887,2761,1652,9147,318,8190,87,1793,10482,12738,65,6049,424,9540,537,2035,46,2420,3849,6963,342,4154,12,4892,11909,10687,10395,214,10984,10912,1444,12299
136,9286,172,5,5897,7195,163,5369,7596,8956,2462,482,414,6316,6899,9191,6685,1860,2293,5234,9393,8673,3146,6465,9340,10421,19,645,8347,369,1428,12426,3428,9802,254,6592,22,2935,1878,799,8351,566,8345,8030,12255,211,2727,7739,1625,2215,495,3976,8147,7798,4669,9422,11448,4082,10135,6888,2785,2277,9148,319,8214,88,1817,10483,12762,66,6050,425,9567,561,2059,47,3019,3872,6987,365,4155,13,4893,12508,11285,10944,238,11007,10913,2017,12300
160,9287,173,6,5922,7218,164,5370,7597,8979,2463,483,436,6317,6900,9215,6686,1883,2316,5235,9417,8697,3147,6466,9364,10445,42,1269,8348,370,1429,12427,4001,9803,276,6616,23,2936,1879,824,8352,588,8369,8053,12256,212,3276,7740,1647,2238,496,3977,8170,7821,4670,9423,11449,4083,10136,6911,2786,2278,9149,344,8215,111,1818,10507,12763,89,6051,426,9568,562,2060,71,3020,3873,6988,366,4156,14,4894,12509,11286,10945,239,11008,10914,2042,12323
161,9288,193,7,6470,7219,165,5371,7598,8980,2464,504,437,6318,6906,9239,6687,1884,2317,5257,9418,8698,3169,6467,9365,10446,43,1270,8349,392,1430,12428,4002,9827,277,6617,24,2958,1880,825,8376,589,8370,8054,12257,230,3277,7763,1648,2239,497,3978,8171,7822,4692,9447,11450,4107,10161,6912,2787,2301,9150,843,8216,112,2392,10508,12764,90,6072,427,9593,563,2558,72,3044,3874,7012,367,4180,15,4917,12510,11310,10946,240,11009,10915,2043,12324
185,9309,194,8,6471,7220,188,5394,7599,8981,2465,505,438,6319,6907,9740,6711,2434,2892,5258,10015,8699,3170,6490,9389,10470,44,1819,8350,393,1452,12977,4003,9828,278,7190,25,2959,1881,1398,8926,590,8395,8055,12281,231,3301,7764,1649,2240,518,4526,8172,7823,4693,10020,11472,4108,10711,6936,3384,2302,9172,844,8240,113,2393,11030,13362,115,6073,447,10087,586,2583,73,3045,3875,7013,389,4181,16,4918,12533,11311,10968,263,11010,10916,2044,12325
186,9310,195,9,6472,7221,189,5395,7621,9004,2466,506,439,6341,6908,9765,6712,2435,2893,5259,10016,8722,3171,6491,9390,10471,45,1820,8371,394,1453,13001,4004,9851,279,7191,48,2960,1882,1399,8927,591,8969,8056,12282,232,3302,7765,1650,2241,519,4527,8173,7847,4694,10021,11473,4657,10734,6937,3385,2303,9173,868,8241,114,2394,11031,13363,666,6074,448,10112,587,2584,96,3046,3897,7586,390,4755,36,4942,12534,11312,10969,264,11033,10937,2045,12348
735,9311,196,10,6495,7243,190,5396,7622,9005,3036,507,440,6342,6909,9766,6737,2458,2894,5260,10017,8723,3195,6492,9414,11021,67,1844,8372,395,1454,13002,4005,9852,301,7192,49,2961,1901,1422,8928,612,8970,8057,12856,233,3303,7766,2201,2263,520,4528,8196,7872,4695,10022,11474,4658,10735,7510,3386,2321,9174,869,8790,137,2416,11032,13364,690,6075,449,10113,610,2607,97,3070,3898,7587,391,4756,37,4943,12535,11335,10970,265,11034,10938,2046,12349
759,9312,197,26,6496,7244,191,5397,7623,9006,3038,508,459,6343,6924,9789,7235,2459,2917,5261,10018,8724,3768,7017,9939,11045,68,1845,8373,396,1455,13003,4026,9853,302,7215,50,2984,1902,1423,8951,613,8971,8058,12857,234,3326,7789,2223,2264,521,4551,8197,8421,4719,10023,11475,4682,10736,7511,3409,2322,9175,892,8791,138,2417,11054,13387,691,6076,450,10114,611,2608,98,3071,3899,7588,415,4757,38,4944,12536,11336,10971,266,11035,10939,2068,12350
760,9313,198,27,6497,7245,192,5419,7624,9554,3039,529,460,6344,6925,9790,7236,2460,2918,5284,10019,8748,3769,7039,9940,11046,69,1846,8374,397,1478,13026,4027,9854,303,7216,551,2985,1903,1424,8952,614,8994,8080,12858,235,3327,7790,2224,2265,522,4552,8769,8422,4744,10044,11497,4683,10758,7512,3410,2323,9197,893,8814,162,2418,11055,13388,714,6077,451,10137,1161,2609,122,3620,3900,7589,416,4779,39,4968,12558,11910,10994,288,11058,10940,2069,12898
761,9335,199,28,6498,7268,215,5420,7625,9555,3040,530,461,6345,6931,9791,7237,2483,2919,5285,10041,9222,3770,7041,9964,11070,70,1869,8375,417,1479,13027,4028,9876,304,7217,552,2986,1904,1425,8953,615,8995,8653,12880,236,3328,8338,2225,2266,523,4553,8770,8423,5267,10045,11498,4684,10759,7513,3411,2324,9198,894,8815,187,2419,11056,13389,715,6097,452,10138,1162,2610,123,3644,3922,7611,966,4780,40,4969,12559,11911,10995,289,11059,10941,2070,12899
785,9336,200,29,6499,7269,216,5421,7646,9556,3061,531,462,6368,6932,9792,7260,2484,2920,5286,10042,9246,3771,7042,9965,11071,91,1870,8396,418,1480,13028,4029,9877,325,7240,553,3010,1905,1448,8975,616,8996,8654,12881,237,3351,8339,2226,2288,542,4554,8771,8424,5268,10046,11499,4707,10760,7514,3412,2325,9199,917,8816,711,2441,11057,13411,740,6098,453,10139,1163,2631,147,3645,3923,7612,990,4781,62,4992,12560,11912,10996,290,11607,10942,2071,12900
786,9337,201,30,6521,7293,217,5445,7647,9579,3062,532,463,6369,6933,9814,7261,2485,2941,5810,10043,9247,3772,7043,9989,11095,92,1871,8397,419,1503,13050,4030,9878,326,7241,575,3534,1906,1449,8976,617,9019,8655,12882,255,3352,8340,2227,2289,543,4576,8772,8446,5269,10047,12025,4708,10761,7535,3434,2326,9200,918,8838,712,2442,11080,13412,1267,6099,454,10140,1186,2632,148,3646,3924,7613,991,4782,63,5017,13133,11934,11019,291,11608,10962,2544,12901
810,9338,218,31,6522,7767,241,5446,7648,9580,3063,533,464,6370,6950,9815,7262,2508,2942,5811,10617,9248,3773,7064,9990,11096,93,1894,8398,420,1504,13051,4052,9902,327,7242,576,3535,2477,1450,8977,1214,9020,8656,12883,256,3353,8363,2248,2290,544,4577,8794,8447,5270,10048,12048,4709,10783,7536,3435,2327,9747,919,8839,713,2443,11081,13413,1268,6100,473,10141,1187,2633,646,3669,3925,7614,992,4804,64,5018,13134,11935,11020,292,11609,10963,2545,12923
811,9909,219,32,6523,7768,242,5970,7649,9581,3064,534,465,6916,6955,9816,7263,2509,2943,5830,10618,9271,3793,7065,10014,11647,94,1895,8399,421,2028,13052,4053,10427,328,7266,577,3536,2478,1474,8978,1215,9021,8657,12905,257,3377,8364,2249,2315,545,4578,8795,8448,5271,10068,12049,4732,10784,7537,3436,2328,9748,920,8840,736,2467,11082,13987,1291,6101,474,10142,1188,2634,647,3670,3947,7637,1014,4805,635,5042,13135,11936,11044,313,11610,10964,2569,12924
1360,9910,220,33,6524,7769,764,5971,7650,9582,3065,554,484,6917,6956,9817,7285,3034,2944,5831,10640,9272,3794,7066,10039,11671,95,1896,8972,422,2029,13053,4054,10428,329,7267,578,3558,2479,1475,8999,1216,9569,8678,12906,258,3378,8365,2250,2813,546,4579,8796,8472,5291,10069,12050,4733,10785,7538,4009,2346,9772,942,8841,737,2468,11083,13988,1292,6102,475,10143,1210,2635,670,3671,3948,7638,1015,4806,636,5467,13136,11937,11570,314,11632,10965,2570,12925
1384,9911,221,34,6547,7791,765,5972,7670,9604,3086,555,485,6918,6957,9839,7286,3035,2945,5832,10641,9273,3795,7067,10564,11672,116,2444,8973,441,2030,13076,4055,10429,350,7292,599,3559,2501,2023,9000,1238,9570,8679,12907,259,3901,8366,2251,2814,547,4601,8797,8473,5292,10070,12072,4734,10786,7539,4010,2347,9773,943,8842,738,3016,11084,13989,1293,6122,476,10144,1211,2636,671,3694,3949,7639,1016,4807,637,5468,13159,11938,11571,315,11633,10966,2593,12926
1385,9912,222,35,6548,7792,788,5993,7671,9605,3087,556,486,6919,6980,9840,7287,3058,2966,5833,10642,9274,3796,7068,10565,11695,117,2445,8997,442,2052,13077,4078,10451,351,7814,600,3560,2502,2024,9001,1239,9594,8680,12908,260,3902,8367,2252,2815,548,4602,8798,8497,5293,10071,12073,5283,10787,7560,4011,2348,9774,944,8864,739,3017,11105,14011,1315,6123,477,10162,1212,2656,672,3695,3950,7662,1017,4830,638,5469,13160,11959,11593,316,11634,10967,2594,12927
1410,9913,223,51,6572,7793,789,5994,7672,9606,3088,557,487,6939,6981,9841,7288,3059,2967,5834,10643,9296,3797,7089,10589,11696,118,2446,8998,443,2053,13078,4079,10452,352,7815,601,3561,2503,2025,9002,1240,9595,8681,12931,261,3926,8388,2272,2816,549,4603,8820,8498,5294,10072,12074,5308,10808,7561,4034,2349,9775,945,8865,762,3018,11106,14012,1316,6124,478,10163,1213,2657,673,3696,3972,7663,1040,4831,639,5470,13161,11960,11594,317,11635,11537,2595,12948
1435,9934,224,52,7070,7794,790,5995,7673,9607,3089,558,488,6940,7501,9842,7289,3060,2968,5835,10667,9297,3798,7090,10590,11697,119,2469,9022,444,2054,13601,4080,10453,353,7816,602,3583,2504,2026,9003,1241,9596,8682,12932,262,3927,8389,2273,2837,567,4604,8821,8522,5295,10073,12075,5309,10809,7562,4035,2350,9776,967,8866,763,3041,11107,14013,1317,6125,479,10164,1235,2658,695,3719,3973,7664,1041,4856,640,5490,13184,11961,11595,338,11658,11538,2617,12949
2009,9935,225,53,7071,7795,812,5996,7674,9630,3090,559,489,6941,7502,9863,7310,3082,2969,5836,10668,9298,3819,7091,10614,11720,120,2470,9023,445,2055,13602,4104,10454,354,7840,603,3584,2505,2047,9024,1242,9618,8683,13505,280,3928,8390,2274,2838,568,5126,8822,9046,5296,10093,12097,5332,10810,7563,4036,2370,9796,968,8867,787,3042,11108,14014,1318,6126,498,10165,1236,2659,696,3720,3974,8211,1614,5357,641,5491,13185,11962,11596,339,11659,11539,2618,12950
2010,9936,226,54,7095,7817,813,5997,7675,9631,3091,579,490,6942,7503,9864,7311,3083,2970,5855,11242,9299,3820,7092,10615,11721,121,2471,9622,446,2056,13626,4105,10476,374,7841,604,3585,2506,2048,9025,1866,9619,8704,13506,281,3952,8391,2275,2839,569,5127,9394,9047,5316,10094,12098,5333,10811,8059,4037,2371,9797,969,8890,1361,3043,11109,14037,1339,6127,499,10166,1237,2660,697,3721,3975,8212,1615,5380,661,5492,13758,11963,11597,340,11660,11540,2619,12951
 ,9937,227,55,7096,7818,814,6018,7696,9655,3638,580,509,6943,7504,9865,7312,3084,2991,5856,11243,9300,3821,7093, ,11722,141,2472,9647,466,2077,13627,4129,10477,375,7865,624,3586,2507,2049,9026,1867,9620,8705,13507,282, ,8392,2276,2840,570,5128,9395,9048,5317,10095,12099,5334,10812,8060,4059,2372,9798,970,8891,1362,3066,11130,14038,1340,6147,500,10167,1787,2661,698,4268,4448,8213,1616,5381,662,5493,13759,11986,11618,364,11683,11541,2620,12973
