91
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,SurfaceFeatures_2,Volumes,Volumes2,Volumes_2
1,0.88894176,0.54442614,-0.26802707,-0.23463933,-0.85957861,0.36637476,1.0713277,1.4898471,6.1591954,14.531162,12.917356,7.9111443,57.81818,36.272728,9.545455,20.206684,1.8869621,0.72844315,0.44881341,20,6,0.26023898,1,1,1,4752,4320,4752
2,0.20067661,0.15591221,-0.057622738,-0.89372981,-0.20978381,0.39232308,4.6473446,0.53700924,0.067259833,61.994709,12.440887,9.6657314,64.523811,123.57143,95.952377,29.463362,1.9974489,2.219491,5.2678123,62,10,0.015715377,1,1,1,13608,13392,13608
3,0.56644851,0.19937491,0.087292068,0.57149243,0.5875507,0.56618077,3.1403332,1.5711713,4.5555081,80.369011,45.524906,16.023565,118.15909,62.267044,70.960228,51.80381,3.7568979,1.2328471,0.91845047,337,24,0.0028448189,1,1,1,76032,72792,76032
4,0.55824172,0.22672802,0.65162104,-0.014617731,0.3778491,0.65757614,3.146493,1.585377,4.6905093,88.989792,49.677814,20.176479,36.638485,27.139942,82.067055,64.550697,2.5976231,1.4198714,2.6424813,652,22,0.0098108295,1,1,1,148176,140832,148176
5,0.79639131,0.59094709,0.20226455,0.70060796,0.54240608,0.41717285,4.3828497,0.31576484,3.7905695,20.221771,16.104443,11.949996,129.58064,59.516129,68.419357,27.785583,3.5161591,1.6343641,0.93667966,52,13,0.37421456,1,1,1,13392,11232,13392
6,0.85580611,0.80069768,-0.55705756,0.041282859,-0.40933785,0.72140497,0.96168005,1.5926496,6.1668911,23.769327,20.341936,19.032045,108.33334,83,84.444443,40.073746,5.1486149,2.4570353,4.4219995,156,18,0.61649185,1,0,0,34992,33696,34992
7,0.82582611,0.61159259,0.29366907,0.64269245,0.59478623,0.38332,3.5063727,1.3842831,4.4271693,37.44828,30.925766,22.903091,87.827133,48.190372,38.98687,56.274673,3.2854617,1.5693865,1.0010822,432,22,0.55357224,1,1,1,98712,93312,98712
8,0.83176994,0.71463299,-0.21500537,-0.3602069,0.66463089,0.61829567,2.6810455,2.4774101,5.3881359,17.894991,14.884516,12.788351,119.35714,93,58.607143,27.606318,5.3769097,1.9874512,2.0456133,51,12,0.43788704,1,0,0,12096,11016,12096
9,0.79243344,0.76919115,0.89351779,-0.047263339,0.17291991,0.41169265,2.9637268,2.1073313,4.5865984,24.571321,19.471136,18.900042,133.22641,34.245281,89.64151,39.815197,2.6910996,2.2158179,2.7967927,153,14,0.61291218,1,1,1,34344,33048,34344
10,0.82918954,0.51380098,0.45139655,-0.43317774,-0.77667058,0.073355354,1.2570136,2.0506563,4.4076176,19.157669,15.885339,9.8432293,30.719999,55.080002,97.440002,27.42469,4.0756764,1.0879217,4.2907677,50,4,0.47238034,1,0,0,10800,10800,10800
