1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
 4128, 774, 4045, 9758, 6323, 489, 7818, 3271, 5952, 9280, 380, 3715, 9693, 1184, 8942, 118, 320, 5863, 6162, 3801, 1667, 10950, 9612, 10428, 7662, 84, 12153, 917, 330, 7698, 13575, 5420, 14274, 8290, 6235, 8079, 32, 8827, 10843, 3850, 13063, 1080, 9766, 2694, 499, 415, 12846, 12256, 3187, 275, 9182, 12098, 6794, 493, 13581, 2157, 339, 11633, 7171, 6608, 714, 6920, 4123, 9527, 1910, 8554, 10598, 11219, 9219, 2031, 11330, 11627, 3711, 1164, 4643, 1135, 11289, 503, 6056, 47, 43, 14220, 10423, 179, 13218, 9779, 242, 2578
 4151, 775, 4046, 9781, 6324, 490, 7841, 3291, 5953, 9281, 381, 3716, 9715, 1205, 8943, 119, 341, 5864, 6163, 4301, 1691, 10973, 9613, 10449, 7684, 85, 12154, 1490, 354, 7719, 14151, 5421, 14275, 8313, 6257, 8576, 33, 8850, 11391, 3871, 13064, 1081, 9789, 2695, 500, 434, 12847, 12279, 3188, 276, 9183, 12121, 6818, 494, 13603, 2158, 340, 11634, 7718, 6609, 738, 6921, 4124, 9531, 1911, 8555, 11123, 11743, 9767, 2055, 11877, 11628, 3712, 1165, 5217, 1136, 11290, 526, 6057, 48, 44, 14221, 10424, 180, 13241, 9780, 791, 2579
 4152, 776, 4047, 10332, 6325, 513, 7842, 3292, 5954, 9830, 382, 3717, 9716, 1206, 8965, 120, 342, 5865, 6186, 4325, 2115, 10974, 9635, 10450, 7685, 86, 12155, 1491, 905, 7720, 14152, 5942, 14298, 8314, 6258, 8600, 34, 8875, 11392, 3872, 13065, 1082, 9790, 2696, 520, 435, 12848, 12280, 3210, 295, 9184, 12122, 6819, 516, 13604, 2180, 362, 11635, 7743, 6610, 739, 6944, 4125, 9532, 1912, 8577, 11146, 11744, 9768, 2056, 11878, 11629, 3713, 1166, 5218, 1137, 11291, 527, 6058, 49, 64, 14222, 10447, 199, 13242, 9803, 792, 2602
 4153, 796, 4048, 10333, 6897, 514, 7866, 3293, 5955, 9831, 383, 3739, 9717, 1207, 8966, 121, 343, 5866, 6187, 4326, 2139, 10975, 9636, 10451, 7686, 87, 12178, 1492, 906, 7721, 14176, 5943, 14299, 8315, 6259, 8601, 35, 9373, 11416, 3873, 13066, 1104, 9791, 2719, 521, 436, 12849, 12281, 3211, 296, 9185, 12145, 7367, 517, 13605, 2181, 363, 12183, 7744, 6611, 740, 6945, 4674, 9533, 1913, 8578, 11147, 11745, 9769, 2057, 11879, 11651, 3736, 1167, 5219, 1160, 11314, 1076, 6059, 50, 65, 14246, 10448, 200, 13243, 9804, 793, 2603
 4176, 797, 4049, 10334, 6898, 515, 8391, 3294, 5977, 9832, 384, 3740, 9718, 1228, 8967, 122, 344, 5887, 6188, 4347, 2140, 11473, 9637, 10452, 7687, 88, 12179, 1493, 929, 7722, 14177, 5944, 14300, 8338, 6260, 8602, 54, 9374, 11417, 3874, 13638, 1105, 10314, 2720, 522, 437, 12850, 12303, 3212, 297, 9186, 12146, 7368, 518, 13628, 2182, 364, 12184, 7745, 6612, 741, 6946, 4675, 10079, 1936, 8579, 11148, 11766, 9792, 2080, 11901, 11652, 3737, 1189, 5242, 1161, 11315, 1077, 6060, 51, 66, 14247, 10472, 201, 13268, 9805, 815, 2604
 4177, 798, 4071, 10335, 6899, 538, 8392, 3316, 5978, 9854, 405, 3741, 10266, 1230, 8968, 142, 345, 5888, 6714, 4348, 2144, 11474, 9661, 10453, 7709, 104, 12180, 1494, 930, 7723, 14178, 5967, 14323, 8339, 6261, 8624, 55, 9376, 11418, 3875, 13639, 1106, 10338, 2721, 523, 438, 12870, 12304, 3213, 298, 9187, 12147, 7369, 519, 13629, 2205, 365, 12207, 7768, 6613, 763, 6947, 4698, 10102, 1937, 8580, 11149, 11767, 9793, 2081, 11902, 11653, 3738, 1190, 5243, 1162, 11316, 1078, 6080, 52, 67, 14770, 10972, 202, 13817, 9806, 816, 2605
 4178, 799, 4072, 10356, 6900, 539, 8416, 3317, 5979, 9855, 406, 3761, 10267, 1231, 9515, 143, 366, 5889, 6715, 4349, 2145, 11475, 10138, 10473, 7710, 105, 12203, 1515, 931, 7724, 14200, 5968, 14324, 8340, 6282, 8625, 56, 9377, 11419, 3896, 13640, 1107, 10339, 2745, 525, 439, 13420, 12305, 3214, 299, 9188, 12170, 7392, 543, 14204, 2206, 388, 12208, 7769, 6614, 764, 6969, 4699, 10103, 2486, 8603, 11171, 11768, 9794, 2082, 11903, 12201, 4311, 1716, 5244, 1163, 11339, 1101, 6081, 53, 68, 14794, 10996, 203, 13818, 9828, 817, 2627
 4201, 800, 4596, 10357, 6901, 540, 8417, 3318, 5980, 9856, 407, 3762, 10268, 1253, 9516, 144, 367, 5890, 6716, 4350, 2163, 11498, 10139, 10474, 7711, 106, 12204, 1516, 955, 7746, 14776, 5969, 14325, 8889, 6283, 8626, 480, 9378, 11441, 3897, 13663, 1131, 10362, 3295, 545, 440, 13421, 12828, 3235, 300, 9208, 12697, 7393, 544, 14205, 2731, 389, 12209, 7770, 6633, 765, 6970, 4700, 10104, 2487, 8604, 11172, 11769, 9795, 2105, 11904, 12202, 4312, 1738, 5268, 1185, 11340, 1102, 6082, 72, 90, 14795, 10997, 204, 13841, 9829, 840, 2628
 4202, 821, 4597, 10358, 6902, 541, 8440, 3343, 5981, 9857, 408, 3763, 10290, 1254, 9539, 145, 368, 5891, 6737, 4351, 2164, 11499, 10140, 10475, 7734, 107, 12205, 1517, 1580, 7747, 14777, 5992, 14849, 8913, 6284, 8627, 481, 9397, 11442, 3898, 13664, 1132, 10363, 3296, 546, 459, 13422, 12829, 3236, 301, 9209, 12698, 7394, 1092, 14206, 2732, 390, 12210, 7771, 6634, 766, 6971, 4720, 10105, 2511, 8605, 11173, 11770, 9816, 2106, 11905, 12226, 4313, 1739, 5842, 1186, 11365, 1103, 6083, 73, 91, 14796, 10998, 205, 13842, 10403, 841, 2629
 4203, 822, 4620, 10359, 6903, 542, 8441, 3867, 6005, 9880, 409, 3764, 10291, 1255, 9540, 146, 369, 5912, 6738, 4371, 2165, 11500, 10159, 10476, 7735, 108, 12778, 1518, 1605, 7748, 14778, 5993, 14873, 8914, 6285, 8628, 482, 9398, 11443, 3899, 13665, 1630, 10364, 3319, 547, 460, 13423, 12830, 3237, 302, 9210, 12699, 7395, 1117, 14229, 2733, 913, 12211, 7793, 6635, 767, 6972, 4721, 10126, 2512, 8629, 11174, 11791, 9817, 2606, 11926, 12227, 4336, 1740, 5843, 1187, 11865, 1127, 6084, 74, 92, 14819, 10999, 224, 13843, 10404, 842, 2652
