1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
374,9384,7348,6648,407,1087,8866,2631,9707,320,425,2398,3277,227,8002,6428,12216,9798,2687,13268,331,191,10428,6588,2053,2769,9311,7116,7596,104,3464,7595,4593,47,10949,4597,16,2989,7881,746,684,14814,340,1536,9388,9366,552,4426,959,12334,8710,2596,313,1506,4753,4914,9972,3860,3333,1268,8939,4803,1869,14205,15478,10315,6818,6258,8986,698,3375,2648,4928,483,574,11674,10028,3548,3536,12100,7833,765,10806,13070,10726,8072,12786,187,3640,7785,110,4116,1580,2585,12131,1907,10371,3212,3020,448
375,9385,7349,7101,408,1111,9414,2654,9730,321,426,2944,3301,228,8003,6429,12217,9821,2709,13269,332,192,10429,6589,2054,2790,9313,7117,7597,126,3487,7617,4616,48,10972,4598,17,2990,7903,771,707,14837,341,1537,9411,9367,553,4427,982,12335,8711,2597,335,1527,4754,4915,9995,3861,3334,1293,8940,4804,1870,14206,15501,10316,6842,6282,8987,699,3398,2671,4929,484,575,11675,10029,3549,3556,12122,7834,766,10807,13071,10727,8073,12787,188,3641,7786,111,4117,1581,2606,12132,1908,10394,3715,3042,464
398,9933,7372,7126,432,1112,9415,2655,9731,344,427,2945,3302,229,8004,6430,12218,9822,2710,13292,333,193,10430,7088,2055,2791,9861,7141,7598,127,4011,7618,4617,49,10973,4599,18,3014,7904,772,708,15386,342,1538,9412,9390,554,5001,983,12336,8712,2598,336,1528,4776,4916,9996,3885,3358,1294,8941,4825,1871,14207,15502,10339,6843,6283,8988,700,3399,2672,4930,485,576,11697,10030,4076,3557,12123,7835,767,10830,13094,10728,8074,12788,211,3642,7810,130,4118,1603,2607,12133,1909,10395,3740,3043,465
399,9934,7373,7127,981,1113,9416,2656,9755,345,428,2946,3303,230,8005,6431,12238,9823,2711,13293,881,214,10431,7089,2056,2792,9862,7142,7621,128,4034,7619,5165,50,10974,4600,31,3512,7905,1371,709,15411,343,2112,9413,9391,555,5002,984,12337,8713,2599,337,1529,4777,4941,9997,3886,3883,1317,8942,4826,1892,14208,15503,10340,7314,6284,9010,724,3400,2673,4931,506,577,11698,10051,4099,3558,12124,7836,768,10831,13095,10729,8097,12811,212,3665,8383,131,4119,1604,2608,12134,1930,10396,3760,3044,466
423,9935,7897,7150,1005,1136,9417,3179,9756,346,429,2947,3326,231,8025,6432,12239,9846,2712,13294,882,215,10453,7112,2076,2793,9884,7690,7622,129,4035,7620,5166,68,10997,4619,32,3513,7906,1396,732,15412,364,2113,9436,9392,556,5003,1009,12338,8735,2620,338,1530,4778,5464,9998,4384,3884,1318,8943,4827,1893,14230,15526,10341,7315,6307,9011,725,3423,2696,4953,507,599,11699,10052,4100,3559,12125,7857,789,10832,13096,10730,8098,12812,213,3666,8384,132,4120,1605,2609,12135,1931,10419,3761,3045,467
895,9958,7898,7151,1006,1137,9439,3180,9781,369,449,2948,3327,249,8026,6452,12240,9847,2713,13867,883,216,10454,7113,2077,2794,9885,7691,8145,150,4036,7642,5190,69,10998,4620,33,3537,7927,1397,733,15413,365,2136,9437,9393,578,5004,1484,12339,8736,2621,359,1531,5276,5465,10019,4409,3907,1319,9489,4828,1894,14231,15527,10342,7316,6308,9012,1251,3424,2697,4954,508,600,11700,10053,4101,3560,12147,7858,790,10856,13120,10731,8099,12813,236,3691,8385,133,4141,1606,2610,12155,1932,10420,3762,3046,468
896,9959,7921,7152,1007,1138,9440,3201,10257,370,450,2969,3328,250,8027,6453,12241,9848,2735,13868,906,217,10455,7114,2078,2815,9886,7692,8146,151,4037,7643,5191,70,10999,4621,34,3538,7928,14495,734,15435,366,2137,9438,9940,579,5005,1485,12357,8737,2622,360,1556,5277,5466,10020,4410,3908,1342,9514,4829,1895,14232,15528,10365,7339,6309,9036,1271,3425,2698,4955,509,601,12175,10054,4123,3561,12148,7859,791,10857,13645,10751,8122,12836,237,4216,8408,134,4142,2178,2632,12156,1933,10944,3763,3067,469
897,9960,7922,7153,1008,1139,9441,3202,10280,371,451,2970,3351,251,8028,6454,12242,9872,2736,13892,931,218,10456,7136,2079,2816,9887,7693,8147,152,4038,7644,5192,71,11022,4622,35,3539,7929,14496,1305,15436,367,2138,10012,9964,580,5006,1507,12358,8738,2623,361,2081,5278,5489,10021,4434,3909,1343,9515,4850,1896,14233,15551,10863,7340,6332,9562,1272,3449,2721,4956,531,602,12200,10626,4124,3562,12149,7860,792,11407,13646,10752,8123,12837,238,4240,8409,135,4143,2179,2633,12157,1934,10945,3764,3068,470
898,9961,7923,7174,1031,1162,9442,3203,10281,372,452,2971,3901,252,8029,6455,12243,9897,2737,13893,956,239,10481,7137,2080,2817,9888,7715,8148,153,4039,7645,5215,72,11023,4623,36,3540,7930,14519,1306,15437,368,2161,10013,9965,581,5026,1508,12359,9312,2624,362,2082,5301,5490,10022,4435,3910,1344,9516,4851,1919,14257,15552,10864,7341,6333,9563,1273,3450,2722,4979,532,603,12201,10627,4125,3584,12150,7861,793,11431,13669,10753,8648,12862,262,4241,8410,136,4144,2180,2634,12158,2506,10968,3765,3069,471
899,9983,7924,7175,1032,1163,9464,3204,10282,395,453,2972,3902,253,8030,6456,12264,10397,2738,13918,14006,240,11001,7138,2103,2818,9908,7716,8170,154,4059,7667,5216,73,11024,4624,37,3563,7931,14520,1307,15438,388,2162,10014,9966,604,5027,1509,12360,9336,2625,363,2101,5302,5491,10044,4436,3932,1345,9517,4852,1920,14258,15553,10887,7342,6334,9585,1274,3999,2723,4980,533,623,12202,10628,4126,3585,12723,7862,815,11432,13670,10754,8649,13386,762,4242,8411,155,4145,2202,2635,12159,2507,10969,3766,3070,472
