1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
326,9094,2349,9174,4392,6882,118,4107,10969,515,8501,176,205,3629,2112,11398,10819,9725,5121,13963,10649,55,140,516,7482,9458,355,5932,3174,1201,5139,13731,374,10646,439,215,10228,6661,9029,8532,530,1,3681,9469,450,7915,411,9380,11354,5720,7680,5433,2520,10638,13458,3661,5451,19,10068,110,11818,274,247,5942,143,195,1578,9812,6,1604,3933,1977,11095,3208,8383,12883,3134,486,7216,171,211,3,3132,2848,12,12752,8409,5020,6307,6584,9939,3215,5519,8141,13335,5751,1687,35,311,10007,4151,334,8205,338,5502
 328, 9095, 2350, 9175, 4393, 6883, 668, 4108, 10994, 539, 8502, 177, 229, 3654, 2136, 11399, 10844, 9749, 5122, 13964, 10674, 56, 141, 517, 7483, 10032, 356, 5933, 3199, 1202, 5163, 13732, 399, 10647, 440, 216, 10229, 6662, 9032, 8555, 554, 2, 3682, 9494, 451, 7916, 436, 9405, 11378, 5721, 8304, 5434, 2521, 10639, 14032, 3685, 5476, 20, 10092, 111, 11819, 275, 248, 5943, 168, 196, 1579, 9837, 7, 1605, 3934, 1978, 11096, 3233, 8982, 12907, 3135, 487, 7241, 172, 235, 4, 3157, 2849, 13, 12753, 8410, 5021, 6308, 6585, 9940, 3815, 5543, 8165, 13360, 5752, 1688, 36, 312, 10031, 4152, 335, 8206, 10912, 5503
 351, 9119, 2373, 9199, 4394, 6884, 693, 4109, 10995, 540, 8526, 201, 230, 3655, 2137, 11400, 10845, 9750, 5123, 13988, 10699, 57, 142, 518, 7484, 10033, 357, 5956, 3200, 1226, 5164, 13756, 400, 10648, 441, 217, 10253, 6663, 9057, 8556, 555, 21, 3683, 10069, 452, 7917, 461, 9981, 11379, 5743, 8305, 5458, 2522, 10640, 14033, 3686, 6075, 44, 10093, 112, 11843, 298, 249, 6494, 169, 197, 1603, 9861, 8, 1606, 3958, 2579, 11097, 3258, 8983, 12908, 3136, 488, 7841, 12671, 236, 5, 3182, 2873, 14, 12777, 8411, 5046, 6309, 6586, 9964, 3816, 5544, 8166, 13960, 5753, 1689, 59, 336, 10632, 4176, 358, 8207, 10913, 5580
 352, 9120, 2374, 9200, 4417, 6885, 717, 4132, 10996, 563, 8527, 202, 231, 3656, 2138, 11424, 10869, 10300, 5146, 13989, 11274, 79, 165, 519, 7485, 10056, 380, 5957, 3224, 1227, 5187, 13757, 424, 11223, 442, 239, 10828, 6686, 9058, 8581, 556, 22, 3706, 10070, 453, 7918, 13484, 10001, 11380, 5744, 8329, 5459, 2523, 10663, 14034, 3687, 6076, 45, 10117, 113, 11844, 299, 272, 6495, 192, 198, 2128, 9862, 9, 1607, 3959, 2580, 11120, 3283, 9007, 12909, 3137, 511, 7865, 12697, 237, 29, 3755, 2874, 15, 12778, 8435, 5595, 6331, 6587, 9965, 3839, 5568, 8765, 13961, 5775, 1712, 60, 337, 10633, 4177, 359, 8230, 10936, 5628
 353, 9694, 2375, 9225, 4418, 6886, 718, 4133, 11019, 564, 9076, 203, 232, 4254, 2160, 12000, 10870, 10301, 5147, 13990, 11275, 80, 166, 520, 7508, 10057, 381, 5958, 3773, 1751, 5188, 14331, 425, 11224, 443, 240, 10829, 6687, 9081, 8582, 579, 23, 3707, 10094, 474, 7940, 13509, 10002, 11381, 5745, 8330, 5460, 2546, 10664, 14056, 3709, 6077, 69, 10118, 135, 11868, 300, 273, 6496, 193, 218, 2129, 9863, 10, 1628, 4531, 2601, 11121, 3832, 9008, 12933, 3138, 512, 7866, 13271, 238, 30, 3756, 2875, 16, 13351, 8436, 5596, 6332, 6609, 9966, 3840, 5569, 8766, 13985, 5776, 1713, 61, 361, 10634, 4201, 360, 8231, 10937, 6102
 354, 9695, 2398, 9772, 4419, 6908, 719, 4134, 11020, 565, 9101, 225, 254, 4255, 2161, 12001, 10871, 10323, 5148, 14587, 11298, 81, 167, 521, 7509, 10058, 382, 5980, 3774, 1752, 5189, 14332, 449, 11248, 444, 241, 10830, 6688, 9082, 8606, 580, 24, 3708, 10095, 475, 7941, 13510, 10003, 11403, 5769, 8355, 5483, 2547, 10665, 14057, 3710, 6099, 643, 10142, 136, 11869, 323, 297, 6497, 194, 219, 2152, 9887, 11, 1629, 4535, 2602, 11122, 3833, 9009, 12934, 3159, 513, 7867, 13272, 260, 54, 3757, 2898, 17, 13352, 8437, 5619, 6333, 6610, 9989, 3841, 5593, 8790, 13986, 5777, 1714, 62, 362, 10656, 4202, 384, 8232, 10938, 6103
 376, 9719, 2399, 9773, 4420, 6909, 742, 4158, 11021, 587, 9102, 226, 255, 4279, 2162, 12022, 10893, 10324, 5149, 14588, 11299, 82, 190, 522, 7510, 10059, 383, 5981, 3797, 1776, 5737, 14333, 999, 11249, 445, 242, 10853, 6712, 9083, 8607, 581, 25, 3732, 10119, 476, 7942, 13535, 10004, 11404, 5770, 8904, 5484, 2571, 10688, 14058, 3711, 6100, 644, 10143, 137, 12442, 324, 13996, 6498, 766, 220, 2153, 9888, 31, 1630, 4556, 2603, 11123, 3857, 9033, 13508, 3160, 514, 7890, 13296, 261, 627, 3758, 2899, 18, 13376, 8460, 5620, 6355, 6611, 9990, 3864, 5594, 8791, 14010, 5800, 1715, 84, 363, 10657, 4776, 385, 8233, 10939, 6104
 377, 9720, 2423, 9774, 5017, 6910, 743, 4159, 11044, 588, 9126, 227, 256, 4280, 2184, 12023, 10894, 10325, 5172, 14589, 11300, 83, 191, 541, 8082, 10082, 405, 5982, 3798, 1777, 5738, 14355, 1000, 11269, 463, 243, 10854, 6713, 9105, 8632, 603, 26, 3733, 10120, 477, 7964, 14085, 10005, 11405, 5794, 8928, 5485, 3121, 10689, 14059, 3712, 6101, 645, 10168, 138, 12443, 325, 13998, 6518, 767, 221, 2154, 9912, 32, 1631, 4557, 2604, 11146, 3858, 9034, 13532, 3161, 536, 7891, 13297, 262, 628, 3780, 2900, 37, 13377, 9010, 5621, 6356, 6612, 9991, 3865, 5618, 8792, 14585, 5824, 2287, 85, 386, 10658, 4777, 409, 8255, 10960, 6126
 378, 9721, 2973, 9796, 5018, 6911, 744, 4708, 11045, 589, 9127, 228, 257, 4281, 2185, 12024, 10895, 10348, 5173, 14590, 11301, 103, 10715, 542, 8083, 10083, 406, 5983, 3799, 1799, 5739, 14356, 1023, 11270, 464, 244, 10855, 7286, 9106, 9133, 604, 27, 4306, 10144, 478, 7965, 14109, 10006, 11406, 5795, 8929, 5507, 3122, 10690, 14081, 3713, 6124, 646, 10692, 139, 12444, 349, 13999, 6519, 768, 222, 2155, 9913, 33, 1632, 4558, 2605, 11147, 3859, 9583, 13533, 3162, 537, 7892, 13298, 285, 629, 3781, 2922, 38, 13378, 9035, 5622, 6357, 6613, 10564, 4440, 6119, 8816, 14586, 5825, 2288, 86, 387, 10659, 4801, 410, 8256, 10961, 6127
 379, 9744, 2974, 9797, 5019, 6912, 1292, 4732, 11046, 590, 9128, 250, 258, 4305, 2186, 12025, 10896, 10349, 5174, 14613, 11321, 104, 10716, 543, 8084, 10084, 407, 6005, 3800, 1800, 5740, 14357, 1024, 11271, 465, 263, 10856, 7287, 9107, 9134, 605, 28, 4307, 10145, 498, 7966, 14110, 10028, 11428, 6344, 8930, 5508, 3145, 11262, 14082, 3734, 6125, 669, 10693, 160, 12467, 350, 14000, 6520, 769, 223, 2176, 9938, 34, 1653, 4559, 2626, 11148, 3882, 9607, 13534, 3736, 538, 8440, 13321, 286, 630, 3782, 2923, 39, 13401, 9036, 5645, 6906, 6634, 10565, 4441, 6120, 8817, 14609, 6351, 2289, 87, 388, 10660, 4802, 434, 8257, 10962, 6128
 401, 9745, 2975, 9798, 5042, 6913, 1293, 4733, 11069, 1164, 9151, 251, 279, 4879, 2711, 12047, 10919, 10350, 5175, 14614, 11322, 105, 10741, 544, 8085, 10085, 408, 6006, 3822, 1801, 5741, 14381, 1025, 11272, 466, 264, 10878, 7288, 9108, 9155, 606, 46, 4308, 10146, 499, 7990, 14133, 10029, 11429, 6345, 8954, 5509, 3146, 11263, 14083, 3735, 6676, 670, 10717, 161, 12468, 375, 14021, 6521, 770, 224, 2177, 10437, 58, 1654, 4560, 2627, 11149, 3883, 9608, 13557, 3737, 562, 8441, 13322, 287, 631, 3783, 2924, 40, 13402, 9037, 5646, 6907, 6635, 10566, 4442, 6143, 9390, 14610, 6352, 2290, 88, 412, 10680, 4803, 435, 8258, 10963, 6129
